ami,english,source,kindOf,dialect
Makari'ang nira kako.,He persecuted me.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
O mari'angay a tamdaw cingra.,1. He is a mean person. 2. He is a criminal.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Cirihaday ko faloco' ako.,My heart is at peace.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
rarihaday cangra a tatosa.,The two of them are at peace with each other.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Rihaked kako ngraan.,I expected him to be able to help me.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Awaay aca ko karihakedan ako ngraan.,Instead he failed to live up to those expectations.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
O karihakedan ako Yis.,Jesus completely satisfies me.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Adihay ko rikec no katayalan ita.,Our business has a lot of laws.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Marikec ko finawlan no niyaro' ita.,The people in our town are united.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Tngilen ko sarikec.,Listen to the rules.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
malo riko',something to wear,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Pariko'en ko wawa.,Clothe the child.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Misariko' kako i matini.,I am dressing right now.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
O maan ko sariko'an iso itiya?,What were you wearing then?,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
parikor to sowal,to give a farewell message,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
"Narikoran iso i, adada cingra.",After you left he got sick.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
I rarikor cingra a maro'.,He sat in the back.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
irikor nonini,after this,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
"Palimo'ot Yis i, sarimadac ko nanom.",Jesus commanded and the water became smooth.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Sarimadac ko paenan no loma' iso.,The floor of your house is smooth and level,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
O rarina'en ko radiw ita.,Our songs should be printed.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Miringi kako to ina ako.,I resemble my mother.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
I cimaanan kiso a mirini?,Who do you resemble?,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Aka ripa'en kako.,Don't step on me.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
O kodasing ko sapariri' to 'edo.,Peanuts are good bait to catch rats.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
raritingen mson ko wikol no koyo.,Samson tied the tails of foxes together.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Maritrit to ko panay.,The grain has been cut.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Caay kariyad cingra.,I can't persuade him.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
O iriyaray,the things of the ocean,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Wamaaw paroceken kami to sakafana' niyam a mihinom to salikaka.,Father gives us abilities to know how to comfort the Christians.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Marocek kita to tayal.,Each of us has his work to do.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Masarocod ko faloco' niyam a matayal tonini.,Our hearts are united.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Sarocoden ko harateng iso.,Give your mind to.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Marocok to ako ko omah no mama ako.,I inherited my father's fields.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Parocoken kako to dafong no ina ako.,Give me an inheritance of part of my mother's things.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Marofo to ko safa ako.,My brother is in prison.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Cima ko mirofoay ngraan?,Who put him in prison?,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
tiya o marofoay kako anini.,I feel boxed in.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Moroho kita a komaen.,Let's squat to eat.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
O morohoen ko loma' no Fotod a tamdaw.,You have to stoop to go into Yami houses.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Marohroh ko kasoy.,The wood burst into flame.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Marokrok ko nanom.,The water is boiling.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Marokrok to ko faloco' ako.,My heart is boiling with anger.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
O roma a tamdaw i maolah ngraan. O roma i caay ka olah.,Some people like him; some don't,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
"O roma, o roma ko niyaro' ita.",Our village is continually changing.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Misaromaroma cingra to demak.,He is continually doing things differently.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Saromaroma ko romi'ad.,The weather is continually changing.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
"To roma i, mararom kako.",Sometimes I am sad.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Saromi'ad kako a mafoti'.,I slept all day.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
"Ano hakowa a romi'ad i, o malaheci konini a demak.",Sometime this thing will be finished.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
pina a romi'ad anini?,What day is this?,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Paromi'ad kamo a tayni.,You gave time to come here.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
samaan ko romi'ad anini?,What is the weather like today?,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
"O romi'ad ko sakatayni iso, nga'ayto",You should come in the day time.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Miromot cingra to romakatan no 'alo.,He made a small exit for the water from the stream.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Maromot ko wa'ay.,The foot tapers down.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Mironang ko kolong i ngota'ay a nanom.,The water buffalo rolled in dirty water.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Ala rongorongoh cangra a caciyaw.,They all had their heads together talking.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
O raropayen ko sera a misalalan,The dirt must be graded to make a road.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Adihay ko karorayan no faloco' ako.,There are a lot of things that bother me.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Maroray ko tireng ako.,My body is tired.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Aka pakaroray i takowanan.,Don't bother me.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Rorongen ko panay.,Bundle the grain.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Marowis ko losa' nira.,His tears ran down.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Masa'efit no koesanay a sowal nira kako.,I was deceived by his good sounding words.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
'eleten ko kaos no cokap iso.,Tie into a knot your shoe laces.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Masasa'elet ko tatenooyen a keliw.,The thread to be woven is all twisted and tied in knots.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
O maan a sa'opo konini?,What kind of a gathering is this?,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
'opoen ako ko wawa.,I will gather the children together.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
'opoen ako ko wawa.,I will have someone go gather the children.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Papisa'opoen ko singsi to wawa.,Have the teacher gather the children together.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
'opoen ko nialaan namo a foting.,Gather together the fish you caught.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Caay ka sa'osi cingra a lhakelong i titaanan.,He was not included in the count to go with us.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
na ko sa'osi?,What is the count?,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Sa'osien ko matahidangay.,Count how many have been invited,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Sa'osien konini a tilid.,Read this writing.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
"O sowal nira i, ""o tatayni kako"" saan.",He said he would come.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
"Maherek kako a milicay i, sowal saan cingra","When I finished asking, he responded by saying ...",FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Masadak to cingra nai pirofoan.,He has come out of prison.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
daken ko 'ayam.,Let the chickens out.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Icowa ko kasadakan?,Where is there an exit?,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Masadim to ko foting.,The fish are poisoned.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Masadit to amoto ko paenan ato cafeng no loma' niyam.,The floor and walls of our house have been plastered with cement.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
'mel ko fali anini.,The wind is cool today.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Mikisaemel koya mato'asay.,That old person is sitting in the shade to cool off.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
O safa iso ko mihecaan ako.,I am younger than you.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
O safa ako konini.,1. This is my younger brother. 2. This is my younger cousin.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Masafa nira kako.,He has excelled over me.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Aka palasafaen cingra.,Don't put down someone.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
fa cingra to fana' ako.,He put down my ability.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Masafalat anini.,The south wind is blowing today.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Safana' ira cingra inacila.,He came unexpectedly yesterday.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Safana'en satan Yis a papisanga' to epang.,Satan tried to tempt Jesus to make bread.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Masafana' nira kako.,I succumbed to his tempting me.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Cisafaw ko fafoy niyam.,We have more than ten pigs.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Cecay ko safaw ko fafoy niyam.,We have eleven pigs,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
faw cecay ko fafoy niyam.,We have eleven pigs.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Masafeleng ko takora' i yil a 'alo.,Frogs swarmed in the Nile river.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Masafeleng ko sofitay a romakat.,The soldiers swarmed in great numbers as they moved.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
heto o ngcah ko ro'ay itira.,The great majority of people living there are Amis.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Itini saho kako a lama.,I am still here visiting.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
ho saho ira kiso.,I was thinking about you when you suddenly turned up.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Mitolon kako to sakacaaw ka patay nira.,I prayed that he might not die.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Aka saken ko riko'.,Don't trample on the clothes.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Aka pisakasak to sowal no mato'asay.,Don't be disrespectful of the words of the elders.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Mitolon kako to saki cawan.,I am praying for Kacaw.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
ksaken ko riko' iso.,Spread your clothes on the ground.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
O lamaay kami a tayni.,We came to visit and relax.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Aka pisalama to citosiya nira.,Don't handle her car.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
O salikaka ita cingra.,He belongs to our family.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
O sasalikakaen ako cingra.,He is a close relative.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
O salikaka ita cingra.,He is a part of the Christian community.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Milaliw ko salo'afang nira.,His soul has left him.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Masafa no salo'afang no 'oner kako.,The soul of the snake has conquered me.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
lofen ko faloco' noya wawa.,Correct that child.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
lofen ita ko nitilidan ita a kimad.,We must edit the story we wrote.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Masalof koya demak anini.,That matter has been rectified.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
O sapasalong konini.,This is a token gift.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
long cingra a komaen to epah.,He drank just a little bit of wine.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
longan kiso a ciriko' tono tayring.,You look good dressed in a police uniform.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Samaanen ita ko tayal?,How do we do the work?,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Maedeng samaanen. Awaay ko lalan ita.,There is nothing that can be done about it. We have no way.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
madahen ko piseti' toya wawa,Don't beat that child hard.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
madahen ko pasowal toya wawa.,Be gentle the way you address that child.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Caay ka samadah ko piseti' ako.,I beat without mercy.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Masamisimisi ko demak nira.,He didn't act quite right for the occasion,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Masamisi ko pilatang nira.,He didn't measure out quite the right amount.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Cisamo' ko citosiya ako.,My car has a defect.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Cisamo' ko faloco' nira.,His heart has a defect.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Masamolal ko 'ongcoy no riyar.,The rocks in the ocean can be seen.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Masamolal to ko folad anini.,The moon is starting to show a little sliver.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Masamolal to ko nipalomaan ako a dateng.,The vegetables I planted are starting to show.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
msamen no tata'angay a wawa ko mangay a wawa.,The big boys mistreated the small boys.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Masamsam nira kako.,He mocked me.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Matoka kako o sanay nira.,He is saying he is lazy.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Masanek koya titi.,That meat smells.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
nengseng a nengnengen ko ciriko' iso tonini.,It looks very appropriate and fitting for you to wear those clothes.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
O maan ko sasanga'en ita?,What shall we make?,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
nga'en no was ko kakarayan ato hekal.,God made the heavens and earth.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
nga'en ko paliding iso.,Have your vehicle fixed.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Masanga'to ko faloco' nira.,His attitude has changed.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Masasanga'to kami anini.,We have been reconciled.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
ngasifen ko felac.,Put rice in the kettle.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
O maan ko kasapaan iso ngraan?,What surprises you about him?,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Masapa ko tireng nira a nengnengen.,He looks well and lazy.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
sapa'ayaw a tilid,letters of recommendation,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
o sapasapad to paenan,for making a board floor,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Masapay ko pipalomaan to dateng.,The vegetable garden is clear and level for planting.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Masapi' ko panay anini.,The grain is now fallen on the ground from its weight.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
psapen ko tireng iso.,Feel your body.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Pakasapsap ko was to faloco' ita.,God is able to feel our inner hearts.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Masarad ko 'oning noya tamdaw.,The dirt has accumulated on that person.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Masarad ko aasipen ako a tikami.,Letters have accumulated for me to read.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
O sasaraden ita ko nanom.,We must accumulate water.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
O maan ko kasarocodan iso anini?,What are you giving yourself to at present?,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Sarocoden ko faloco' iso a maolah to was.,Give yourself wholly to loving God.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Masasangi ko mapalitay.,The imprisoned person is tortured.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
sangien no wawa ko waco.,The children tortured the dog.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Masasifod ko faloco' ako anini.,My heart is mixed up right now.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Aka sasifoden ko keliw.,Don't tangle the string.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
sapisasing,camera,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Masasing nira kako.,He took my picture.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
ng kita.,Let's have our pictures taken.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
O lisataay Cakay.,Zacchaeus was a tax collector.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Caay ko sasataen no hongti ko loma' nira.,The king will not levy taxes on his home.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Pasata kita to tingki.,We pay our electric bill.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
O matekesay a sata'os ko sapisipasip riya to tireng Yis.,Mary anointed Jesus with expensive perfume.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
ta'osay ko fokes nira.,His hair is full of hair oil.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
"tadamatamata han ako a minengneng i, caay ka hapinang ako.",I looked very closely at it but couldn't make out what it was.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
"Yo matengil ako ko sowal nira i, keter sato kako.",When I heard what he said I became angry.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
O misawad kako to tiraay a tayal.,I am going to quit that kind of work.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
O pisawad iso a mitamako ko nga'ay.,You should quit smoking.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Malasawad to ko niharatengan ako.,I have given up that thinking.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
masasawad ko kararamod,divorced,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
palasawad to koya niyaro'.,That village has ceased to exist.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
wad kako a mitilid.,1. I graduated from school. 2. I quit school.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Masawi nira ko faloco' ako.,He influenced me negatively.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Aka wien cingra.,Don't tempt him.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
O misasayhoay cingra to kilang.,He is an expert in wood working.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
ysayen ko fokes iso.,Fix up your hair.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Masaysay to ko fali.,The wind stopped blowing.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
ysayen nira ko sowal niyam.,He stopped our quarrel.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
hengangay a saytaw,carrots,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Namimaan kiso iro sedak ira kiso anini?,What have you been doing that you should suddenly turn up?,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Mafana' Yis a misedal to faloco' ita,Jesus knows how to set our hearts free.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
