szy,chinese,source,kindOf,dialect,row_type,split
masasokazih,相見,Formosan-ePark/Final_XML/ep2_閱讀書寫篇/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
ningeli'an,被折斷,Formosan-ePark/Final_XML/ep2_閱讀書寫篇/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
dadingo,眼鏡,Formosan-ePark/Final_XML/ep2_閱讀書寫篇/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
mitohtoh,傾倒,Formosan-ePark/Final_XML/ep2_閱讀書寫篇/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
melet,眨眼,Formosan-ePark/Final_XML/ep2_閱讀書寫篇/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
malalikisi,成為歷史,Formosan-ePark/Final_XML/ep2_閱讀書寫篇/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
namakayza,自從;從那邊來,Formosan-ePark/Final_XML/ep2_閱讀書寫篇/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
miteka,正在開始,Formosan-ePark/Final_XML/ep2_閱讀書寫篇/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
misoped,正在儲存,Formosan-ePark/Final_XML/ep2_閱讀書寫篇/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
maaedap,互相幫忙,Formosan-ePark/Final_XML/ep2_閱讀書寫篇/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
bolad,想念,Formosan-ePark/Final_XML/ep2_閱讀書寫篇/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
macolok,指沒有漏掉,Formosan-ePark/Final_XML/ep2_閱讀書寫篇/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
micokelay,支持,Formosan-ePark/Final_XML/ep2_閱讀書寫篇/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
makaala,得到,Formosan-ePark/Final_XML/ep2_閱讀書寫篇/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
micozoh,推;推動,Formosan-ePark/Final_XML/ep2_閱讀書寫篇/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
mipahalhal,等待,Formosan-ePark/Final_XML/ep2_閱讀書寫篇/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
sakalawpes,會消失;衰亡,Formosan-ePark/Final_XML/ep2_閱讀書寫篇/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
pihaceng,嚴重,Formosan-ePark/Final_XML/ep2_閱讀書寫篇/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
sakapatayan,瀕臨死亡,Formosan-ePark/Final_XML/ep2_閱讀書寫篇/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
miadad,在翻,Formosan-ePark/Final_XML/ep2_閱讀書寫篇/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
laacawa,嫁娶,Formosan-ePark/Final_XML/ep2_閱讀書寫篇/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
cimaay,那是誰,Formosan-ePark/Final_XML/ep2_閱讀書寫篇/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
hicaen,如何,Formosan-ePark/Final_XML/ep2_閱讀書寫篇/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
mipili',選擇,Formosan-ePark/Final_XML/ep2_閱讀書寫篇/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
tanengay,可以,Formosan-ePark/Final_XML/ep2_閱讀書寫篇/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
silamit,有根,Formosan-ePark/Final_XML/ep2_閱讀書寫篇/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
zazatengen,要思考的話,Formosan-ePark/Final_XML/ep2_閱讀書寫篇/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
pabaway,上面的,Formosan-ePark/Final_XML/ep2_閱讀書寫篇/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
nisangaan,製作的,Formosan-ePark/Final_XML/ep2_閱讀書寫篇/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
colen,陀螺,Formosan-ePark/Final_XML/ep2_閱讀書寫篇/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
lineng,轉動,Formosan-ePark/Final_XML/ep2_閱讀書寫篇/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
sipaloma,種下,Formosan-ePark/Final_XML/ep2_閱讀書寫篇/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
sicedamay,甜的,Formosan-ePark/Final_XML/ep2_閱讀書寫篇/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
heci,果實,Formosan-ePark/Final_XML/ep2_閱讀書寫篇/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
akenekay,苦的,Formosan-ePark/Final_XML/ep2_閱讀書寫篇/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
mangeli',折斷,Formosan-ePark/Final_XML/ep2_閱讀書寫篇/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
mahetik,掉下,Formosan-ePark/Final_XML/ep2_閱讀書寫篇/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
malopisak,散開,Formosan-ePark/Final_XML/ep2_閱讀書寫篇/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
satokalan,梯子,Formosan-ePark/Final_XML/ep2_閱讀書寫篇/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
micaliway,有經過,Formosan-ePark/Final_XML/ep2_閱讀書寫篇/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
atekak,硬,Formosan-ePark/Final_XML/ep2_閱讀書寫篇/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
hinabaloco',愛生氣,Formosan-ePark/Final_XML/ep2_閱讀書寫篇/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
labo,裡面,Formosan-ePark/Final_XML/ep2_閱讀書寫篇/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
labades,苦難,Formosan-ePark/Final_XML/ep2_閱讀書寫篇/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
mikowan,管理,Formosan-ePark/Final_XML/ep2_閱讀書寫篇/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kakelalan,旱災,Formosan-ePark/Final_XML/ep2_閱讀書寫篇/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
balad,洪水,Formosan-ePark/Final_XML/ep2_閱讀書寫篇/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
makatal,很壞,Formosan-ePark/Final_XML/ep2_閱讀書寫篇/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
mitima',在詛咒,Formosan-ePark/Final_XML/ep2_閱讀書寫篇/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
mabahbah,被趕走,Formosan-ePark/Final_XML/ep2_閱讀書寫篇/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
inayay/nai',沒有[表擁有的否定],Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
daecos,不可以,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
haw/hakya,嗎;呢,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kataini,來,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
katayza,去,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
katahkal,出現;出來,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kan,吃,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kalekal,起床,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kabi',睡覺,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
picodad,讀書,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
podadiw,唱歌,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kapalaw,跳舞,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
pikolit,畫圖,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
pibalakas/pidang,玩耍,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
pililoc,洗,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
pialolop,洗,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
pibaca',洗,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kaimelang,生病,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kaadada,痛,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kasikawswa,攜帶,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kasizikoc,穿,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kasitopel,戴,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kaakoti',炎熱,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kacoedet,冷,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
pocolil,走路,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
katahkal,出去,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kaodad,下雨,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
pisakamo,說,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
pitengil,聽,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
piazih,看,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
katineng,會;能,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kanamoh,喜歡,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kaadidi,小,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kayadah,多,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kaadiding,少,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kabaeket,重,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kaahemaw,輕,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
katanayo',長,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kaapoyo',短,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
katalakaw,高,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kapolet,矮,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kaisa:sa,低,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kasalongan/kabangcal,美麗;好看;漂亮,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kalakapah,英俊,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kanamoh,快樂,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kasikawaw,勤勞,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kakasic,懶惰,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
belac,米粒,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kayabos,番石榴,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
mabalakas/midang,玩耍,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
ala/dikec,攜帶,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
salongan/bangcal,美麗;好看;漂亮,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
sizikoc,穿,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
sitopel,戴,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
colil,走路,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
tapotah,出去,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
moeneng,坐著,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
malanam,吃早餐,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
malahok,吃午餐,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
malabi,吃晚餐,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
mocelemto,落,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
doo't,天黑,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
mabaliyos,刮颱風,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
bohat,開,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
edeb,關,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kemet,閉,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
balakito,長大,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
mazohem,成熟,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
tolon/longoc,禱告;祈求,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
tomes,滿滿,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
katayzai,去,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
picodadi,讀書,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
dadiwa,唱歌,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
koliten,畫圖,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
pibalakasi/pidangi,玩耍,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
pililoci,洗,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
alolopi,洗,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
baca'en,洗,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
alaen/dikecen,攜帶,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
satopelen,戴,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
colilen,走路,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
katapotah,出去,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kokaykokay,謝謝!謝謝!,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
toki,時;點鐘,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
pilipayan,星期日,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
sadingsingan,春天,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
niyazo',村莊;部落,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
sasingalan,窗,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
sa'wac,溪,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
odad,雨水,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
toki,鐘,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
tyannaw,電腦,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
bilowa,簍子,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kamodadiw!,去唱歌!,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kapibaca'!,去洗衣服!,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
maodadto.,下雨了!,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
mabaliyosto.,颱風來了!,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kaka/kakana,哥;姊,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
saba/sabana,弟;妹,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
bai,伯母;嬸嬸;舅母,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kita,咱們,Formosan-ePark/Final_XML/ep3_句型篇高中/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
adiding,一些,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
nacacay,一次,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kasasizoma,種類,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
mahtatosa,一雙,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
hamin,全部,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
adidi',一點點,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kamo,你們,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
namoay,你們的,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
mitaay,我們的,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
noheniay,他們的,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
misoay,你的,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
makoay,我的,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
nizaay,他的,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
mitaay,咱們的,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
cowaay,哪一個,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
nimaay,是誰的,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
mahica,怎麼,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kya,為什麼,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
baki,男性長輩,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
bai,女性長輩,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
acawa,配偶,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kadabo,女婿,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
ali,舅子,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
ali,弟媳,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
ali,嫂嫂,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kadabo,媳婦,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
baki/bai,孫子/孫女,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
malaacawaay,夫妻,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
acawa,丈夫,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
cinki,姻親,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kakama,兄長,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kaka,通稱,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
kakama,哥哥,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
saba,通稱,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
sabama,弟弟,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
sinawama,通稱,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
sinawina,通稱,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
wawa,孩童,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
babalaki,老人家,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
tatayna,女性,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
tatama,男性,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
misaydan,醫師,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
ada,敵人,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
tapang,長官,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
lomowa,流氓,Formosan-ePark/Final_XML/ep2_學習詞表/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
