tay,english,source,kindOf,dialect,row_type,split
mkaraw,climb,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mpanga,carry,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
prayon,flip,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
gmiba,hold,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
ymop,blow,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
kmenah,dig,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
cmka,cut,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mlngya,swim,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
m'ing,hide,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
kmiyak,catch,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
tmoto,chop,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
m'aso,divide,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mholoy,pull,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
sm'aw,split,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
skyotan,rip,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
meli,draw,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mhon,bundle,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mwayaw,select,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
stokon,spill,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
tmatok,peck,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
c'an,plug,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
hmakot,move,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
hmbyat,pluck,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
s'yi,stirring,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mamo,pluck,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
miyi,shaking,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
smabo,packing,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
kmloh,harvest,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
rmhaw,sharpen,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
s'yi,swing,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
tmmah,shatter,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mtakoy,fall,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
sprayon,twist,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mcrox,stand,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
kmot,cut,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
scyakan,pinch,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mpox,repress,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
sma'an,feed,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
kmiyak,arrest,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
p'lan,step,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
tmahon,squash,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
gmola,skin,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
cbocon,flipping,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
grgan,tumble,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
smilay,whip,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
milit,skin,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mkgiy,twisting,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
kmarak,cut,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
tmapeh,wave,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mhobing,chop,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
cmxo,beat,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mciri,fight,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mkhot,squeeze,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
kmoyah,dig,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
matas,draw,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mhmot,arbitrary,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mani,eat,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
nbow,drink,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mota,vomit,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
kmat,bite,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
tamon,swallow,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
tamiy,swallow,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
scyakan,choke,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mheya,thirsty,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
kmto,nibble,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
m'oyay,hungry,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
ba'on,know,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mita,see,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
kmayan,say,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
tmring,touch,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
tmapeh,invite,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
kayan,tell,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
pmakot,ask,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
smwa'ing,agree,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
snhe,believe,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
sma'ang,curse,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
cmyok,respond,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mong,listen,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
hmimo,lick,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mlong,aim,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
lmnglon,think,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
kba,do,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
pmimo,pray,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
smoya,like,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
sgalan,joy,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mngongo,fear,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
ngilis,cry,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
sgalo,love,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
p'ason,happy,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
msa'ang,angry,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mnkox,shocked,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
m'es,happy,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
maho,wash,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mtiyaw,work,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mhngi,stop,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mheri,waste,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
thmo,urinate,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
m'abi,sleep,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
t'oci,feces,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mhngaw,rest,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
msl'ong,sleepy,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
kmagaw,clean,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
tkba,learn,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mkori,steal,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
tmahok,cook,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
lmong,burn,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
msoyak,yawn,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
cmoling,roast,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mnaga,wait,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
t'oya,hunt,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
pson,drain,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
cmxo,mill,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mhelaw,quilt,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
ksyaman,fry,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mohi,plant,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
pnek,fish,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
tkalox,burnt,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
msa'it,cut,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
bgan,soak,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
hmngo,bury,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
m'iyo,change,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
cmpong,measure,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mtlong,burning,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
msolong,imitate,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
sm'an,feed,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
pscyos,fry,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
maki,live,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
m'was,sing,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mtisan,play,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mho'in,death,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
htagon,lose,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
ga'ing,pain,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
smoyox,bleed,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
tr'sow,pregnant,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
m'yanox,living,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
cyaho,fart,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
knayat,nurture,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
kapin,scar,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
kkoy,itchy,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
t'asi,sneeze,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
sbsyan,soreness,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mga'ing,sick,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mngaho,festering,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mhekang,slim,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
r'so,heavy,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
lhbaw,light,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
bawi,high,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
hopa,large,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
creh,short,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mngiyat,industrious,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
l'to,cold,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
cipoy,small,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
piyox,many,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
llaw,pretty,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
skinot,ice-cold,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
cikah,few,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mbosok,drunk,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
msya,laugh,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mhoyi,wet,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mho'in,ripe,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
khmay,thick,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
lhmi,thin,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mcla,dirty,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
m'elang,lazy,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mtasi,clean,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
cmyax,bright,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
thoy,fat,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
kiyay,dry,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
m'wix,tired,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
g'anos,new,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
smoran,old,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
sobeh,near,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
kilox,hot,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
theri,spoiled,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
meloh,spicy,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
theya,far,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
b'ba,swelling,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mtoki,bend,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
bsya,long,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
