tsu,chinese,source,kindOf,dialect,row_type,split
"hoci e'ohʉ ho mayo, la meemzo to mao'oahngʉ.","如果出獵有收穫,要餽贈親友",Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
meenoi ho mita meepeoco.,他很用力吹氣,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
tela meepaezomo 'o mo i'opo to meesi.,參加祭典的人都要參與到底,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mi'o meepeoco ta yompoho ta pangka.,我吹桌上的灰塵,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
moso la meepeoco to peiengo 'e cooa'toana.,我們鄒以前會吹鼻笛,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mico peepʉngʉ 'o mo meesi.,祭典今天已經完成,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,validate
a mita c'o mef'oesʉ.,他只是未婚生子啊,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,validate
mo ʉmnʉ ho isi titha momo ho titha meiya f'oe 'o to'o.,小鋤頭用來除草和挖地瓜很好用。,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
te poa poekotveni to lesmoe'isi si mo meo'eoi.,該叫警察來囚禁那小偷。,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,test
mo meobango to fozo 'o av'o'o.,我的狗追趕山豬,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
la meofo 'o na'sisi to cnʉmʉ.,香蕉的莖很脆弱易斷。,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,validate
mo meolʉ to tongeoza 'o ak'i ne mo maaseo.,祖父撈魚時撈到鰻魚,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mo meolʉ ta pooyoyo 'o longo'o ne mi'o toalongo.,我釣魚時鉤子勾到我褲子,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mita meomʉtʉ to pcoknʉ to la'o mia.,他種了麻竹阻擋了我的路,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,test
mita meonʉ'ʉ to ton'o 'e pasoya.,Pasuya 種了小米就不管,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mo meteona'o 'o mo poa'av'o ne hocma.,昨天用狗獵物的人追了很久,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,validate
panto la meteongaso to vcongʉ ho meezoho.,有人會放棄原來的配偶另娶他人。,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
lea'o metho to ceʉ'fʉ to foo.,我用小竹盤裝肉,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
moso metpʉskʉ ta emoo 'o 'avai.,Avai有來家裡探望一下,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
ma sia 'o mo meoaso ta f'oho'o.,是誰摸了我的背?,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mo mhimhino to te 'o'ana 'o sayongo.,Sayungu採購食物,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mi'o mhino to sangeava.,我賣苦茶油,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mita apemzo mi'poo to mo cmoho to feʉ'ʉ.,他因而逗留在殺豬的地方,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
ita mi'povi 'o mo cmoho to feʉ'ʉ.,他因看殺豬而不專注.,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
os'o poa mi'povneni ta haah'o 'e os'o teatatvia.,群眾為了我提的東西而逗留.,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
ihe mia to 'o'oko 'o os'o teai ci hiapeoza.,孩子們走在我做的橋,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
poa mianeni to 'o'oko si os'o teai ci hiapeoza.,讓孩子走在我做的便橋,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mo miapo to hioyapo no ton'o 'o maamespingi.,女人們撒小米種子。,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mi'oco mici maine'e.,我想回家了.,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mi'o mici bonʉ no mici.,我想要吃龍葵。,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,validate
ta'o n'a miebibisoo ho yofna.,晚間我要去找你。,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
tesi eno mimha yosvoci?,他會願意多給嗎?,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
'a mimza/mimia conoemoo 'o yangoi ho mo'o.,Yangui和Mo'o我們是一家人。,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
Te'o mipsohi ho te'o ohne foengo.,我到山上要住兩天。,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
isi mipoi to ngiao ne mi'o oevoi.,我在睡覺時貓從上方看我.,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,test
teav'a poa mipoyo si pania.,那瓶子不要讓它倒立,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
panto imza poa miseisi to semento to ceonʉ.,我們請人把路塗上水泥,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,test
mi'o miseisi to ngeai.,我塗抹化妝品.,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,test
mo na'no mismoyoa si oko.,那孩子看起來很害怕,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mo na'no mismoyoa 'o os'o aiti ci cmoi.,我看見的熊看起來很可怕.,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mo evasʉzʉ si mo mita'e ci 'o'oko no tmopsʉ,那群學生走在那裡。,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mitac'o ekameosʉ ho mita aomotʉ'ʉ 'e pasoya.,pasuya他只說得很簡短。,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
o'a mi'o s'a av'ohʉ sʉ'no ho mitaco amako maine'e 'e voyo.,"Voyu他已經回家,我就狠不下心再生氣了。",Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mohta smihi'o ci mitaeno nafcoco.,他尿褲子過所以他有尿騷味。,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,test
o'a mitas'a hoaeca tmaa'ozo.,他看起來不相信。,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mo mo'oyo to copi 'o amo.,父親烤竹筒魚,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mita mo'oyo 'e 'oongʉ.,'Uongʉ在烤竹筒飯,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,test
mita mo'potʉ to mali 'e mo'o.,Mo'o踢球,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mio mo'to'ʉ no te na emʉ'i no ocei.,開墾要種芋頭的地方,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mihin'in'a mihna mocaefi ne pooftongaveoveo.,他們才剛剛經過觸口,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mo mochi ta poco 'e oko.,孩子在丟垃圾,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
ake'a poa tmoena'o moefoeso si osko pei'i.,妳煮的要煮沸久一點。,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
os'o na'no moengʉa 'e pasonaeno.,我覺得這首歌很好聽.,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
te'o mofi ta mo pio ci peiso ho te homeyaya.,"小米豐收祭時,我要交錢",Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,test
ita moh'opi na soo.,他陪你睡.,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mi'o moh'opo to ino ne yofna.,昨晚與媽媽同睡,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,validate
oa mohco smaf'ongʉ 'o pasoya.,Pasuya已經犛過田了,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
o'a mohcola bochio no koei 'e 'o'oko ho mo pae'ekot'i.,小孩已露出私密處還不知道害羞。,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
isi moheafa to va'hʉ ne taptoana 'o mamespingiana.,少女崖是達德安河流的出口處.,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
isi moheafi to va'hʉ ne taptoana 'o mamespingiana.,少女崖是達德安河流的出口處.,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,test
mo moheafo 'o ngeoi to oko ho mo bonʉ.,小孩吃東西時口水流出來,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
os'o moheopheni 'e yangoi ne yofna.,我昨天與Yangui一起睡.,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,test
ita moheophi to mo'o 'o pasoya.,Mo'o 與Pasuya睡在一起.,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mimia moheopho 'o pasoya ne yofna.,昨天我和Pasuya睡在一起,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
te mohsʉftʉ to soetohvʉ ta chomo.,要用杯子來量水,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mo totoeha ne mohta fiifiho 'e mo'o.,Mo'o他曾花了三年去服婚役。,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mohtala na'no snooknoko ne mohtan'a foinana.,他年輕時很愛在河裡抓魚,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mohto la acʉhʉ thi'cia ne mohto lan'a 'o'oko.,我們小時候都很貧窮。,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
alʉ mohtoeseo co haengi'o.,我的汗水直接湧出。,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mi'o momaemaezo to hia pasonaeno to mo'o.,我仿效Mo'o唱歌的樣子,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
isi momentʉhi to ta'cʉ 'o h'oepona'o.,山羌從我的陷阱脫逃跑掉.,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
congo 'e cpʉh'o ho mo cono hie momo.,"拔了一天的草,腰覺得很酸痛",Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mita co mongoi ta emoo 'e mo'o.,mo'o 他已經分家了,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
teko n'a mopso ta ton'o.,你來篩小米,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mosi to peiso ta pangka tena si titha to oko.,"留點錢放置桌上,給小孩用",Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
na'no meolʉlʉ si mosko'ʉ.,"那隻母雞生了,而且很會照顧小雞。",Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
ote'sola o'te mosolʉlʉ to macocomaso.,千萬要收好你自己東西.,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
'ote mosomʉtʉ to 'oachomo ta ceonʉ.,不要放牛在路上妨礙道路,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,validate
mi'o mosoteoyono to kaapana ci ta'o titha eteovʉ.,我集中一些竹子要用來蓋工寮的,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,test
mita na'no mosotmozo ho mita mosi to hileo 'e yangoi.,Yangui 下肥時肥料下很多.,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
poa mosovaho no naveo ta 'o'oko no tesi 'ana ta bai..,讓孩子再為祖母添一碗飯.,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
ahto o'te moteona'o hote m'eac'o to yoepe ci emoo.,要蓋出很高的房子必須花很長的時間,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
tekon'a moteovaho no tesi s'ofʉ ta ba'i.,請你重做柺杖給祖母.,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,validate
mo moteovoveohʉ 'o ita patoyangza ci ca'hʉ.,他排的椅子有八排。,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
emʉta 'o maphiphingi ho teko moyafo.,你要出門時要把所有的門都關起來。,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,validate
mita msatpʉtʉ to fkoi 'e pasoya.,Pasuya用腳踩住蛇,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mi'oco msoyocʉ to ta'o emʉ'a ci toto no ecngi.,我已經預先買我要種的樹豆種子,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mo mtokʉ ta fato si oko.,那小孩投擲石頭,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mo'ici ta hov'o ho p'aeni ta 'o'oko.,請你剝橘子給孩子們吃.,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mo moengo 'o 'eongʉ to av'o.,'eongʉ把狗繩鬆綁,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mo mofoto to toapio 'o mo'o.,Mo'o在捆綁木材,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
te'o na'a fota 'e lolko'o ci mo 'aoko yohmoyo.,我把我的手指包紮因為一直流血,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
isi momzi to kohko 'o h'oepona'o.,狐狸中了我的陷阱.,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mo momzo to h'oepona 'o kohko.,狐狸中了陷阱,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mo mvoe to yʉsʉ 'o apo'o.,Apu'u在曬衣服.,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mi'o mʉ'ho to mo coni ci sʉ'eo.,我射中一隻雉雞,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
ihe nose'vi 'o mo mʉhcʉ'cʉ'a.,他們避開龜裂地。,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mo ianan'oo to monopeisia to mʉknana ho yasiongo.,安家和武家各自有祭屋。,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,validate
mo naanʉhtʉ si lolko ta yangoi,Yangui的手指都很短,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mo na'no nac'o si oko ho isi koica.,小孩子被罵了心裡很難過,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
nac'o si oko hote poa maine'e.,要讓那小孩回家他不願意,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mi'o na'no nac'o ho mo tma'congo 'o amo'o.,父親生病我感到傷心,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,validate
isi aatvia nac'oneni homo tma'congo 'o ino taini.,他為他媽媽生病而難過。,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,validate
os'o nac'ova hafa 'o mo moyomo.,我願意幫那喝醉的人.,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
os'o nac'ovneni honci fiho 'o fa'ei.,我不喜歡Fa'ei跟著我。,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
nanghia 'e pasoya ho voyo.,Pasuya和Voyu是好朋友,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,validate
la yone lohto 'o nanghia'o.,我的愛人住在Luhtu,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mo mosi to naveo 'o paicʉ ho faeni to amosi.,Paicʉ盛一碗飯給她的父親,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,validate
mafe 'e naveopai.,米飯很好吃,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
os'o o'honga ho o'a naveopai.,我吃得出來不是白米飯,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
teko oom'oha si naveoso.,你的飯趕快吃。,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
la'o peela teai teesi 'o ngei.,苧麻可以做成繩子。,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,validate
mo aʉsʉfeʉngnʉ soopozo ho ngico 'o pasoya.,Pasuya一大早就生火為了烤火取暖,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
ihe ngicvi to haah'o 'o popozo.,大伙在火塘烤火.,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mo ngoe to te teai sʉesʉ ci evi 'o haah'o.,大夥扛著要當柱子的木頭,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mio h'onasi 'o la ngotohvi to hofo.,用來擔山棕的扁擔是不一樣的.,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
ihe ngoevi to haah'o 'o tena sʉesʉ ci evi.,大夥扛著要當柱子的木頭.,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
lahe ngoheʉngea 'o mo pak'i ci av'o.,他們懼怕凶狠的狗.,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
lea'o ngoheʉngeni ta 'o'oko 'o mo pak'i ci av'o.,我替小孩擔心凶狠的狗.,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
la titho to maozi hola moyai ngotohva.,扁擔是用孟宗竹做的,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
os'o ngov'eni to ca'hʉ 'o yʉsʉ'o.,我把我的衣服掛在椅子上,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
zoo ca'hʉ 'o os'o ngov'i to yʉsʉ'o.,椅子是我掛衣服之處.,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
ngov'o to evi 'o nia yʉsʉ'o.,我的衣服掛在樹上,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
ita ngozi 'o mo yahioa.,他離開工作的人,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mico macoconi 'o ngtosʉ ta f'ʉsʉso.,你已經有一些白頭髮,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mi'o nia'te m'ecihi to t'ee no av'o.,我差點採到狗屎。,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
osoco ahta saisvʉti 'o ceonʉ ninca.,後面的路你走過了嗎?,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,validate
mo nopeohʉ ne hohcʉbʉ 'o no'aosna to emoo'o.,我的家在塔山下方.,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
no'ayomoni to taico 'o teo'oa.,雞在客廳裡面.,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
poa no'ayomonʉ si oko ci mo'so 'aoko mici mimiyo.,"讓孩子在屋裡面,因為他一直想往外跑",Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,validate
'otena 'aoko no'poo ta tec'o e'ohʉ.,別再耽誤他們要出發了,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
teav'ana 'aoka no'povi si te yaahioa.,別再耽誤他們要工作了.,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
leasi no'opi to ba'ihe 'o 'o'oko.,奶奶與孫子同住.,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mohta la asonghoi no'opo to pooto.,他從小就和漢人同住,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,validate
isi coc'o nochʉmi to ohngo 'o nia toton'o'o.,我之前的小米田雀鳥都滯留在那裏.,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,validate
isi nocmo'i to ceoyo 'o teova'o.,虎頭蜂靠近我的工寮.,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mo nocmo'o to c'oeha 'o emoo'o.,我的家靠近河邊,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,test
noe'ohi 'o os'o yosohngi ci fato.,我把我坐的石頭坐垮了。,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,test
sia co mo noe'ohʉ ta ceo'ʉ?,誰把石埂坐垮了?,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
te ngoveo elʉa 'o mo noefo'ʉ to ceoa ci kin.,很難找到埋在土裡的金子,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,test
ihin'i noefʉ'i ta 'o'oko si teova'o.,小朋友壓倒我的工寮,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mi'o noepe ta sofʉ.,我在屋頂上方,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
la noepehe to toevosʉ 'o 'oyona to ftʉftʉ.,帝雉居住在比藍腹鷴較高的環境。,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,test
ihe noepii to 'o'oko si sofʉ.,小朋友在屋頂上.,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
isi noezohi to cmoi 'o tʉ'nʉ ne hohcʉbʉ.,熊變換位置到塔山.,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mico noezoho 'o cmoi.,熊已經變換位置,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
nof'of'i ta ca'hʉ 'o panka.,椅子在桌子底下.,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mo nof'of'o ta pangka si ca'hʉ.,椅子在桌子底下,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
isi nokvo'i to yatatiskova 'e hpʉhpʉngʉ eni.,這塊地不適合人類居住.,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mo nokvo'ʉ 'o koyaiso.,你的車子停在不恰當的地方,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,validate
la'o nokʉ'a 'o t'ee no av'o.,我對狗大便感到噁心,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
a tec'o nomso ta efoco si f'oe.,袋子裝得下那些地瓜,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
mo aʉlʉ nomso to koyai 'o mo pito ci 'o'oko,車子剛好裝得下七個小孩,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,sentence,train
