dru,english,source,kindOf,dialect,row_type,split
tholake,hot,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
mwato'ava,spoiled,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
lraceng,spicy,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
dayli,far,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
mwabalrake,swelling,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
makilrong,bend,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
kawlrai,long,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
maboti'i,blind,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
kadadavaka,poison,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
mwadringai,delicious,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
mathorare,smooth,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
ma'alili,bitter,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
kiyaboli,stealthily,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
takalra,numerous,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
matholivate,brisk,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
malriyo,sour,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
ma'alili,salty,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
cosa,intentional,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
mato'ahe,pulpy,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
aniyaomasa,sturdy,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
madralredre,warm,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
maedrere,blunt,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
makede'alre,astringent,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
hiring,slant,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
mamamelre,soft,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
dringelrese,straight,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
siyaetenga,full,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
twadridringai,well,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
madraw,spacious,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
ahwahwa,correct,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
anilralrang,slowly,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
malrali,warm,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
mabotolro,coarse,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
mathangelra,long,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
kolaza,fine,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
edreka,short,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
drangedrang,hot,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
siyaete,full,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
aniyaomasa,handsome,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
mikaikai,should,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
kalalekete,able,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
lo,possible,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
takiraragay,celebrate,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
mosakidri,wipe,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
asikaolo,call,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
ciki'i,fold,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
arakai,use,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
'osakaelre,help,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
daki'i,attach,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
kiyalronglrong,shaken,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
tavasi,erase,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
swadralro,depend,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
teke'e,block,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
'asoro,stay,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
lingaw,sound,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
'alibate,over,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
aidrengere,brake,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
silra'e,search,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
teke'e,prohibit,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
'asatedra,remain,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
'atwanaw,begin,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
twalre'eng,complete,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
dare'e,make,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
kiyadringai,find,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
mwatokolro,trapped,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
mwatrangili,bang,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
mwaliyoso,rotate,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
lritrong,surround,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
mwadringadringai,good,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
kadrwa/kadrowa,no,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
maela,no,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
'atenga,really,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
alraingi,arbitrary,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
eene;mathariri,okay,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
asiloiya,because,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
odrava,whether,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
akase,immediately,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
ahowa,enough,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
yalrana,again,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
kathatha,only,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
lamani,so,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
tothadalrane,usually,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
si,with,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
nadroma,sometimes,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
iniyana,still,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
loiyasi,if,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
ma,very,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
lamikai,so,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
miya,also,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
maka'elre,both,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
katha,only,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
eene;aikalalekete,although,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
yakai,in,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
kalalekete,do,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
manganga,fool,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
drɨga,one,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
patɨ,four,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
nɨmɨ,six,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
pito,seven,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
varo,eight,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
vngatɨ,nine,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
poroko,ten,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
mposle,twenty,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
motolrolo,thirty,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
mthéptele,forty,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
mlrémle,fifty,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
mnɨmlɨ,sixty,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
mpitolo,seventy,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
mvarlo,eighty,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
mvangte,ninety,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
ɨdé,hundred,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
ikipiya,some,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
kovalɨ,once,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
makakwanga,kind,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
sessa,pair,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
ngicolo,entire,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
pakatha,half,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
so/moso/swa,you,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
kini,he,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
kɨnamɨ,us,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
kidri,they,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
imo,yours,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
inamɨ,our,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
iso,your,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
ili,mine,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
ini,his,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
nɨma,we,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
mitia,let's,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
inamɨ,ours,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
kdroo,that,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
kné/kani,here,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
kdroo,there,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
toménia,this,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
acikidri,what,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
tomanɨdra,how,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
acini,who,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
ikadra,where,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
nakodra,what,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
ikatékadra,where,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
nakodra,why,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
mama,dad,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
nina,mom,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
lemataktaka,cousins,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
lɨmengne,relative,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
spakamnéni,spouse,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
asiradra,daughter-in-law,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
osiridria,husband,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
pthédamo,in-law,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
lemataktaka,sibling,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
mama,uncle,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
nina,aunt,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
aracɨ,name,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
vlavlakɨ,child,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
abéya,female,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
sovlé,male,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
ico,people,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
koisang,doctor,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
singsi,teacher,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
bra,enemy,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
otatras,sir,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
drioman,hooliganism,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
késaco,police,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
sioni,sister,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
gaisiozing,mainlander,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
boroboro,miss,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
séto,student,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
cingira,ear,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
drorsa,thigh,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
mca,eye,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
tmaca,face,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
ngidivi,mouth,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
aoro,head,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
koloka,fingernail,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
lrima,hand,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
boetɨ,body,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
tongoroa,nose,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
koko,foot,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
vlésé,teeth,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
isivi,hair,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
lobo,blood,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
boetɨ,meat,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
toponoa,forehead,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
brangɨ,belly,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
tobosbosa,calf,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
isipi,shoulder,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
bthéngé,chin,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
bokolo,back,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
aba,lung,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
atokolo,heart,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
ngɨré,saliva,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
poko,knee,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
tkacokara,wound,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
bocoka,stomach,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
sorogo,liver,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
rekɨ,phlegm,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
kradré,goiter,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
sma,grease,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
bokoes,rib,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
pago,gallbladder,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
tatɨma,thumb,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
toloroa,throat,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
rɨdamɨ,tongue,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
tapɨdra,waist,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
gologava,finger,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
ribiboenɨ,sweat,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
ɨrɨ,neck,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
poko,joint,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
loro/dɨkɨlɨ,buttocks,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
tkerkerna,armpit,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
repadɨ,kidney,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
