tao,chinese,source,kindOf,dialect,row_type,split
paneban,關上,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ipanazang,賣,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
iwangan,打開,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ai,過來,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
manazang,買,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ipanta,給,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
vooden,借,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
karwan,走,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
somalap,飛,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
malayo,跑,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
itoro,送、給,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
somaway,逃跑,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
somdep,進入,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
maglo/mazba,翻倒,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
yangay,帶,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mioli,折返,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mamno,生長,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
awan,讓開,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
azow,贈送,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mavozas,掉落,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
omangaz,上坡,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
tazapyahen,接,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
maciami,向人家要,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
iglo/ibokbok,倒,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
omawat,攀爬,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
meyyoyowyow,逛一逛,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
apisen,追,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mapis,趕上,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
nimonos,滑掉,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
misiay,分開,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
miayob,穿,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mitotoaw,出現,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
aneben,關,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mananap,爬行,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
itazogaw,拜訪,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
tomoto,跳躍,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
amlisna,坐下,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
meylologod,彎腰,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
pasagiten,掛,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
meybozo,玩,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
apen,拿取,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
bakbakan,打,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
sobsoben,刺,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
tokzosan,射擊,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
malektek,跌倒,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
patoktokan,踢,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
padondonen,推,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
linglingen,搖動,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
vacin,折斷,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
amzikzik,發抖,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mikakadkad,抓癢,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
komalat,爬上,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mirey,躺,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
civavahen,揹,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
dokdokan,敲碎,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
isaboay,扛,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
valikden,翻動,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
maloalolog,滾落,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
nitoknoz,撞到,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
kalopkopen,抱著,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
avyotan,吹,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
kalian,挖掘,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ilapen,切,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
miawawat,游泳,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
tayoen,藏起來,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
rakpen,抓,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
cibciban,砍,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
isabhey,揹負,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
vonongen,分,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
pisisiin,剖開,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
pikedengen,綁住,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
pamingit,拉,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
aboaken,劈,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
koztoden,扯斷,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
aviten,提著,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
kemkeman,握著,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
vaovaoden,捆綁,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
padmisen,按住,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
botboten,拔除,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
inanaen,挑選,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mivoak,凌亂、散撒一地,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
toktokan,啄,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
pasogaten,插,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
padponen,堆積,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
akoten,搬運,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
oyoten,拔出、抽出,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
civocivozen,攪動,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
paididen,用手壓住,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
kelekelehen,搔癢,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mikekemkem,握拳,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mamozas,摘取,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
matoatog,晃動,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
imaden,剝,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
magnoz,振動,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
kekehen,打包,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mamozis,採收,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
taremen,磨利,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
zingzingen,動,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
yoyawen,追捕,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
zemeken,打碎,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mazkem,倒,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
liperesen,扭轉,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
patneken,豎立,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
zazasagan,踩踏,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
totoen,跳過,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
kezin,割,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
akbengen,掐住,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ididen,壓制,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
pakanen,餵食,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
rakepen,捕抓,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
sokaben,撬開,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
zasagan,踏,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
pitapiin,壓扁,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
kolitan,剝皮,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
pikaraheraheten,翻亂東西,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
apisan,揉搓,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
manadeng,靠著,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
sipzotan,鞭打,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
misiri,側臥,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
atjipan,削,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
manoved,捻線,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
tedtedan,剪,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
cipasen,砍除,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
manalatala,招手,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
aktekteben,剁,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
tangtangen,敲,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mililiman,打架,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
aslinen,擠,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
omlogod,低下頭,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
pasakain,拉,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
kowkawan,挖掘,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
nakenakehem,隨意,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
tomratod,蹲坐,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
cizopen,吸,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
minom,喝,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mota,吐,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ngetngeten,咬,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
itlen,吞嚥,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
itlen,吞下,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
kowasan,燙到,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
malden,噎到,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mavaon/mabsoy,飽食,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ngetngeten,咀嚼,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mawaw,渴,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ngotngotan,啃,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
makcin,餓,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
romyag,吃早餐,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
masazi,遇到,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
panci,說,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
angnoen,聞,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
pinanan,觸摸,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
patoyonen,邀請,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
liliwen,感覺,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ipanci,告訴,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
tawagan,叫喚,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ipanahes,詢問,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
noonen,答應,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mipangavangavay,謾罵,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
cikdawen,觸碰,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
patovisan,回應,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
amizingen,聽,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
laposan,舔,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ipanci,交代,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mivzezeng,睜眼,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
pacizitan,瞄準,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
nanaoen,教,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
nakenakemen,想,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
citaen,觀察,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mateneng,會,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
minozi,禱告,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ikakey,喜愛,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
maniahey,害怕,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
omlavi,哭,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ikaglow,疼愛,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
masaray,高興,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mioyaoya,生氣,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ikaglaw,愛護,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
maogto,嚇一跳,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
masarey,快樂,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
pingsanan,整理,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mipipis,洗衣物,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
omtad,停止,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mapasaway,小便,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mangigo,殺牲畜,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
meywadwad,大便,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
makaha,睏,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mivias,打掃,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mirey,躺臥,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
manakaw,偷竊,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
manengdeng,煮,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
asleben,燒,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
miyowab,打哈欠,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
manotong,烹煮,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
nanalaen,等待,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
teyrain,曬乾,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
manilek,以杓汲水,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
pazioden,將水排出,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
pingsanan,收拾,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mojis,碾,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
teyrain,晾乾,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
payoben,幫人蓋被子,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
sooen,探照/照明,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
pasoaden,蒸,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mimoa,種植,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mangna/mamasil,釣魚,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mapidokdok,生火,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
asinen,用鹽巴塗抹,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mapseng,燒焦,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
yanan,照顧,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mitedted,剪,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
pehmahen,浸泡,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
palingangahen,掀開,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ibobo,掩埋,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
palitan,替換、更換,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
asletan,鎖上,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
sazaban,燒,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
katacian,尿急,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
aktoktowan,量測,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
masleb,燃燒,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
masagit,懸掛,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
inaraen,模仿,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
