ssf,chinese,source,kindOf,dialect,row_type,split
mon'ioto,到某處,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
shaonantoan,從某處,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
malhakath,鋤草,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
poqnoan,犁田,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
finshiq,播種,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
finshiq,種苗,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
wandan,犁,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
qaqlhit,鐮刀,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
aqor,鋤頭,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
pash'aniaminan,倉庫,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
tmasho,開墾,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
pahaq,肥料,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
qashishian,篩穀器具,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
minmabolaw,催熟,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
minaboot,稻草,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
rapo,矛,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
lhpazishan,箭矢,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
shi'a'ail,餌,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
pot.hoom,槍,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
fonosh,獵刀,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
lhkaribosh,獵物,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
danar,石壓式陷阱,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
toqris,套頸式繩索陷阱,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
qafay,籃子,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
toqris,捕鳥陷阱,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
matiashaq,夢,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
hahohahoy,巫術,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
balinoqaz,教會,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
Los'an,祖靈祭,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
qali,鬼魂,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
tonoon,編織,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
kazinkin,男用耳環,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
kazinkin,女用耳環,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
sasoakon,褲子,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
moplhiq,破掉,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
patikrin,頭飾,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
tatilhbo,腰帶,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
klhiw,苧麻,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
kalisia,染色,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
sasoakon,女性長褲,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
maqosom,布匹,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
holos,傳統女上衣,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
bzahin,傳統女裙,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
tapaha,鞋子,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
tatilhbo,揹小孩的背帶,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
bzahin,裙子,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
korin,男用遮陰布,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
lhalhahi,男用背負網袋,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
lhtapako,擋胸巾,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
baon,上衣,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
shinaponoqin,頭帶,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
sinay,織布用的素麻線,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
lhalhahi,女用揹籃,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
qatapay,圓形竹簍,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
ba-so,公車,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
zashoq,白米,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
shanglaw,青菜,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
lhimash,油,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
shazik,味道,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
shnir,湯,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
bailo,豆類,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
sai-poo,白蘿蔔,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
pazay,穀粒,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
lhalhotha,粥,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
kamar,小米,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
kamsia,糖,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
toa-mii,麵,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
tao-io,醬油,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
zashoq,在來米,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
qtha,米糠,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mi-hoon,麵粉,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
matinaq,紫色的,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
shadonan,黃色的,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
madilan,咖啡色,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mapoqshiw,灰色,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
madishlon,綠色,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
kalisia,顏色,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
hmorhor,狗吠聲,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
kamamori,獨自一人,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
tataal,相同,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
qali,日子,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
oa,是的,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
lalawa,語言,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
koshwit,力量,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
kazakazash,文化,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
nomanoma,各色各樣,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
pasanoman,用途,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
qondop,關上,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
fariwin,賣,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
tmana,打開,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
onai,過來,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
fariw,買,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
shmimol,借,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mosha,走,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
palalia,跑,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
matilain,送,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
man'ashkaz,逃跑,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
motmaz,進入,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
kashongkariri,翻倒,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
kmatho,帶,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
shmashaw,趕走,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
moshoqish,折返,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
lhongqoz,生長,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
qiwin,讓開,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
panaqa,贈送,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mathathak,掉落,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
makonafaw,上坡,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mashdoo,接,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
makaparaw,越溪而過,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
makoiza,向人家要,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
smoriz,倒,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
pashnasahai,走,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
makorada,攀爬,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mondadadaan,逛一逛,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
qmaqotilh,追,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
qmalhoqto,趕上,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mororo,滑掉,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
shodahda,分開,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mo'apaw,出現,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
milhalhilhi,站著,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
ininai,來過,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
pakolhana,爬行,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mriqaz,拜訪,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mosaran,出去,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mimparaw,跳躍,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
milhongqo,坐下,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
taozoko,彎腰,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
pongqaqaodin,掛,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
matinhina,玩,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mara,拿取,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
kmaitono,打,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
kmotafalh,刺,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
pafthiq,射擊,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
taobokbok,跌倒,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
psaq,踢,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
shmokoth,推,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
tmalah,砍伐,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
poshashishi,搖動,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
moton,折斷,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mangkakalay,發抖,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
kmolhaw,抓癢,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
makorada,爬上,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
miataknaknar,躺,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mapa,揹,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
moplhiq,敲碎,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mongqibi,扛,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
makonzazai,翻動,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
momborabora,滾落,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
shantorozin,撞到,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
lhmofo,抱著,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
miop,吹,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
konlhit,切,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mongkoroz,藏起來,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
smapok,抓,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
tmalah,砍,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mapa,揹負,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
qmalosh,分,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
fkat,剖切,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
qmothqoth,綁住,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
tmalhtalh,劈,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
moton,扯斷,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
kmatho,提著,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
qmothqoth,捆綁,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
kmiskis,按住,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
lhmilhiq,拔除,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
tmiroq,挑選,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
finshiq,散撒,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
tonrik,啄,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
lhmirik,插,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
pakinsoon,堆積,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
shmiashia,搬運,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
kmororo,拔出,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mriboq,攪動,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
kmiskis,壓住,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
kmolhaw,搔癢,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mara,摘取,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
ma'a'oish,晃動,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mroqit,剝,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mofarit,涉水而過,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
pokakakri,振動,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
potiqo,打包,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mara,採收,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
lhminlalamlam,磨利,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
shmishi,動,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
qmaqotilh,追捕,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
poplhiq,打碎,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
montonoq,倒,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
damriz,扭轉,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
thmikthik,豎立,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
makaparaw,跨過,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
konlhit,割,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
pinitpit,掐住,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
kmiskis,壓制,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
pakaan,餵食,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
smapok,捕抓,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
kmangqtha,踏,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
lhminshapiq,壓扁,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mrishop,擦,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mronsoz,揉搓,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
smisiqan,靠著,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
kmaitobar,鞭打,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mlalas,削,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
qompit,剪,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
shmiwat,砍除,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mataotaolh,招手,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
tmiktik,剁,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
makarono,搗,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mapathay,打架,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
pitpit,擠,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
miadokhokhon,低下頭,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
shonafaw,拉,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
momamoqmoq,隨意,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
miakongkongko,蹲下,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
milhilhi,起立,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
shmi'oth'oth,吸,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
miqilha,喝,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
motaq,吐,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mriqin,吞嚥,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
riqinin,吞下,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
