xnb,chinese,source,kindOf,dialect,row_type,split
arakoracʉ,生氣,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
arakoraciin,若生氣,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
takacicinia,請自己;請主動,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
iisoa,那;那個,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
pokarikarian,說說看,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
arasoromo,突然,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
mariivari,回答,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
masi'oro'oroan,先說說看,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
mati-ocani,第一個,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
toiisoa,成為;擔任,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
siaovang-ien,消防員,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
maticosa,第二個,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kangkoho,護士,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
parakicacʉ,使驚嚇;使驚訝;使訝異,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
'iintasʉ,力量;力氣,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
poso'aniin,若搬動,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
savai,勝利;贏過,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
potocaao,尊敬;尊重,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
Kanakanavo,卡那卡那富;本族的自稱,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
'amoseen,怎麼說;如何說,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kanaasia,季節,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kanaamara,秋天,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
cʉ'ʉroon,看著;要看;去看,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
karo,樹木;木材;木棍;柴火,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
niaramariingona,變乾了,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
mataca'ivi,過後,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
ka'anmanamo,你們喜歡的,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
poaka,厭惡;討厭;憎恨;嫌棄,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
macici,熱,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
maatʉa,相同,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
morovoarʉ,倦怠;厭倦;懶得,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
pacʉpʉcʉpʉngʉn,想到;聯想,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
Pasikarai,「河祭」的專有名詞,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
nimaatipa,曾經或已經參加,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
ngoai,就是;由其,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kasʉʉpatʉ,四月,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
mataarava,到,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
karima,五月,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
ka'icioro,生蛋,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
'apoi'i,使回來;使回去,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
'oropacaa,請使用;要使用的,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
samʉsamʉʉn,咀嚼,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
vʉra,米;成果,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
siningsinga,刷洗過的,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
sapoarʉ,撈網,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
moocara,往上,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
niarakokon,曾經或已經相處,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
makanaan,如何;怎樣,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kʉkʉnang,夥伴,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
mita,我們,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
ta'oici,瘦的;細的,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
tinimana,聽過,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
cocomeem,別的;另外,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
na'aangici,吝嗇,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kan,語助詞,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
tasiira'ʉ,熱忱;慷慨,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
karin,他的話,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
poakici,批評;背後說人閒語,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
ketootoro,學習,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
ketotoroa,要學習的,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
masiiraro,原本;當然,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
'omoo'oma,田園;田地;田裡,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
niisʉ'a,所放置的,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
tapi,背簍,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kakaamarʉ,鐮刀,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
ʉmʉka,要種植的,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
naamnam,生薑,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
sipara,對岸,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
mataatʉa,恰巧;恰逢,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
mava,揹,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
taro'an,工寮,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
nipacʉvʉra,所豢養的,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
moranniin,若幫忙,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
mo'iarʉ,緩慢;慢慢的,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
'aparaanʉpʉ,浪費,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
matiropaang,完成;結束,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
na,語助詞(使用於指示方向、地點、時間、人物),Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
koocoong,國中。,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
Heto,屏東。,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
Nepo,內埔。,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
nongkoong,農工。,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
Vʉngsaan,鳳山。,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kaocoong,高中,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
Hancirio,"番薯寮,指現今之旗山區",Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
iimo,所以,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
papeen,幾位,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
manʉmʉn,六十,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kanaira,人少,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
rangrang,困難;貴,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
ketotoroon,學起來;被學習,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
co,語助詞:通常使用於「過去式」,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
koosiao,國小,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
osʉʉpatʉ,四,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
'akia,沒有,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
niketootoro,曾經或已經學習,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
matimanʉngiin,若好好的,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
aririan,仔細聽;頃聽;聆聽;打聽,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
maritanaam,練習,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
pacʉpʉcʉpʉʉng,想;思考,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
cʉpʉʉnga,所想的;所思考的,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
pakariamo,你們說話的對象,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kinvavara,兄弟姐妹,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kita,我們,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
arakacaoa,變多,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
nimookosa,曾經或已經去,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
taniara,日;日子,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
nikosamo,你們去的,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
tong'o'ien,動物園,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
marʉkorakorapʉ,動物;野獸,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
toropang,結束;之後,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
siakisiikisi,刮的工具;用來刮的,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
ngisiingisi,鬍子,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
ʉrʉna,冰;霜,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
roimin,被遺忘的,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
nipaicaa,所經過的,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
namanamarʉ,平地,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
aratʉkʉʉn,分開;分離;離開,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
Tainan,台南,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
ca'aania,日間;白晝,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
siacʉvʉrʉ,生活;生存,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
tomatococo,送,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
tia,要;會,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
raopan,老闆,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
tantanniara,每日;每天,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
makaasoa,那樣,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kipaatʉsʉ,努力;用力;岀力;認真,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
seropaca,要使用的;用以,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
katangtangria,交朋友,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
tikirima,去找;要找的,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
nariisʉvʉ,虛偽;欺騙;假裝,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
tamna,所屬;的,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
ikoiin,由我;讓我,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
po'oroo'oro,先說,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
aracapici,接近,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
taocʉng,文靜,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
noteen,若要,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
marivivici,領頭者;一直帶領,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
pomanʉʉng,欣賞;讚賞;滿意,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
nimakaan,曾經一次,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
navico'o,兇;脾氣不好,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
ma'icʉpʉ,懼怕,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
siacʉ'ʉra,所看的;用來看;看法,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
sipangariingari,行為;動的方式,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
mosorovo,圍圈圈吟唱,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
tensʉ,電視,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
soa,語助詞,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
tavara'a,所知道的;所了解的;注意,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
karanana,不同;特殊,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
orocin,兩個;兩種,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
moro'ocaang,結婚,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
ka'opo'opaang,隨性;隨便,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
pii'oro,領唱;先唱,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
'apaica,隨著;使通過;使透過,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
caniin,他;她的歌,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
cocomeen,別的,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
matipa,參加,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
'apamanaatʉrʉ,使堅定,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
Mikoong,米貢祭,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
miana,以前,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
toropaang,結束;完成,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kapiitoa,七月,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kaaroa,八月,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kamana,十月,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
Tapcarake,小矮人,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
rapʉ,種籽,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
nimova,給的;給了,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kitana,我們,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
maripipining,拿出;呈現,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
vo'oroa,新的,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
cancan,每個,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
conoko,糯米糕,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
mo'iara,請慢慢的,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
Taioan,臺灣,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
somasʉpʉra,請數數;請唸出,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
'Amis,阿美族,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
Taiaro,泰雅族,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
Sao,邵族,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
Setek,賽德克族,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
Toroko,太魯閣族,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
Saisia,賽夏族,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
Coo,鄒族,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
Somokon,布農族,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
Paioan,排灣族,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
Kamaran,葛瑪蘭族,Formosan-ePark/Final_XML/ep2_生活會話篇/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
