ami,english,source,kindOf,dialect,row_type,split
O cifongohay cingra.,He is smart,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Forsenan ko faloco' no tamdaw.,The people are unresponsive.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Kafoti'.,Lie down.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Caay ka ala ko fafoti'en.,couldn't sleep,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
wiro fafoti' kiso saw?,Why are you still sleeping?,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
hacol no kolong,cow milk,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
hacol no ina,mother's milk,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Hacowa ko 'aca?,How much does it cost?,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Ano hacowa cingra a tayni?,When is he coming?,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Ihacowa ira?,When did he come?,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Hacowa ko fana' nira?,How much does he know?,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Haenen ko demak.,Do it like this.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
O tatiihay a tamdaw i kinahated hanto ao tatiihay ko demak.,An evil person persists in not changing his ways.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Mihay cingra to sowal ita.,He agreed to what we said.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Malahakelong kami tatosa.,The two of us went together.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Cihakelong kako.,I have someone to go with me.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Hakelongen ko sowal no mama ato ina.,Obey your parents.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,validate
Mihakeno tiro Yisan.,Peter denied Jesus.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Hakianini kita a malawidang.,We will start now being friends.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Ano hakowa aira?,When will he come?,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Ihakowa a mafana' kiso?,When did you know?,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Caay ka kowa ko payso ako.,I don't have much money.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,validate
Misahalaka kita to sakatayraaw.,We are making plans to go.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
o nisahalakaan,plans that have been made,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Halhalen nangra kami a misalafang to tolo a romi'ad.,They entertained us as guests for three days.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Pacakaten ko fayang a pahalhal to fali.,Raise the sail for the wind to catch.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Haliina kako.,I love my mother.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Haliepah cingra.,He is addicted to the bottle.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Tayra cangra. Halo ako a tayra.,They went. I also went.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
cihanaay a mowa,Roselle,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Haop han nira ko tokos.,He took over the whole mountainside.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Mihaopay ko pikowan no was.,God rules over all.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Pakahapinang to faloco' ita ko was.,God is able to discern our hearts.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Mahapinang ko keter nira.,His anger is evident.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Haratengen ko sowal nira.,Don't forget; remember what he said.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
O papiharateng nira i takowanan to so'elinay a demak konini.,What he is doing is making me consider what I really ought to do.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
nao harateng ako i,what I had thought was...,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
harateng kako,I then thought...,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,test
Hatinien ko demak.,Do it like this.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,validate
"To hatiniay i, awaay ko nanom niyam.",All this time we have had no water.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
ano hatini.,right now,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
To hatiniay a halafin i,All this time...,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
ano hatira i,in that case,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Hatiraen ko demak.,Do it like that.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Hatiyaen onini a demak,Do it like this.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Haydaenho.,Don't stop yet.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Ciheciay to ko demak ako.,My work is accomplished.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Pahecien ko sowal.,Clarify what you are saying.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Ciheciay ko demak nira.,What he did has fruit.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Adihay ko heci no panay.,The rice is heavy with grain.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Masahefohefong ko 'ongcoy.,The rock is hollowed out.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Mipanay cangra i hefongay a omah.,They were harvesting in a valley.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
I hekal ko sowal nira.,What he said was very clear.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Mahepol to ko raraw nira.,His sins are forgiven.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
herek no lahok,after the noon meal,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
paherek to ko tayal nira.,His work is finished.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
I paherekan no tayal nira,after his work is finished,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,validate
paherek to ko keter no was to raraw.,God has been satisfied concerning sin.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
mahetec ko tireng,to become skinny after being fat,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
hawitid cingra.,He separated himeself.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
hawitid cingra.,He was not included.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
mihoka' to faloco',to open the heart,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
ano honi,in a moment,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
ihoni,a few moments ago,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,validate
Malahorac ko faloco' nangra.,Their hearts became empty.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
howak no riyar,Wigeon,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
tilo ldek.,rainbow,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
o i ikoray,those who come afterwards,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Imengen cingra.,Guard him in prison.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Panokayen cingra ciinaan iso.,Send him home to your mother.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
o iingiday nira,the one along side of him,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
ira sato,to be at this point,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,test
samaanan iro tomangic cingra?,What brought on his crying?,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Itinienho.,Put it here for awhile.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,test
I tiraen.,Put it there.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
o i tiyaay ho a tamdaw,the people of a former time,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
tiya aca,from then on,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
iyo no fitoka,medicine for stomach,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,validate
sapaka^so'an,looks good tasting,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
i emangan ho,during one's youth,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
kaemed ko faloco',responsive heart,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
misakaemed to demak,do something the easy way,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,validate
kaemed ko 'aca,cheap price,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
kaemi ko faloco',responsive,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
kaeped ko sowal,to be soft-spoken,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
kaeped ko kamaro'an,soft place to sit,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
kaeped ko sera,ground is easy to work,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
kafesa' ko sowal,speech is not interesting,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
kafesoay a kenaw,the green tops of round onions,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Makakafit kita aci Yis.,We are related,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
hemaw a tengilen ko sowal nira.,His words are easy to receive.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
hemaw ko faloco' ako.,I respond by feeling light-hearted.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
caay ka kahi,not agree,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
mikahot to hemay,to eat rice with one's hands,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,validate
cikakaan ako,place where my brother is,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
no 'ri a kakorengay,Fairy Fig tree,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
la la^ han nangra ko nika romakat.,They blew the trumpets as they walked.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
lamkamen ko demak.,Do the activity quickly.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Makalat no sapaiyo ko fanges.,Skin reacts to medication.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,validate
Mikalat ko sowal nira.,His words inflict hurt.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
kalos to fokes,to comb hair,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,validate
makalim ko wadis,teeth hurt,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
kalo maamaan,all things,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
kalo tayal,ordinary work,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Tanokamay han nira.,He did it by hand.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Pakaolahen cingra to nano nika lalok nira.,Reward her for her diligence.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
O maan ko sapakaolah ita ngraan?,What shall we give her for a reward?,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Olahen ko wawa iso.,Love your child.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
O aolahen a wawa cingra.,He is a loveable child.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
O aolahan a wawa cingra.,He is a child that must be loved.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Maolah kako a tayra a lama.,I like to go and relax.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Pakaolahen koya wawa!,Reward that child!,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,validate
makapahay ko riko',clothes are pretty,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Cikapi cingra to Holam.,He has a Chinese mistress.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Makakapi ko pilayap nira.,He got a second gift to go with the first.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Makakapi ko pitatoy nira.,He carried something in both hands.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,test
Makakapi ko codad ita a tayra i kiyokay,We carry companion books to church.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
O ramangahay a tamdaw cingra.,He is always lying.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
rapaskaay ko faloco' nira,He has a lot of inhibitions.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
cikaratay a 'ongcoy,a rough boulder,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
reteng ko faloco' ako.,My heart is weighed down withtrouble.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,validate
reteng ko tayal nira.,He has to lift in his work.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,validate
kasaparan ko faloco',heart is not responsive,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Makatar koya wawa.,That child is vandal.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
kalo kawas,all the spirits,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,validate
tatiihay a kawas,demons,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
midipotay a kawas,gods,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
palakawakawasen ako ko nika somowal.,I spoke in riddles.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,test
palakawas to fokeloh,make the stone a god,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
sakawiliay ko demak,to be out of step,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
kayakay cingra palalitemoh cangraan.,He became a middle-man to introduce them.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
pakayakay cingra to sakanga'ay nangra a tatosa,He mediated for their reconciliation.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,test
Makakayat cangra a romakat.,They held hands as they walked.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
yaten kako.,Lead me by the hand.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Makayhid no tao cingra.,He is led astray by others.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Pakemo han nira ko falohang ako.,He hit me squarely in the chest.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Makemo ko tamdaw.,A man fell from above.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Sakepakepa n cingra to romi'ad a matiya ito'emanay.,He walks in daytime like he was feeling his way in the dark with his feet.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Mikerem ko cidal.,The sun is setting.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
kahkrekerem ko romi'ad.,The day is growing dark.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Makakereng ko romi'ad.,It is thundering.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,validate
Makerid nira kako.,He led me.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
O mikeriday cingra.,He is leading.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Keriden kako.,Lead me.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
kakeris ko citosiya.,The cars scraped each other.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
misakeristo,to practice the Christian faith,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
kerit a lisin,the ritual of circumcision,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Misakero kita.,Let's dance,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Kaketeren nira kako.,He rebuked me.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,test
Maketer cingra.,He is angry.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Miketing ko talod i riko' ako.,Grass stuck to my clothes.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Maketing ko riko' ako i pacek no 'anengang.,My clothes got caught on a nail in the chair.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
paketingen ko kolong.,Stake the water buffalo.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
O miketketay cingra to semsem.,He is experiencing suffering.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,test
miketon to sowal,to make a promise,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
maketon to ko sowal,the promise,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,validate
kaketon to sowal,an agreement between two parties,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
o miki'a'amay,a beggar,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Tatiih ko kido noya tamdaw.,That person's character is not up to standard.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Kiemel ko faloco' nira.,He is strong in heart.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Kiemel cingra a matayal.,He works with endurance.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Awaay ko kihar ako.,I have no involvement with...,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
har kako toya demak.,I related to in that affair.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
makilim ako,I found,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Kilimen.,Look for.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
makimaday a tamdaw,a person who is good with words,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
sakimoodan a mo'ong,roasted whole,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
kina tolo,three times,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
kinamo^tep to!,Have done it ten times!,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Kinco ko fawahan.,The doorway is narrow.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Kinco ko faloco' ako.,I am embarrassed.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
kakinih to demak,to be unfair,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
kakinih ko piteli,not the same amount put or given,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
matokinih ko rakat,unbalanced walk,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
ric ko nanom to sera.,The water swept away the earth.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Makiric no nanom ko pala.,The field was swept by the water.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Sakiroen ko dateng a miparo i koreng.,Salt the vegetables and store them in a large earthen vessel.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Kodefet ko capox.,The rice plantings are growing thick.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
koemi ko faloco',responsive,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
koemih ko faloco',agreeable,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
koengelay ko fanges,skin is youthful,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
koengel ko faloco',easily influenced,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
koengel ko titi,meat is tender,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Koesan ko 'odal.,Honey is sweet.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
Koesan ko sowal nira.,He is using flirting speech.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
koesit ko faloco',stubborn,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,sentence,train
