xsy,chinese,source,kindOf,dialect,row_type,split
"yako Sipanpangih, papori: ka sinsangan.","我跌倒了,請醫生擦藥。",Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
moyo 'izi' papoti' ka ra:an!,你們不要擋路!,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
'akoey ka mininhae:ar ra:an papoti' ila.,多處坍方道路被阻了。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,test
hini papotoy nom potoy ka korkoring.,這包巾是用來包小孩的。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
haysani kabina:o' hiniba: hahi:il ka 'ima papozokan.,現在的小姐穿衣服大部分都露肚臍。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
"korkoring hara:i' ila, Sa'ila papranaw!","小孩髒兮兮了,去給他洗澡!",Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
yako parahi: ka kayba:en hi minayti' ma'an ray hataS.,我叫我妹妹在帳篷裡晾衣服。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
hini ma'an Sinpan bibi: 'izi' parakep ka mae'iyaeh o!,這是我養的鴨不要讓人抓喔!,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
"hini wa:ay Sa'ila pareme: hi 'ata', siya ha:aw 'am romeme:.","這個線拿去給嬸嬸染,她正好在染線。",Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
hini korkoring 'ay'ayaehan Sa'ila parhaep!,這個孩子一直生病去占卜!,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,test
pas'el ka korkoring rima' ray 'inkahoelan.,去娘家讓孩子生長祈福。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
So'o pas'i'is hini noka waliSan bangeS.,你嚼這個山豬皮。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
So'o pasa'owaz nisiya ka pinayaka:i'?,你將他的話當真?,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
paltata:a' 'okay palhoroe: i kapayramo'an haysiya 'i'iyaeh 'okay pasay.,殺雞沒有割到血管還活著沒有死。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
korkoring mina pase'elen kayzaeh ka sin'el.,孩子要助生才會長得好。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
"yako minSa'la' pasenge: hi koko' ka kae'niw, So: tikinSa:o' kataleken.","我請奶奶先泡香菇,等準備晚餐時要煮的。",Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
"baki' 'oka' ila ka nepen, pasi'aelen ila ka siningo:.","爺爺沒有牙齒,給他吃稀飯。",Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
pasikoey ila ri'sa:a' ray poway babaw!,就疊在那裏的棉被上!,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
'oya' pasipsip 'iyakin ka poway.,媽媽叫我摺衣服。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,test
"ma'an sibal 'okik soma:om ila, 'am pasizab hi baki'.","我的刀子不利了,要請爺爺磨刀。",Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
tibtibon niya'om paskayzaehen ka Siloe'.,薏米珠我們拿來串成項鍊。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,validate
'insa'an rima' ray 'oes'oeso'an 'a'inola' 'omalep paspeng ila 'inimon!,等一下要去山上狩獵比賽靠你們了!,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
rim'aen 'am kiSka:at ila pat'awan ka kina:at.,明天要上學了先把書準備好。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
yako 'am pat'izaeh naehan 'isa:a' 'am lobih ila.,我先收拾好了才會回去。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,test
yami hani 'ina pat'izaeh hi mama' ma'an.,我們最近才辦完我叔叔的後事。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
kabaki' kakhayza'an hayza' pataSen ka rae'iS ki ngo:o'.,先祖父以前有額紋及下顎紋。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
mita' kintatini'an ka kaspengan 'am pataSilotor ka 'al'alak.,我們祖先的習俗要讓年輕人傳承。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,test
patabil noka hini 'ayam!,用這個肉祭拜!,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
"yako patae'aes ka 'am matawaw, minSa'la' rima' tikinsi'ael.","我放下手邊的工作,先去準備午餐。",Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
yako patae'aes ila 'inay kakiSka:atan.,我從學校下課了。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,validate
patae'aes ila!,下課了。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
patae'aes ila kapatawawen!,放下工作了!,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
mae'iyaeh 'am mari' ray ka'Siyap ka pongaeh Saehae' rima' patalay ray panga'.,有人要拿山崖的花跌下卡在樹枝上。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
'oya' patalek hi koko' ka kasnaw.,媽媽請奶奶幫忙煮湯。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
"kakhayza'an 'ita' ki Saypapa:aS mina 'okay pap'a'e:eS, 'okay patatbok.",以前我們和泰雅族人並不會互相殘殺。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
oya' patoroe' ka loSoko' ray talka: ka pa'iri:i' ka pahiyo',媽媽以蠟燭油滴在桌上使蠟燭可以直立燃燒。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
yako 'okay patawaw ila.,我沒有工作了。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,test
yaba' niSo' baseng pateleng ila ka hapis.,爸爸你的陷阱裝到飛鼠。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
"'omoral ila, 'izi' patemezeng!","下雨了,不要勉強!",Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
hima' Sima:an 'izi' patiS ray kayba:en.,沾油的手不要往衣服擦。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
"korkoring 'am patiS ka ngisi' kanman ray kayba:en, 'angangen 'isa:a' 'oka' ila.","小孩想要把鼻屎往我的衣服擦,被我罵就不敢了。",Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
'izi' patiS ka Sama: ray kaSa:engan bato'!,不要在坐的石頭上擦上泥巴!,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
niSo' 'inay'ino' minari' mina patibih risaza.,你從哪裡拿的就放回那個地方。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
niSo' konon 'inay'ino' minari' ma' patibih risaza.,你的鐵鎚從哪裡拿的就放回那裡。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
lalaw komita' ka walo' ziyae'en patibin ila.,lalaw看到糖果把糖果舔一下就放回去了。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,test
"So'o 'izi' patioero: hi yaba' niSo', So'o kabakbaken o!","你不要被你爸爸找到,否則你會被打喔!",Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
Sa'ila patikowis hi paza' ka hahngae'.,去叫paza'幫你捲褲管。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
"noka kapel a boway bangbangihan, kakhayza'an noka tatini' patimo'en.","鹽膚木的果實有鹹味,以前老人家把它當鹽使用。",Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
"'oya' patinekla' 'iyakin, 'izi' payba:la' 'akoey ka ralom ila.","媽媽警告我,不要走河邊水已經漲起來了。",Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
'am hinra:iy ka korkoring 'inSa'la' patinekla' ka 'aehael.,要嫁女兒要先讓親戚知道。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
'izi' patinhoero: hisiya!,不要讓他聽到!,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,test
hiza 'ima horok patiyayen ila noka tatini'.,那原本是平原長輩們拿來耕為田地。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,test
'izi' patkohay!,不要賒帳!,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
ni toway tinalek tatimae' patkoysiya ka timo' 'aez'ez ila.,toway煮的菜放太多鹽變苦了。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
salawa' patkoysiya ka timo' pa'aewhay ka basang.,減少放過多的鹽讓身體不好。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
"hini 'oe'oeng hayza' naehan ka ra:i', patloboe' naehan!","這些青蔥還有土,再泡水一下!",Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
patnabih ka rayhil 'ini 'ataw ka sasi'ael.,留一點錢給'ataw 吃東西用的。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,validate
siya patnga'nga' ka rayhil.,他把錢放到忘記。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
niSo' rayhil patnonaken ma' 'am 'okay tihoero: ila.,你自己把錢放在隱密的地方當然會找不到。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
ya:o patoboken ni baki' ka 'aewhaeS.,爺爺叫我殺老鼠。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
'izi' patobong ka 'aehoe' pakza;zih mina!,不要讓狗亂叫很吵耶!,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
Sa'ila mari' ka patonay ki pono:.,去拿鐵跟鐵釘。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,test
hini patonay romilang ila.,這個鐵生鏽了。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
yako patono' ray hinohaes.,我撞到窗戶。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
"'oya' 'ima patopa: ka mae'iyaeh Sa, nisiya korkoring ra:am kiSka:at.",媽媽向別人炫耀說:她的孩子很會讀書。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,validate
'ae'aew Sa'ila patoroe' hi ta:in ka ralom ray minrawko'an.,'ae'aew去叫ta:in到山間提水。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
yaba' noka patpatako: manae' ka hapis.,爸爸使用木槍獵殺飛鼠。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
patroton ka kaehoy 'inaSkan!,把木柴放集中!,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
noka zowas towak kayzaeh pawakilin.,山芙蓉的樹皮可以做竹背簍的背帶。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
"lalingaw sosmi'ael ka pawnaboeh, bolalas bolalas.",苦花魚吃青苔翻身一閃一閃。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
yako Sanhobaz pawbabih ka sini'ael,我吃太多吐了吃下的東西。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
yako komita' ni 'ae'aew Si'oetae' yako pawbabih.,我看到'ae'aew嘔吐我反胃。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
yako pawbis'ol ka ralom.,我被水嗆到。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
"ma'an rayhil pawka'en ila, yako tikot lobih.","我把錢用掉了,我不敢回家。",Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
siya 'okay pawkongas sazeken a tomal.,他沒有擦屁股味道很重。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
hini korkoring kin 'ol'olae'an ra:am ila pawkongas nonak.,這個孩子這麼小就會自己擦屁股了。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,validate
yako 'insa'an 'am pawkowi' ila 'iniSo'.,我等一下再替你驅除蛀牙。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
korkoring niSo' kapowa'en pawlipaehen?,你為什麼打孩子耳光?,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
"siya 'aewhay a tomalan, ma'an pawlipaehen.","他很討厭,被我打耳光。",Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,validate
korkoring pawmamno' kasi'aelen.,小孩子整個抓來吃。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
ngangeselan! pawngesel sowiti'.,流鼻涕!擦一下鼻涕。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
ya:o ngizo' Sipanpeznges ka hima' 'am rima' pawrahem.,我跌倒被跌瘀青的手要去去瘀青。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,test
siya Sipanta'e: 'am pawrahem.,他胸口瘀青要治內傷。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
yaba' matawaw rikrika:en romang mam pawrarang.,爸爸工作熱得直擦汗。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,test
siya mam pawrolae'.,他正在擦眼屎。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,test
hiza kamamanra:an 'inokay pawromiS 'aewhay kita'en.,那個男人沒有刮鬍子不好看。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
hini pinatiyay pawrowa'en kayzaeh ila kapamowa'en.,這塊田整平後可以種植了。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
"So'o 'izi' pawtomoS ka hiza pazay, kap'a'apol 'oyeh no 'aroma'.","你不要獨吞那些稻米,還要分給其他人的。",Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,validate
hiza mingkoringan pawtopiyak ka kamamanra:an.,那位女人打男人耳光。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
"Sa'ila paySiri: ka pinatiyay naehan, kita' hayza' ay ka ralom?","去巡視田裡一下,看看有沒有水?",Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
ma'an So'o payanayen kayzaeh ay?,我把你當媳婦好嗎?,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,test
"yami 'am minSa'la' rima' tomawbon, moyo paybi:il ila.","我們要先去打糯米榚,你們隨後再來。",Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
'izi' paybih ka minkoringan!,不要眷戀女人!,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
sempeng ka Si'Si' ma'an payha'ha'en ray kansiya hobos.,我用量杯把他的米袋裝滿。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
niSo' payha'ha'en 'am 'okik liso:.,你裝太滿會背不動。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
So: So'o 'am lobih payhini naehan.,如果你要回去先經過這裡。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
hini 'am matawaw payhiza kabih.,這裡在工作走那邊。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
payla' boway pezngesan kayzaeh si'aelen panga' hapapong.,"樹杞的果實是紫色的可以吃,樹枝很脆。",Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
hayno' 'okay paylal'oz ponrowa' naehan!,哪裡不對再來修正!,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
'izi' 'amet ka pazay payngaso' sowiti'!,飯不要吃完留一點!,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
paypoSal nanaw 'iniman ka pazay ma' lal'oz ila.,給我盛二匙飯給我就夠了。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
Sa'ila payrarongaw hi 'away minae'rem.,'away在睡覺去看看。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
"hiza kabih haloeh a tomalan, payrini!","那一邊太濕滑了,走這邊!",Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
wa:i' ila! paytata' ila!,來!搗米了!,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,test
So'o paytipoe'oe'en ni baki'.,你被爺爺罰跪。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
'izi' paytokol ka pazay yako 'am 'okay 'amet.,"不要把飯裝太滿,我會吃不掉。",Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
pazay 'aehae' naehan 'ilaS 'am kayzaeh ila ka kipazayen.,稻子再一個月就可以割稻了。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
ni 'oya' tinalek pazay kin kayzaeh si'aelen.,媽媽煮的飯真好吃。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
'in noka baboy a pa'i: kayzaeh pazazalasen.,豬的油脂可以做炸油。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,validate
"kalih kin ra:am ka payaka:i', pazimos 'iSo'on sowiti' ka haSab takra:amaw.","kalih很會說話,給你嚐一點口水讓你知道。",Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
So'o peleng ay? 'ampowa' 'okay bazae' ka pinayaka:i'.,你是耳聾嗎?怎麼不聽話?,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,test
tatini' ila sale'e: peleng ila.,人老了耳朵聾了。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
toway rima' Sanmotot ni koko' ka pi'i'.,toway去親奶奶的臉頰。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
Sa'ila pihik ka 'aelaw!,去把魚腸取出來!,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
boway 'akoey ka Sinrahoe' ma' hayza' ka pihiz.,水果有很多種類也有果蒂。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
somi'ael ka hilok pehez boeloe'ani.,吃草莓蒂要丟掉。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
rim'aen 'am rima' matawaw pilalaSo' o!,明天要去工作多準備便當喔!,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
za:iz pilkasnawen 'anhil a tomal.,水菇拿來煮湯味道甜美。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
'anhil pilosnaw kayzaeh 'ilonawen.,竹筍湯很好喝。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
baziyo: pilosnawen kasnaw 'anhil rae'oe:en.,雞肉菇煮湯喝起來很甜美。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
Sa'ila pilpazay ila!,去煮飯!,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
So'o 'am pilpazay a 'am pilwa:ay?,你要煮飯還是煮麵?,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
"'asaz pak'ae:'ae:iwin taleken pilralomen, rae'oe:en kayzaeh no basang.","魚腥草晒乾之後煮水,喝了對身體很好。",Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
'ayam hiniwa' hinghingha'an pin'a'apol,分配的豬肉切得都一樣。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,test
ma'an pinamowa' por'oe' pin'altikal ila.,我種的青菜已經被掀開來了。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
koSa'en pinSa'o:ol pinlingaso' ka 'o'o:ol.,叫做pinSa'o:ol是餘留的沙洲。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
ralom ni hiya' pinSiboeh?,水是誰倒的?,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,test
niSo' ralom pinSiboeh 'okik lal'oz.,你水倒的不夠多。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
hoehoero: ila noka tatini' pina'alowa'!,要記起長輩所交代!,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
hini pina'iri:an ka towih Sa'ila baehi'.,這做過藜酒的甕去洗。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
'ita' tapawka' ila ka pina'oe'oe'an.,我們來忘了吵架過的事。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
hini kapapama'an 'a'leb hayza' ka pinaSkolaySan noka kaehoy panga'.,此扇車門有痕跡是被樹枝戳過的痕跡。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
ni koko' pinae'rem 'aewhay.,奶奶睡得不好。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,validate
"ta:in 'am pakaS'abo' hi wa:on, hini howaw kayzaeh ila pinaehrarangan.","ta:in要娶wa:on,這件事已經談妥好了。",Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
ma'an pinahila: sitaew kayzaeh ila.,我曬太陽的蘿蔔乾可以了。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
pinahiyo'an 'ampowa' mikas mikas mikas nay?,電燈為什麼一閃一閃的呢?,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,test
hini korkoring ni hiya' pinahoehoe'?,這孩子是誰餵奶的?,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
hini tinawbon pinak'apis ka 'ayam.,這是有夾肉的糯米糕。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
hini ni yaba' pinak'apis ka hapis.,這是爸爸夾到的飛鼠。,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,sentence,train
