sxr,chinese,source,kindOf,dialect,row_type,split
macarʉmʉ,痠痛,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
molovalakʉ,化膿,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
to'ongo,瘦,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
taisa,大的,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
manitʉkʉ,矮,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
maini,小的,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
masalangʉsangʉ,漂亮,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
matahlʉkʉtʉkʉ,冰冷,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
pakamʉtʉmʉta,悶熱,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
maini,少的,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
mahlavaʉ,酒醉,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
matarʉngʉrʉ,濕的,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
masoro,熟,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
makisʉmʉrʉ,厚的,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
mata'ʉ,未熟的,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
mahlipi,薄的,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
'aʉrʉ,髒,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
marapohli,乾淨,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
maliiahlʉ,很快,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
sihlangʉ,明亮,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
maparapa,乾的,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
mipolatʉ,累,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
pakacaalai,好可憐,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
ʉrʉkʉhlʉ,舊的,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
masahli,近,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
moa'alolo,燙,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
marakaka,壞掉,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
masiamʉ,辣,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
molovalakʉ,腫,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
mapikolo,彎曲,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
rahloa,久的,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
topi'i,瞎了,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
oavalʉ,毒,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
masavʉlʉ,滑,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
marʉmʉ,苦,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
makaritʉkʉtʉ,脆弱,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
mosakasakavʉ,偷偷地,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
tomahlaʉ,眾多,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
makohlakohla,輕快,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
rito'a,酸,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
mairararahlo,故意,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
mi'ola'ola,稀爛的,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
mahlatʉra,壯碩,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
masongoli,暖和,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
malapalapangʉ,鈍的,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
matiaramoramo'o,甘甜,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
mapalicopoco,澀澀的,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
masirangʉ,斜,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
makakilingi,很硬,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
sampangʉra,酸臭,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
maʉngʉcʉ,直,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
mili,滿了,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
mavacangʉ,好好的,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
maranarʉ,寬敞,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
macooisa,正確,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
ma'avʉra,溫的,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
taisa,粗,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
mahloahloasʉ,細,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
mili,滿滿,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
tʉtʉrʉ,一定,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
toahlʉ,能夠,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
manai,可能,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
somasamoso,擦拭,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
aohlona,使喚,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
comacopihli,摺疊,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
omarapipici,裂開,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
omaroamia,使用,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
mosasosoloko,溢出,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
tomalʉlʉvʉ,幫忙,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
miacakici,附著,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
omaihlivoro,混以某物,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
komakikisi,刷除,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
masarʉ,依賴,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
karaiaoro,倒入,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
mara'acangʉ,阻擋,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
mataili,留下,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
anii,聲響,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
micalivi,超過,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
milihlaʉ,崩落,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
patalovaʉlʉ,煞車,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
okikirimi,尋找,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
matavilao,丟棄,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
kotoahlʉ,禁止,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
maro,有,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
hlimʉtʉngaʉ,剩下,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
tomatamahlʉngʉ,設置,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
roamia,開始,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
matilʉpʉngʉ,完成,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
apia'arahlasʉ,找碴,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
omaricacani,數,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
maroringai,陷中,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
mototopo,撞擊某物,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
takʉsʉʉlʉ,旋轉,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
takʉlʉkʉlʉkʉ,圍著某物,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
oka'a,沒有,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
hlimini,沒關係,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
sianata,不要,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
ko,不是,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
kokia,不要,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
koacahlia,不知道,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
capacapangʉ,隨意,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
a'ʉ,好的,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
ta'iaraisaka,因為,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
maniki,不論,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
makacani,立即,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
iatʉhlʉnga,足夠,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
mongahlangahla,再,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
ocanii,只有,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
hlamonaa,剛剛,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
aramaini,少許,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
mo'alivatʉ,暫時,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
takoo,從不,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
hlakomairahlo,不該,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
karʉkʉhlʉ,經常,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
hla,和,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
apahlapa,偶爾,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
ihlaisai?,是嗎,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
mana,還,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
tam,很,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
aonaana,如此,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
kicovanana,剛才,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
mʉmʉa,都,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
ocaani,僅僅,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
maniki,雖然,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
i,嗎,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
ihlako,主格標記,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
isikanako,受格標記,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
ihlakotakacicihli,屬格標記,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
kani'i,在,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
manga'a,傻瓜,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
poponga,飯盒歌,Formosan-ePark/Final_XML/ep3_閱讀書寫篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
mati'ara'aravangʉ,螃蟹歌,Formosan-ePark/Final_XML/ep3_閱讀書寫篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
sahliaropakakita,歡笑歌,Formosan-ePark/Final_XML/ep3_閱讀書寫篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
talicovongoo,碰面qu456ot相聚,Formosan-ePark/Final_XML/ep3_閱讀書寫篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
"tamosolo Hlangiora aosiami vo'ana colahlʉ 'aracʉngana,sipiamiaisa 'Alicoahlʉ.","Hlangiura這山的形狀與手臂骨相似,取名叫'Alicuahlʉ。",Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,sentence,train
'Amohliana ia takahlacanisa 'oloso sipangʉhlʉva hla'aloa.,""" Amuhliana是拉阿魯哇前門的其中一個柱子。",Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,sentence,train
tam manganʉ a 'Ataina.,""" Atai 很有力量。",Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,sentence,train
talakoaisa 'Aviavisoa Avina.,""" Aviavisua是Avi提水的地方。",Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,sentence,validate
tam maromokoako kisoahlahlamaisa saaricʉka 'arʉmʉ 'Usona.,我很喜歡聽穿山甲救'Usu的故事。,Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,sentence,test
voovolonga naani mahloarianʉ 'ahlamisi saparongahlaco 'a'ahlamisia.,"這座山都長白樺,所以以白樺為地名。",Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,sentence,validate
'a'airaa nani.,這裡是很多螞蟻的地方。,Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,sentence,train
sasaroana naani mairahlo 'a'asongoloa.,這個地方本來都是楓樹。,Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,sentence,train
hlimaringahlʉ langicana mali 'aapalata kirovanakiira.,昨天晚上天空出現一道閃電。,Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,sentence,train
'acaisamao ihlaoka hliomiapʉ.,"你有讀書,我很羨慕。",Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,sentence,validate
maroamo vahlita kʉlʉsʉ korovarovana hla komitan 'acangʉrahlʉ.,我們一起在戶外吃晚飯看星星。,Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,sentence,train
Taahlʉna maromoko maromia 'acʉvʉ matisangalʉ talovoco.,Taahlʉ 很喜歡用石頭陷阱來抓老鼠。,Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,sentence,train
'ahlamisi moritoroa tʉrʉvʉ kio'o makakilingi.,"白櫸和紅櫸是兄弟,它的木柴很硬。",Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,sentence,train
macikia avavo ooroia apoa'ahlici sa'aoa 'ahlici omao.,煮飯時要煮到有鍋巴才好吃。,Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,sentence,train
taratʉahlʉako 'ahlingo coco'o acahlico kana'a.,我看到人影就知道是他。,Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,sentence,train
hlipoocani a ina'a varo'o 'ahlingo.,媽媽買了一個新的鏡子。,Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,sentence,train
kani'i 'ahlingona pooarasaʉicoakoisana.,這個影片我看膩了。,Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,sentence,test
amihlaka coco'o maci osoaka 'ahlipapo ia masokasʉami.,有人說有兩個髮漩的人很頑皮不聽話。,Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,sentence,train
caalʉ mamapohlarʉia konapia 'ahlipapo takohlohlanaisana.,海拔低的山頭還不算山頂。,Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,sentence,train
osia mahlʉ volahlʉ pakamiaisa 'ahlisʉʉla makatavahlihla.,九月和十月是九芎開花的季節。,Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,sentence,train
'ahlisʉʉla manganʉ kio'o mavacangʉ poasipi mavacangʉ sipairaroroma.,"九芎樹很硬很好燒,也是建築的好木材。",Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,sentence,train
milicoa 'ahlivi hlamona hlipaicacakica sohlatʉ cokahlangʉ hlimilavaʉ.,我們家的牆壁貼滿弟弟的獎狀。,Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,sentence,train
mooravʉkʉka kio'o moovangarʉ 'ahlivihlamo.,樹倒下來打到牆壁就崩垮。,Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,sentence,train
aliilia 'ahlivina 'aporoohlo.,牆壁要抺石灰。,Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,sentence,train
tam maromoko a ahlainana romatavohlio 'ahloko.,女生很喜歡擦紅指甲。,Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,sentence,train
mosala kiira mahlokoa voovolonga poailico 'aimanai.,"昨天去山上,可能回來了。",Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,sentence,train
tam makoacarʉmʉa 'airamalicʉcʉna.,黑螞蟻咬得很痛。,Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,sentence,train
'airamapohlina papapaci kio'o hlilʉmʉka.,白螞蟻對於農作物有害。,Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,sentence,train
tamkiakokocoa 'airamatavohliona.,紅螞蟻很會互相幫助。,Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,sentence,train
macoka 'akai ia kari'aomo.,""" akai是日語魚網的意思。",Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,sentence,train
vʉtʉraʉ kiariaria hliaromia 'akoto tomamahlʉngʉ.,以前的掃把是用'akutu此種植物做的。,Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,sentence,train
maro matomohlo a 'alaliamʉ ma talʉhlʉ'ʉa.,垃圾桶有很多蒼蠅。,Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,sentence,train
mipihlihlicoa 'alaliamʉ mokoa masokio'o.,蒼蠅飛到水果上了。,Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,sentence,train
tam matomohloa 'ongohlo 'alalipa.,蜈蚣有很多隻腳。,Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,sentence,train
maro ocani 'alapica tapiaroma saliahlamo kirovana.,昨晚有一隻蝙蝠闖入我們的家。,Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,sentence,test
ahlaahlaahlamʉ rianʉ pi'alapongo.,鳥類都有羽毛。,Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,sentence,train
tam mʉlʉngʉsʉa 'alapongo ahlamʉ tataisa.,大型鳥類的羽毛很長。,Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,sentence,train
kiariariakoko mainimana matiaraʉraʉvʉako 'amaoranga.,"以前我還小的時候,我很會抓紅色大螃蟹。",Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,sentence,train
maci arasasarʉmʉ a langica ka amisanaco.,若天氣變冷了就是冬天來了。,Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,sentence,train
mototopoa mamainina 'amolo.,"那小孩碰到燻黑的鍋底,手黑黑的。",Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,sentence,train
"ahlaina maci tataisa 'amosola, pitaroatomohlo.","女生的屁股大的話,很會生孩子。",Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,sentence,train
'amʉ'amʉcʉ kana'ana tomalʉlʉvʉ mahlaoao.,他難得幫忙做家事。,Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,sentence,train
"'makialangʉ a tamo'o ahlainana 'angaa,ikakoana hlimia.",奶奶準備甕要放嘴嚼酒。,Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,sentence,train
aroamia mairoromaka 'angmoto.,水泥是用來蓋房子的。,Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,sentence,train
caalʉ maniia mahloarianʉisanaka 'angoto kohlaisai saparongahla 'angoangoto.,'anguangutu都是長小箭竹這種植物。,Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,sentence,train
