bnn,english,source,kindOf,dialect,row_type,split
tanga'qanvang,rake,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
kavong,scythe,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
qaito',warehouse,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
posla',manure,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
bocolkaka,bow,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
baongan,spear,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
ispalka'on,bait,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
masamo,taboo,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
tasaq,dream,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
mo'mo',witchcraft,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
somsoman,church,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
somsomcabong,pas-vake,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
kocvaqon,pants,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
masasngol,stain,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
qaihav,cloth,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
doon,yarn,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
tapic,codpiece,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
pak'iman,sleeve,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
laihlihqaongo',bus,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
paqaqais,bicycle,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
ol'oanlaihlih,station,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
laihlih,car,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
laihlihsapoz,train,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
qoqool,dish,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
qacila,salt,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
davocaz,honey,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
qaipoan,egg,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
simal,oil,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
pandai'an,soup,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
tao'lacdoqlac,daikon,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
tilac,grain,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
aam,porridge,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
kamcia',sugar,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
qaso'babo',pork,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
taomii,noodle,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
macinhav,purple,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
mabolav,yellow,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
maqanipohav,brown,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
altinian,alone,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
diqanin,day,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
painava'an,target,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
iniqomican,culture,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
sinkama'az,meaning,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
pailacoii,price,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
iskocia,purpose,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
sinqomican,marriage,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
cokodan,close,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
nipin,go,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
macaiv,give,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
noqan,come,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
kadiip,arrival,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
monkombo',enter,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
matongqaz,overturn,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
mapaska',present,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
makos'aiv,ask,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
tinkalapat,climb,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
mintasal,appear,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
mal'anongqo',sitting,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
maladoldol,standing,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
maipati',coming,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
maipinta',gone,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
pislaingki,jump,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
iongi',dance,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
kavilicon,hang,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
kavivila',play,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
laplaq,stumble,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
malintoaz,push,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
vivi'vi',tremble,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
minkaon,climb,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
macoqaz,flip,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
tonhapav,swim,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
pavaaz,divide,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
matasqat,rip,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
angkoc,draw,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
siqailaz,select,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
masakot,move,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
siboqtoc,pluck,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
mavolvol,stirring,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
vovoqvoq,shaking,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
mahonhon,vibrate,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
bicokbicok,swing,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
mapolpol,shatter,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
tingtongqaz,fall,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
maqaingot,cut,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
matatdiq,squash,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
mahoqaic,skin,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
pindikla'on,flipping,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
malocloc,tumble,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
makinoka',twisting,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
ma'oqtic,cut,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
pasi'aicqaz,squeeze,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
kaqaningo,draw,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
qoo',drink,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
mapoqdol,swallow,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
mapos'ot,swallow,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
ho'don,choke,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
matomaqai,chew,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
mangacngac,nibble,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
katdia,touch,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
tinopin,agree,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
minto'aicik,aim,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
pismantok,think,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
mananailang,observe,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
maqanciap,do,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
asaon,joy,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
kaididazon,love,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
maco'noq,angry,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
tinqoza',shocked,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
kokozaon,work,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
mol'oo,rest,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
mato'dol,sleepy,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
pisqanciap,learn,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
tisbahiqol,nightmare,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
tangqai'io',steal,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
pistaba,burn,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
sosoa',yawn,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
matapha',roast,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
mahaqo,hunt,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
manizakaan,fish,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
masatngol,soak,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
koncaisan,change,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
sisili',imitate,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
mapatoc,ignite,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
tosasaoc,sing,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
miqomic,living,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
masaipok,nurture,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
taldaing,growth,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
mamoqo',soreness,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
macis'it,ice-cold,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
mabaqaic,hot,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
takioc,few,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
mangisbic,thin,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
mangai',lazy,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
macingqal,bright,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
nango',tired,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
kolali',old,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
machoan,near,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
madikla',spoiled,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
tismoq,swelling,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
motiqav,blind,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
ioo'babaac,poison,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
maqsian,smooth,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
matdaqang,unripe,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
makaming,stealthily,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
madia',numerous,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
makolohiang,brisk,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
maqatbit,salty,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
kamana'o,intentional,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
pinpodadiq,pulpy,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
maholboq,sturdy,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
macampat,astringent,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
maqaingil,slant,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
mazaipoq,soft,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
maliscial,well,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
matokotoko,correct,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
manaot,slowly,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
maqopliq,coarse,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
mavis'ik,fine,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
maqailav,ripen,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
talmindoo,handsome,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
toza',certain,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
maqto',able,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
maopat,possible,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
loc'an,celebrate,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
iskocia,use,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
tipdat,attach,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
liska'dang,depend,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
mataqdot,block,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
mapala',stay,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
to'ia,sound,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
lastan,over,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
kanaqtongan,complete,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
kado'ananin,find,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
pastong,bang,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
pisqaizongzong,rotate,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
Tokbilaolo,surround,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
macial,good,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
nii',no,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
totoza',really,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
maqto',okay,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
maopaqot,because,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
altopat,whether,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
matinsoo',immediately,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
masdoo,enough,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
moqna,again,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
daqat,so,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
malocbot,usually,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
ciin,with,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
maca,if,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
sala,very,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
mo'amin,both,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
altopat,although,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
