szy,english,source,kindOf,dialect,row_type,split
ya sazikozay to tya likat sa to haw koyni o sitatodongay a milikat.,"Finally, the person, who took responsibility, lit and it became bright.",Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-palamal_kaniw.xml,standard,UNKNOWN,sentence,train
toyni o lamal o matalingay ko kasoi saka.,The pile-up was the firewood.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-palamal_kaniw.xml,standard,UNKNOWN,sentence,validate
bang bang sa to koyni o lamal.,The fire blazed.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-palamal_kaniw.xml,standard,UNKNOWN,sentence,train
takalaw haw koyni o likat niza.,The flames climbed high.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-palamal_kaniw.xml,standard,UNKNOWN,sentence,train
mapaedil mamin haw koyni o mitaliyokay o moenengay.,People who went around or sat bathed in the light.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-palamal_kaniw.xml,standard,UNKNOWN,sentence,test
mamin o babalaki a binaolan saka i tawya to tya a misa patahkal toyni o ngiha'.,The senior citizens and other people then made sounds.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-palamal_kaniw.xml,standard,UNKNOWN,sentence,train
molkalay to kami.,We woke up.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-palamal_kaniw.xml,standard,UNKNOWN,sentence,train
i mahini saka nanay haw i palemeden kami dipoteng kami.,hoped that we will be protected.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-palamal_kaniw.xml,standard,UNKNOWN,sentence,train
sa to haw ko nika o namoh no baloco'.,were very happy.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-palamal_kaniw.xml,standard,UNKNOWN,sentence,train
haw to mihmihcaan saka ano katokohan to no mihcaan.,"Year after year, a year has come.",Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-palamal_kaniw.xml,standard,UNKNOWN,sentence,train
izaw to haw ko nika paketon niyam ano i cowa a demiad ano i cowa a bolad.,We had determined which day and which month.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-palamal_kaniw.xml,standard,UNKNOWN,sentence,train
saka o mahizaay koyni o salamal sananay a kawaw noyni o Sakizaya.,This is so called fire ceremony of Sakizaya.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-palamal_kaniw.xml,standard,UNKNOWN,sentence,train
makatokoh ayza o sa kinatolo kya a kinasepat to no.,We had held three times until now; the fourth time is coming.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-palamal_kaniw.xml,standard,UNKNOWN,sentence,train
kina palamal sananay a kawaw.,This is so called fire ceremony.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-palamal_kaniw.xml,standard,UNKNOWN,sentence,train
hatini to ko kamo ako.,Here were my words.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-palamal_kaniw.xml,standard,UNKNOWN,sentence,train
i sawni haw mamelaw i i tiza i nipaazih no atiwawa a kongko.,What had just read was a story for children.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-pear_panay.xml,standard,UNKNOWN,sentence,train
izaw kya cacay a babalaki mikalic i tiza i kilang.,An old man was climbing a tree over there.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-pear_panay.xml,standard,UNKNOWN,sentence,train
nikalican niza a kilang o heci siheciay o heci niza o kayabes.,"What he climbed was a fruit tree, which bore guavas.",Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-pear_panay.xml,standard,UNKNOWN,sentence,train
tabaki isaw kya angangan nya kayabes.,That guava tree was huge.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-pear_panay.xml,standard,UNKNOWN,sentence,train
E yadah to ko nialaan niza izaw kya mikitinay to to sizi a pahotinay kya sa.,"He took many, and one man carried a goat.",Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-pear_panay.xml,standard,UNKNOWN,sentence,train
mocolil mitaelib i no sasa i kilang.,walked by the tree.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-pear_panay.xml,standard,UNKNOWN,sentence,test
nipipitpit to nya taw.,He was picking.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-pear_panay.xml,standard,UNKNOWN,sentence,train
sani sa izaw aca ko makabatikalay sa calicali'.,Soon a bicycle rider walked to and fro.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-pear_panay.xml,standard,UNKNOWN,sentence,train
no mi... mihicaay miliso'ay.,What was he doing? Was he inspecting?,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-pear_panay.xml,standard,UNKNOWN,sentence,validate
mimelaw to nipipitpit niza.,The man saw that he was picking.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-pear_panay.xml,standard,UNKNOWN,sentence,train
ta izaw to kya wawa niza.,There was a child.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-pear_panay.xml,standard,UNKNOWN,sentence,test
mitopin to hiya o o kayabes i tiza han niza i no ayawan no batikal.,He carried something like pomegranate in the front of the bicycle.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-pear_panay.xml,standard,UNKNOWN,sentence,validate
mocolil ciniza sa malalitemoh to a to zoma adiwawa.,He ran into other children.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-pear_panay.xml,standard,UNKNOWN,sentence,train
mapolin ciniza talinokot.,He fell and kicked.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-pear_panay.xml,standard,UNKNOWN,sentence,validate
mahanto kyami kya nitopinan niza a kayabes sa.,What could he do with his pomegranates which he carried?,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-pear_panay.xml,standard,UNKNOWN,sentence,train
iza ko malaklak to i tiza i sasa.,They scattered on the ground.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-pear_panay.xml,standard,UNKNOWN,sentence,train
ta mabilil ciniza misapod tya kayabes.,He picked up the guavas in a hurry.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-pear_panay.xml,standard,UNKNOWN,sentence,validate
izaw kya masaboloday a adiwawa mabalabalakasay i tini i zazan sa.,A group of children were playing on a road.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-pear_panay.xml,standard,UNKNOWN,sentence,train
padang han nya katooday a adiwawa.,Everyone helped him.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-pear_panay.xml,standard,UNKNOWN,sentence,train
na saan sa mo... momol to ciniza masopelid niza ko topelo.,He left and forgot his hat.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-pear_panay.xml,standard,UNKNOWN,sentence,validate
ta sani momol to amin kya adiwawa mo motaloma.,"Soon, all the children went home.",Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-pear_panay.xml,standard,UNKNOWN,sentence,test
sa mikapet to babalakasan no heni o o sapad nipa nipasiketan to o komo a a mali.,They hold their toys with a rubber ball on them.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-pear_panay.xml,standard,UNKNOWN,sentence,train
tekateka sa a mocolil.,They made click sound while walking.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-pear_panay.xml,standard,UNKNOWN,sentence,train
kapahay a babalakasen no babalakasan no adiwawa.,That was a good toy for children.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-pear_panay.xml,standard,UNKNOWN,sentence,train
ci Sinay ko angnan ako to no pangcah.,My Amis name is Sinay.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
pakaini i Maibol koyni o ma kamo no mako o canan a sa.,What I am going to talk about is about Maibul.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
i pakaini ay i saponis mamin sa to milangec toyoni palalod.,The hunting festival started after harvest in summer.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
paanip to toyo o nipasaba i pitoay a bolad.,People transplanted the second-season rice seedlings in July.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
mamin sa to miniwanyo kya.,weeded.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
masabaloco' to noyni o babalaki ato o kapah koyni o sakalimolak toyni o misaponis.,The senior citizens decided to celebrate hunting festival with young people.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
sisa tatenga' izaw to koyni o kamo no babalaki nikasaopo.,"Therefore, old people said it is time to gather together.",Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
toyni o maketon to koyni o kamo.,This has been decided.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
a yaan henay mihiya saponis malingato i sa izaw to.,When would the hunting festival start?,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
koyo nipibihkac no ni o pikilomaloma'an noyni no wawa toyo tatamaan.,Every boy would shoot birds.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
mahiza ay kiza o no loloma' koyni.,This is the hunting festival for family.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
mibihkac sa to noyo kapolongan sa.,The hunting festival is for our tribe.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
a hican ano cacay a demiad ano tosaay a demiad nayi ko wantan toyni.,It was not clear whether it is one day or two days.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
maketon ano tosa a demiad koyo nipibihkac sa tosa a demiad.,"If it was decided for two days, it would be two days.",Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
ano toloan sa tolo a demiad a mahiza.,"If it would be three days, it would be in this way.",Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
saopo han ko ayam toyza o kakalabian sa.,collected birds for dinner.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,validate
todoh han mamin mitodoh sa singa' han henay koyni sa.,It was put aside after it was burned.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
E pahalhalen noyo tatayna a madoh.,Women were pounding.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
mitelac sangelac koyni o panay mahiza ay kiza.,Then the glutinous rice became white.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
sahakhak han to talik han to mihiya mitalik noyni o tatayna koyza o tonoz sa oyza ay koyo malosakalahok.,Women cooked glutinous rice and made it into rice cakes as lunch.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
ano tabaki heni sapela'en ano sangelac sa ano malasepad malaenem ko nipipela' ko nicikcik mihiza ay kiza sa.,"cut it if it was big, or cut it half, into four pieces or six pieces.",Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
oyo Polo' Polo' sanaden koyo nisalami'an mihiza ay kiza o kabi ko kabi.,separate birds from the cooked vegetables and soup.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,test
ano patahkal i wakong i yo o ayam o ayam han sa.,put birds in a big bowl.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
pakilac han koyni o hiya o babalaki.,gave to senior citizens in this way.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
ano simatolo ano simalima.,Every senior citizens had three or five.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,test
nayi' ko wantan no i tawya ay o iza pibihkac.,It was uncertain how it was distributed.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,validate
nikaw izaw no ayam koyni o tapeng ano yadah ko ayam kya yadah koyni o o kilac no payteked.,"If there were many birds, every one could have more.",Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
o ayam ko pimelawen tya tosa ano simalacacay mahiza ay.,Every child had one or two.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
ano tada mahinac kya cikciken mahiza ay kiza ko nika o.,"If it was deficient, people would cut more.",Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
kakawaw no ini o Maibol.,Those were things in Maibul.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
nihan no mako o ta'pang no ini o saponis hananay sa.,This is so called hunting festival.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
cacay a mihiza kina cacay ya hican o ini o hiya.,Once a year or sometimes,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
o selal koyza o o tapang to mahini ay oyza han to o wawa malalok ay misikaway mi miani toyni o babalaki bakiaw amay oyo nikonoyan iso nimokoan iso kako ay ko mimoko ay.,"To the senior citizens, the diligent children said that we would help you carry what you carried.",Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,test
kako ay koyo sikaway mimoko to yo balas ay no miso o babalaki.,I would help you carry what you carried.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
i mamelaw no babalaki ano i tawya i pisaponisan sa E mimelaw koyni o babalaki oyni koyni o sasangelacay a tonozan sa.,The senior citizens would look at the whitest rice cake.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
tatenga' o sangelacay a tonoz sa a sipabeli' i tini babalaki koyni o sangelacay a tonoz.,The pieces of white rice cake were given to the senior citizens.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,test
nima ay ano sa sa.,"Someone asked, ""whose is this?""",Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,test
ano siwantan to hiya o ngangan kya i tatenga' a sikawlah koyza ya na mi...satonozay toyo sangelacay.,"If (the senior citizens) knew the name, the people who made the whitest rice cake would be awarded.",Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,test
mahiya ay kiza saka oyni han to o ayam sa.,The award was the birds.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
E ini ko babalaki ya malalokay a kapah cima ay cima ay matineng koyni o babalaki a ma te te te.,The senior citizens knew the most diligent young people.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
cay to mamelaw ay no niza toyo o malalokay a sEnEng sa.,They saw diligent young people.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
oyo o ayam o polopolo' oyo tikolac koyza o si ko si sipakawlah toyo o malalokay mahiza i kiza.,pulu-pulu'and tikulac were the award for diligent people.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,test
o sakalahok sa o tonoz mamin.,The lunch was rice cake.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,test
ano cay kataneng koyni o hak ko tonoz kya a o hakhak.,"If rice cake is insufficient, they will eat glutinous rice.",Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
mahiza ay kiza koyni o sakalahok.,This was lunch.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
oyni han to malalok ay sa maawaw ko nganga sa.,"As for the diligent worker, his name was called.",Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
madoba' to miala toyni o nipabeli' nipasisi no hiya pakilac noyni o no sEnEng toyni o babalaki sa.,ran to receive the award that senior citizens gave to the young people.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
o namoh no babalaki mahiza ay kiza.,Senior citizens would do this when they felt happy.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
han no mako koni ka o kamo.,This was what I wanted to say.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
tatenga' oyni han to o hiya sa o malalokay aca noyni o no tatayna ya hican.,How about the diligent women?,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
izaw ko saosi no babalaki toyni o malosapakawlah toyni o hiya.,Senior citizens also planed to award diligent women.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
o kawlah sa izaw to.,There were awards.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
ano oyni o sabon ano o canan.,It could be soap or something else.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
ano pakaini ay no tatayna sa no tatayna koni tatayna a malokawlah.,"If they were women's awards, they belonged to women.",Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
ano ayam ay sa o tatama ay o.,Birds belonged to men.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
mikelec ay toyni o hiya matineng ay sakii tini i niyazo'.,It united our tribe.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
mihiya misimaw ay to niyazo' malakapah pala tamtaw toyni o kapah mamin toyni o babalaki toyni no niyazo' ano sa sa.,"In this way, senior citizens made the young people in the tribe outstanding.",Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
oyni koyo matatongos ay sa tatenga' ano matatongos to koyo o mihcaan a pipili'anan sa mipili' to toyni o totong ay no tomok.,"When the young people were of proper age, one of them would be selected as leader.",Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
totong ay toyni o kocyo.,It is like principal.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
o i lisin hananay toyni o saponis sa.,This is so called hunting festival.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
tatenga' cacay a mihca kina cacay.,"Indeed, it is once in a year.",Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,validate
a hican i tawya maala ko tolotolo ano lima' a demiad mahiza.,"At that time, it took three or five days. That's it.",Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
ayza sa cacay to a demiad.,It is one day now.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
a hican o mikoli ay to amin mahini ko saosi sa.,It is because every one had to work.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
nayay ko todong no hiya kotongos no niyam o Maibol toyni o no Sakizaya koyni komod hananay miboting nayay.,We Sakizaya people did not imitate others' fishing festival.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,validate
o ayam dada mahiza ay kiza ano yadah koyni o ayam sa yadah ay koyni o.,"We only hunt birds; if there were many bird, we would hunt many.",Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
sapabeli' toyni o babalaki sapakan mahiza ay.,"If there were many birds, senior citizens could eat more.",Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
han ha no mako oyni o hiya.,I would say this.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
o o selal misanga to selal tolo a mihca kina cacay.,"Every three years, people rank based on their age.",Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
ano tosa a mihca kina cacay misanga toyni o selal oyni o selal sa.,Or people rank every two years.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
tatenga' cima koyni o tazikoz ay no hiya noyni o wawa.,Would children retreat?,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
nayay ko tazikoz ay sa.,Nobody would retreat.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
sa to mabilil ay malalok ay toyni o kawaw.,Every one worked diligently.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
toyni o sakai tini no babalaki misikaway.,Senior citizens united the young people.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
nihan han no mako koyni o kamo hatizaay kina kamo no mako.,This is what I would say.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-class_sinay.xml,standard,UNKNOWN,sentence,train
a i somamad kami o Sakizaya hananay a tamdaw i ayaw no enem a bataan a mihcaan kya saka pala lid ko demiad makelal.,"About sixty years ago, Sakizaya people had a drought for several days.",Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-rain-kaniw.xml,standard,UNKNOWN,sentence,train
saka nipalomaan sa to kalitang a no o kobkob a hican aca nan to haw sa makelal cay kakapah.,The peanuts or maize were poor in quality due to the drought.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-rain-kaniw.xml,standard,UNKNOWN,sentence,test
inay haw ko nilangecan.,There was nothing for harvest.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-rain-kaniw.xml,standard,UNKNOWN,sentence,train
saka mahiza ko nikaozip saka maba des ko nika ozip no binawlan saka.,"Therefore, life in this way was difficult to the public.",Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-rain-kaniw.xml,standard,UNKNOWN,sentence,train
mizateng to ko babalaki.,The senior citizens thought.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-rain-kaniw.xml,standard,UNKNOWN,sentence,train
ca'ay kakapah ano hini han ta ko nika ozip no mita sa ko babalaki saka.,The senior citizens said that we could not lead a life as such.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-rain-kaniw.xml,standard,UNKNOWN,sentence,validate
i tawya henay maliyoh amin toyni o di'to tini i yessama sananay a di'to saka.,At that time everyone did not know God.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-rain-kaniw.xml,standard,UNKNOWN,sentence,train
o babala ki a di'to ko nisabaloco'an haw no babalaki a misaodad kita sa koheni.,The senior citizens said that they decided to pray for rain according to their religion.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-rain-kaniw.xml,standard,UNKNOWN,sentence,train
saka malingato to.,Then it began.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-rain-kaniw.xml,standard,UNKNOWN,sentence,train
a misimsim malingato to haw a.,began to think.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-rain-kaniw.xml,standard,UNKNOWN,sentence,train
masaopo to labila abi koyni o babalaki no Sakizaya tini i Maibol.,Every night the senior citizens of Maibul gathered.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-rain-kaniw.xml,standard,UNKNOWN,sentence,train
katokohan to no demiad tatenga' izaw to ko kamo no babalaki to saka i tini i binawlan.,"When the time came, the senior citizens told the tribe.",Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-rain-kaniw.xml,standard,UNKNOWN,sentence,train
tya katokoh tya demiad o colen to mamin haw koyni o talaayaway ko ozip haw o sEnEng.,"When the day came, allocated young people.",Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-rain-kaniw.xml,standard,UNKNOWN,sentence,validate
kya miletek amin koheni toyni o paza' tayni i boyo'.,They went to mountain to chop banana trees.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-rain-kaniw.xml,standard,UNKNOWN,sentence,test
cay kayadah ko niletekan.,They did not chop many.,Formosan-NTU/Final_XML/Stories/Sakizaya/Sakizaya_skzyNr-rain-kaniw.xml,standard,UNKNOWN,sentence,train
