pyu,english,source,kindOf,dialect,row_type,split
"na gareman na koret aw to kakowayanan to lregiyan kana yēncominco i, olraya to kinasaseredran dar. aw aro pararagan mi drato kiyarepaowayan dra ""yēncominco howali hoo congsin."" pakalranganay kandri to dinaway na kowarenangan. marowaya adri masaseredr drato kakowayanan kana yēncominco aw na gareman na koret kana kanatal.","Where modern laws and indigenous traditional cultures are at odds, we will set up an Indigenous Legal Service Center with a high degree of cultural sensitivity, to reduce through institutional design the growing clashes between indigenous customs and modern laws.",Formosan-Presidential_Apologies/Final_XML/Puyuma/Puyuma.xml,standard,UNKNOWN,sentence,train
aro pakakaron mi kana morabak driya kandri na lremak. payasa koredikes melieli parepaowaowa. na yēncominco kemay kanto kakowayanan. kadro morabak kanto niyaboyolran. amelri a matrimatrima; amelri a sasamaan benaaw. to alropaw na garamgaman aw moka lra kandro modrimotr moimeng. madrayadrayara ta dra kowadakodayan pakabolay.,"I will ask the relevant agencies to immediately pull together cases in which indigenous community members have been indicted or sentenced for hunting, where the hunting was done in accordance with traditional customs, on traditional lands, and for non-transactional needs, and where the animals hunted were not protected by conservation laws. For such cases we will deliberate solutions.",Formosan-Presidential_Apologies/Final_XML/Puyuma/Puyuma.xml,standard,UNKNOWN,sentence,train
"aro pakakaron ko kana morabak driya kandri na lremak. kemay drato inapetran na hehoyliyaw kadri Botrolr. kemodakoda to pinakalrangan kikaron i, popatrarana mo dra tilin dra penanaan. an adri driya mokalradram dra aapetran isowa i, marowaya ta semabong kana trao i Botrolr.","I will also direct relevant agencies to present an investigative report on the decision-making process of nuclear waste storage on Orchid Island. Before finding a permanent solution for the nuclear waste, we will provide the Yami tribe appropriate compensation.",Formosan-Presidential_Apologies/Final_XML/Puyuma/Puyuma.xml,standard,UNKNOWN,sentence,train
"aw, kemay kanta iyaseer kana Pinpoco drato ipakomaowan drato ikapinpoco. pakangowayan kana 9 bolan 30 wari i, aro padrayadrayar mi kandro na kinoretan. aw marowaya pasekat mokalradram to kowaredikesan to kinaretigiran kana Pinpoco.","At the same time, under the principle of respecting the Pingpu ethnic group's self- identity, and recognizing their identity, we will examine relevant laws before September 30 of this year, so that Pingpu ethnic group identity will receive the rights and status it deserves.",Formosan-Presidential_Apologies/Final_XML/Puyuma/Puyuma.xml,standard,UNKNOWN,sentence,train
"garem kana ami kana 11 bolan 1 wari i, aro patriyarebang mi pakalradram drato baboyoboyolr na dare kana yēncominco. na kinoretan na konghowalen i, semasolrod mi pakakawang garem. likodran i, to kiniyaangeran kana yēncominco na Yencominco cece na koret i, patatawar modalan. padowakedok mi garem. nanto kinapadrangalan menao kana yēncominco na ""yēncominco cecehoa,"" ""yēncominco toti aw hayiv hoa"", ""yēncominco yiēn hoacanhoa"" nadrini i, aro tatolodran kana lihoayiēn parepaowaowa.","On November 1 of this year, we will begin to delineate and announce indigenous traditional territories and lands. The system of tribal public corporation is already in place. In the future, the ideals of indigenous self-government will be realized step by step. We will step up the pace and submit for legislative deliberation three laws of great importance to indigenous peoples: the Indigenous Peoples Self-Government Law, the Indigenous Peoples Land and Sea Areas Law, and the Indigenous Languages Development Law.",Formosan-Presidential_Apologies/Final_XML/Puyuma/Puyuma.xml,standard,UNKNOWN,sentence,train
"garem kana paelipas kana karealri na wari i, aro pararadrok mi kana yēncominco kandri kana padrayadrayaran. kaolralraya to pakalralradraman kana sēho. likodran kana aamiami kana 8 bolan 1 wari. na sincengyēn i, aoka pakalradrama kana trao driya kana kanatal dra kemodakoda lra to kinikaronan. na pasasekadran na penatedrelr to nilrangan kana yēncominco. pararagan drato danapan kana cece kana yēncominco. amao idro na tolowa to tratrepayan kana sēho.","Later this afternoon, we will convene a national indigenous peoples administrative meeting. In that meeting, the government will elaborate on the policies. On every August 1 to come, the Executive Yuan will report to the indigenous peoples our progress on restoring historical justice and transitional justice. To implement the Indigenous Peoples Basic Law, to serve indigenous historical justice, and to lay the foundation for indigenous self- government - these are the three major goals for the government's policy towards indigenous peoples.",Formosan-Presidential_Apologies/Final_XML/Puyuma/Puyuma.xml,standard,UNKNOWN,sentence,train
"dadaolr ko kana kadro driya kadrini garem. na kadro i ngowayan kana tilibi aw kana wanglo na yēncominco peniya. mokasaya ta motowasay. demaolr ko kanemo i dra, drowaya mo mokasaya temaranao kana sēho. torowi mi. paladamo mi. molaesia to itatobang kanemo kana sēho. panaana emasalr drato pinatrepelran a kinadriwan driya kana sēho.","To all of our indigenous friends here and watching on TV and online: I invite you to stand witness. I invite you not to endorse, but to oversee. Please keep pressure on the government and right its course where necessary, so that it will realize its commitments and right historical wrongs.",Formosan-Presidential_Apologies/Final_XML/Puyuma/Puyuma.xml,standard,UNKNOWN,sentence,train
"sasongl ko kanemo kana yēncominco peniya. amao moymo na parobalrok kana trao driya na kadro kadri kana kanatal, na dineelran na dare aw na belretrenganan na trongotrongolran i, salaw mitrima. adri ta karowa padrolon drato padrangalan. idri to padrangalan i, a powaloangan.",I want to thank all of our indigenous friends. You remind everyone in this country that there is irreplaceable value in the land we tread on and the traditions we inherit. This value deserves dignity.,Formosan-Presidential_Apologies/Final_XML/Puyuma/Puyuma.xml,standard,UNKNOWN,sentence,train
"likodran i, pakakalrang mi kana kinoretan semolrod. na marakiyalodosan na mawan, na motrongotrongolr na mawan, aw na kaadro driya kandri kana dare i Taiwan na mawan i, adri lra owalremes to piningaiyan; adri lra kaabalo drato kinabaawan; adri lra baboraw drato kakowayanan; adri lra drelalengan kanto kinadrowan driya kanto dare.","In the future, we will push for policies to ensure that succeeding generations of indigenous tribes and all ethnic peoples in Taiwan never lose their languages and memories, that they are never separated from their cultural traditions, and that never again are they lost in a land of their own.",Formosan-Presidential_Apologies/Final_XML/Puyuma/Puyuma.xml,standard,UNKNOWN,sentence,train
kiyaami ko kana kadrowadrowanan na inokasayan. mokasaya ta merokedrang. malradrama ta drata nilrangan; malradrama ta drata dare. aw malradrama ta kanto kakowayanan kana adri marisarisan na maowan. mokaya ta kanta parekainabanabayan. trempaya ta kanta wakasayan mobaaw aw ta wakasayan pakabolay semangal aw trempaya ta kana pinakabekalan i Taiwan.,"I call upon our entire society to come together and get to know our history, get to know our land, and get to know the cultures of our many ethnic peoples. Let us work towards reconciliation, a shared existence and shared prosperity, and a new future for Taiwan.",Formosan-Presidential_Apologies/Final_XML/Puyuma/Puyuma.xml,standard,UNKNOWN,sentence,train
kiyaami ko kana trao driya na kaadro kandri kana kanatal. pakalranganay garem kana wari. ta okasayay pakirongetr demaway dra tratrepa kana penatedrelr na kanatal. amao a panaan dra to bolayan dalaman aw a pinarisarisan to kinaretigiran a kanatal.,"I call upon all citizens to seize the opportunities offered by this day - to join together, work hard, and build a country of justice, a country of true diversity and equality.",Formosan-Presidential_Apologies/Final_XML/Puyuma/Puyuma.xml,standard,UNKNOWN,sentence,train
semangalan mapiyapiya.,Thank you all,Formosan-Presidential_Apologies/Final_XML/Puyuma/Puyuma.xml,standard,UNKNOWN,sentence,train
'inavayan! pongsalra ta lra!,Hello everyone. Here we go.,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
katikedir! songar!,Please stand up! Salute!,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,test
Sinsi! 'inavayan!,Hello.,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
kayan diya.,Please sit down.,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
"'inavayan! pananadam ko harem kaninmo mapiya da komoda marengay kana ""akanen"" na Kasavakan.","Hello everyone. Today I am going to teach you how to say \\\food\\\"" in Kasavakan.""",Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
madalram o kinger kanangko ngai?,Do you understand what I'm saying?,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
"Sinsi, ma'olid ko, karowa o diya masalr marengay?",I don't understand. Can you repeat it again?,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
"adi ko kinger, katamoniyo diya marengay.","I can't hear you, please speak louder.",Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
na'owi diya kani! itolosay ko diya miyop.,"Look here, please! Repeat after me.",Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
mm. 'inavo no iniyop.,Hmm! It's well read.,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
asalro diya miyop. katamoniyo diya.,Read it again. Please speak louder.,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
"parepengan, amana marengay.",Please be quiet. Don't talk.,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
popanayo diya na valray.,Please take out your textbook.,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
ai sinsi.,"Yes, sir.",Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
popanayo diya na impic.,Please take out your pen.,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
"Sinsi, malalop ko minada da impic.",I forgot to bring my pen.,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
popanayo diya na aicor.,Please take out the eraser.,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
"Sinsi, malalop ko minada da aicor.",I forgot to bring my eraser.,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
kivoras diya kanano ngidilan na lralrang.,Please borrow erasers from your classmates.,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
pavorasay ko diya da aicor ay?,Can I borrow your eraser?,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
talaolep ta lra.,Class is over.,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
"ta palroway lra kani, no masalr diya saliyosan marepana'owa ta diya.","Class dismissed, see you next week.",Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,validate
i iman o?,Who are you?,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,validate
alrak ko ni Maysang. i Kimsoy ko ngadan.,"I am Maysang's son, my name is Kimsay.",Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
temakakesi ko kani sinsi Maysang. i Kimsoy ko ngadan.,"I'm a student in Maysang, my name is Kimsuy.",Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
i iman no ngadan?,What's your name?,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
i Saki ko ngadan.,My name is Saki.,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
i iman nanto ngadan ni temama?,What's your father's name?,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
i Selay nanto ngadan ni malri.,My dad's name is Selay.,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
i iman intaw?,Who is he?,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
i Tahala intaw.,He's Tahala.,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
"i valri intaw, i Tahala to ngadan.","He is my brother, his name is Tahala.",Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,test
i iman to ngadan?,What's his name?,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
i Tahala to ngadan.,His name is Tahala.,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,validate
i Maysang nanto ngadan?,Is his name Maysang?,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
"ai, i Maysang nanto ngadan.","Yes, his name is Maysang.",Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
"melri, i Kolas nanto ngadan.","No, his name is Kulas.",Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
i iman idiyo na cao?,Who is that guy?,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
"i Taponik intaw, ningko lra taina.",She's Tapunik. she's my aunt.,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
"nangko ngidayan intaw, i Moymoy to ngadan.","She's a friend of mine, her name is Muymuy.",Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
pidaya lra nano 'ami harem?,How old are you?,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
mokecep ko 'ami harem.,I am 10 years old.,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
pidaya lra to 'ami harem?,How old is he?,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
mokecep misama' da dowaya to 'ami harem.,He is 12 years old.,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
polo' dowa to 'ami harem.,He is 12 years old.,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,validate
pidaya lra to 'ami ni temama harem?,How old is your father?,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
makalrowac to 'ami ni malri harem.,My father is 50 years old.,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
papida mo marowadiyadi?,How many brothers and sisters do you have?,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
"olra dadowa ko iva, di sasa ko wadi.",I have two brothers and sisters and one younger brother and sister.,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,validate
olra no iva?,Do you have a brother?,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
oniyan ko da iva.,I don't have a brother.,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
temakakesi o i iyan?,Where did you study?,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
temakakesi ko i kalingko.,I studied in Hualien.,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
i ama na maralrak kani malri intaw.,He is my uncle.,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
aeman to kiyakaronan ni ama na maralrak kani temama?,What does your uncle do for a living?,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
Kinsas intaw.,He's a cop.,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
mao i valri na vavayan intaw.,She's my sister.,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
olra to kiyakaronan ni vao?,Does your sister have a job?,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
kiyakaron i biyoing.,She works in a hospital.,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
marowadi nado na dadowa?,Are they brothers and sisters?,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
"melri, mare'aliyan nado.","No, they are friends.",Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
a Yoēncomin o?,Are you Aboriginal?,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,validate
"ai, a pinoyomayan ko.","Yes, I am a Puyuma.",Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
pinoyomayan i toroma'ano?,Is your spouse Aboriginal?,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
"ai, a pinoyomayan intaw.","Yes, she's from the Puyuma tribe.",Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
tihasar i temama?,Is your father very tall?,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,test
"ai, tihasar mi saroma'enan.","Yes, we are all very tall.",Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
temakakesi lra i wadiyo?,Does your sister go to school?,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
"ai, temakakesi lra intaw.","Yes, she went to school.",Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
sayho marengay kananta ngai na wadiyo?,Do your siblings speak the language?,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
ai sayho marengay nado.,"Yes, they will say.",Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
tatelo mi marowadiyadi.,I have three brothers and sisters.,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
mokasa o kikado kani temama di tayna?,Do you live with your parents?,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
"ai, mokasa ko kikado kani malri di nani.","Yes, I live with my mom and dad.",Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
mokasa o kikado kana temo?,Do you live with your grandparents?,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
"adi, adi ko mokasa kikado kanado.","No, I didn't live with them.",Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
mokasa o kani iman kikado?,Who do you live with?,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
mokasa ko kikado kani malri di nani di valri na ma'inay.,"I live with my father, mother and brother.",Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
kemay i iyan o?,Where are you from?,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
kemay Takaw ko.,I'm from Kaohsiung.,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
olra i iyan nano dekalr?,Where is your hometown?,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
olra i Kalēngko ko dekalr.,My hometown is in Hualien.,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,test
olra i iyan nanmo dekalr?,Where is your tribe?,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
olra i Kalēngko naniyam dekalr.,Our tribe is in Hualien.,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,test
no aidan lra moroma' o i dekalr?,When are you going back to the tribe?,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,validate
"no kasede'an diya no deron mo, moroma' ko.",I will go back in the summer.,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
a alrak ko da Pinoyomayan.,I'm a Puyuma kid.,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,test
komoda na wari harem?,How is the weather today?,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
"makadaw lra, vi'as na wari.","The sun is coming out, it's very hot.",Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
aretid i pacaran?,Is it going to be cold outside?,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
"aretid, powapowayi mikavang.","It's cold, so wear more clothes.",Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
vi'as i pacaran?,Will it be hot outside?,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
"adi, valiyan lra.","No, it's cool.",Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,validate
"adi aretid di adi vi'as, penaowa.","It's neither cold nor hot today, just right.",Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,validate
komoda na wari harem kana karaov?,How is the weather tonight?,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,test
"oniyan da ronev i rokop, mopacalan lra na vito'en.",There were no clouds in the sky; the stars came out.,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
komoda na wari i pacaran?,How is the weather outside?,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
"maodiya ikadiyadi na 'odalr, mopacaran lra na tara'","The rain has just stopped, the sun has come out, the rainbow is coming out.",Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,test
komoda na wari harem kanmo i kado?,What's the weather like where you are?,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
pacev na vali kani a!,We're going to have a big storm here.,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
'inava na wari kanmo i kado?,How's the weather there?,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,validate
"'inava, ma'idang na kadaw.","Very well, out of the big sun.",Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
yawa ko i kongkowan.,I have to go to school.,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
"aretid na wari, pikavang da sado.","The weather is very cold, so wear more clothes.",Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
owapacaaran ko lra.,I'm going out.,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,validate
"'a'odalr da pacev no maremay, ikalaalop minada da soko.","It's going to rain heavily, you have to remember to bring an umbrella.",Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
'a'odalr diyamaw?,Is it going to rain?,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
"demaderong a haremay, 'a'odalr lra no maremay.","There was thunder just now, and it's supposed to rain later.",Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
ma'odalr diyamaw?,Is it raining?,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
"'omodalr haremay, madiyadi lra na 'odalr harem.","It just rained, and now it's stopped.",Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
ma'odalr lra?,Is it raining?,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,test
"sapene' i dadalan, kemawan 'inodalr lra.",It seems to have rained and the road is wet.,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
'omodalr diyamaw? komoda di talronger o?,Is it raining? Why are you all wet?,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
"'ema'odalr i pacaran, adi ko miinada da soko.","It's raining outside, so I didn't bring an umbrella.",Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,test
'inava o diya?,Are you all right?,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
"valiyan dado, nana ko cangoro' kana korevari ko.",The wind is blowing so hard that my head hurts.,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
"ma'idang na kadaw, mapongaw ko kana korkadaw ko.","The sun is so big, it makes me dizzy.",Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
malalop ko minada da impic.,I forgot to bring my pen.,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,sentence,train
