trv,english,source,kindOf,dialect,row_type,split
thiyaq,far,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
mlabo,swelling,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
mridil,bend,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
bsiyaq,long,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
chiya,delicious,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
sdhriq,smooth,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
mtbasi,bitter,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
meyloq,unripe,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
tlling,stealthily,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
hbaraw,numerous,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
clokah,brisk,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
mbasi,sour,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
mrmol,salty,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
mnsong,intentional,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
stmaq,pulpy,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
mmanang,sturdy,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
moxol,warm,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
moapong,blunt,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
mchiya,sweet,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
pngpang,astringent,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
mridil,slant,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
mhnok,soft,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
msdorox,straight,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
tblayaq,well,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
thdiq,spacious,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
mndongos,correct,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
thoway,slowly,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
kndox,coarse,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
bbaraw,long,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
rqling,fine,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
llbo,short,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
mhada,ripen,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
htngay,full,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
qolong,certain,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
mtdowa,able,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
smsong,celebrate,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
smoros,wipe,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
srkiyan,call,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
tbkowi,fold,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
dmowi,use,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
dmayaw,help,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
sdan,attach,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
sllo,shaken,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
kmawas,erase,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
stmani,depend,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
prmoxi,pour,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
hmtor,block,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
hmiti,stay,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
hnang,sound,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
hmrinas,over,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
hmoroc,brake,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
ming,search,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
mdakar,prohibit,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
msngari,remain,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
prading,begin,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
mhdo,complete,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
smalo,make,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
tdiyal,trapped,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
ttatok,bang,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
mtqiri,rotate,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
mtlibo,surround,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
oka,no,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
oxay,don't,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
naqah,can't,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
oxay,no,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
knhmoc,arbitrary,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
iyaq,okay,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
alaw,because,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
mttoko,enough,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
dongan,again,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
wana,only,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
kddiyax,usually,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
mi,with,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
mncon,sometimes,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
nasi,if,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
bay,very,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
kana,both,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
wa,in,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
malo,do,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
mngetiq,fool,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
daha,two,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
tero,three,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
sepac,four,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
mmtero,six,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
mpito,seven,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
mmsepac,eight,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
mteron,thirty,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
mspaton,forty,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
mriman,fifty,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
kbekoy,hundred,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
tikoh,some,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
texal,once,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
bnkeyan,bunch,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
klegan,kind,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
mtlolon,pair,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
dnkaan,half,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
heya,he,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
dheya,they,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
ndheya,their,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
so,your,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
ko,mine,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
na,his,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
ita,we,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
nita,let's,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
kiya,ours,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
gaga,that,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
maano,what,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
gino,how,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
malox,what,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
hmowa,why,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
mshlmadan,cousins,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
dadal,relative,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
msqedil,spouse,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
seno,husband,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
rai,in-law,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
mtswai,sibling,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
baki,uncle,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
pai,aunt,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
ngayan,name,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
mqedil,female,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
rseno,male,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
Seediq,people,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
Ising,doctor,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
mptgesa,teacher,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
pais,enemy,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
qbsoran,sir,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
kesaco,police,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
koco,principal,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
sojo,sister,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
weewa,miss,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
mpslohe,student,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
bteriq,thigh,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
dqeras,face,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
baga,hand,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
hei,body,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
papak,foot,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
snoonox,hair,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
nboyas,belly,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
ahing,shoulder,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
bkeloy,chin,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
hlolas,saliva,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
lhebon,stomach,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
romon,liver,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
toroq,phlegm,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
biqir,goiter,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
darok,grease,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
gelo,throat,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
hema,tongue,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
hwinok/hginok,waist,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
mering,sweat,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
ndoyong,neck,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
poyaq,buttocks,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
rmone,kidney,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
oban,fur,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
ngiyo,cat,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
qbheni,bird,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
ronge,monkey,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
qpaton,frog,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
tekong,owl,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
rkelic,leopard,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
some,bear,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
pcopox,cockroach,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
pdaos,dragonfly,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
plale,butterfly,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
probo,spider,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
preko,mosquitoe,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
bicol,earthworm,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
bngehol,wasp,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
dmai,horse,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
gipo,female,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
karang,crab,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
kdiye,cicada,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
pngocol,snail,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
qdiro,eagle,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
qtahi,ant,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
qoqoq,goose,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
tdiyong,hornet,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
comiq,flea,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
tyaqong,crow,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
oton,grasshopper,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
blebon,banana,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
waso,leaf,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
phepah,flower,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
tmorak,pumpkin,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
speriq,weed,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
srqemo,corn,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
btakan,bamboo,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
spoto,pineapple,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
sodo,grass,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
wahil,rattan,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
brkawe,plum,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
qelong,agaric,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
tomato,tomatoe,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
encay,cabbage,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
qmagas,yam,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
deon,seedling,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
rehak,seed,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
tmako,tobacco,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
patis,book,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
cobo,ball,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
pptasan,table,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
qnawan,telephone,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
ppatis,pen,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
gakac,chair,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
tennaw,computer,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
trasi,umbrella,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
kodong,hook,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
