sxr,english,source,kindOf,dialect,row_type,split
'aʉrʉ,dirty,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
masavaʉ,lazy,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
marapohli,clean,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
maliiahlʉ,soon,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
sihlangʉ,bright,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
mavʉhlʉ,fat,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
maparapa,dry,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
mipolatʉ,tired,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
varo'o,new,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
ʉrʉkʉhlʉ,old,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
masahli,near,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
moa'alolo,hot,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
marakaka,spoiled,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
masiamʉ,spicy,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
masaihla,far,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
molovalakʉ,swelling,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
mapikolo,bend,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
rahloa,long,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
topi'i,blind,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
oavalʉ,poison,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
masavʉlʉ,smooth,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
marʉmʉ,bitter,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
mosakasakavʉ,stealthily,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
tomahlaʉ,numerous,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
makohlakohla,brisk,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
rito'a,sour,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
makarimikimi,salty,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
mairararahlo,intentional,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
mi'ola'ola,pulpy,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
mahlatʉra,sturdy,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
masongoli,warm,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
malapalapangʉ,blunt,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
matiaramoramo'o,sweet,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
mapalicopoco,astringent,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
masirangʉ,slant,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
ma'ola,soft,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
maʉngʉcʉ,straight,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
mili,full,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
mavacangʉ,well,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
maranarʉ,spacious,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
macooisa,correct,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
moamoamoarʉ,slowly,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
ma'avʉra,warm,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
taisa,coarse,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
mʉlʉngʉsʉ,long,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
mahloahloasʉ,fine,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
macici,hot,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
mavʉraʉ,ripen,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
masalangʉsangʉ,handsome,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
mairahlo,should,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
tʉtʉrʉ,certain,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
toahlʉ,able,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
manai,possible,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
kilaliali,celebrate,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
somasamoso,wipe,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
aohlona,call,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
comacopihli,fold,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
omaroamia,use,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
tomalʉlʉvʉ,help,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
miacakici,attach,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
apakotitipa,shaken,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
komakikisi,erase,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
masarʉ,depend,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
karaiaoro,pour,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
mara'acangʉ,block,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
mataili,stay,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
anii,sound,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
micalivi,over,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
patalovaʉlʉ,brake,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
okikirimi,search,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
kotoahlʉ,prohibit,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
hlimʉtʉngaʉ,remain,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
roamia,begin,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
matilʉpʉngʉ,complete,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
tomamahlʉngʉ,make,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
maitʉahlʉ,find,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
maroringai,trapped,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
mototopo,bang,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
takʉsʉʉlʉ,rotate,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
takʉlʉkʉlʉkʉ,surround,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
mavacangʉ,good,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
oka'a,no,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
sianata,don't,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
koacahli,can't,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
ko,no,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
macoisa,really,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
capacapangʉ,arbitrary,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
a'ʉ,okay,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
ta'iaraisaka,because,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
maniki,whether,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
makacani,immediately,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
iatʉhlʉnga,enough,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
mongahlangahla,again,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
ocanii,only,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
takoo,never,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
hlakomairahlo,shouldn;t,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
kohlaisai,so,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
karʉkʉhlʉ,usually,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
hla,with,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
apahlapa,sometimes,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
mana,still,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
maci,if,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
tam,very,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
aonaana,so,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
mʉmʉa,also,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
mʉmʉa,both,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
ocaani,only,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
maniki,although,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
kani'i,in,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
toahlʉ,do,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
manga'a,fool,Formosan-ePark/Final_XML/ep2_學習詞表/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
Cai in on kapitanʉ koka moaliohlʉ siihona malitʉnʉlʉ cocovovolonga,President Tsai Ing-wen's Apology to the Indigenous Peoples on Behalf of the Government.,Formosan-Presidential_Apologies/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,sentence,train
"maapoahlʉosoacaihlimoaloalo miongoarinaani, mahlipapohla, matingahla ngahla sitakoamiangahlana, maroaovovolonga paramacoacongahla cocovo volonga, ko ocaanimatavilaoco raahloa sipiakasʉkasʉangahlanana, mataingalico poamahlʉngʉ cocovovolonga taivangʉ, osoanganaiao mairahloco copisasaroana. mosiri kani' mikasʉkasʉ angahlahlana, arinani tomoaitama taingalʉ kirakakoaokakakoata. tomoakomoaliohlo siiho omahlikoa cocovovovolonga, omarolangica tʉkʉmalitʉnʉ, maron hlicaliva opatʉ hlimiongo caihlina,hlipasalangʉlangʉa hla koparaiiaiahlʉahlipomiana, moaliohloako siiho omahlikoa acancancihli malitʉnʉlʉ.","On this day 22 years ago, the term ""shanbao"" (mountain people) in the Additional Articles of our Constitution was replaced with the proper name: ""indigenous people."" This correction not only did away with a discriminatory term, but also highlighted the status of indigenous peoples as Taiwan's ""original owners."" From this basis, today, we are taking another step forward. To all indigenous peoples of Taiwan: On behalf of the government, I express to you our deepest apology. For the four centuries of pain and mistreatment you have endured, I apologize to you on behalf of the government.",Formosan-Presidential_Apologies/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,sentence,validate
"paotoamacoako miongoarinani marosiangosipita liliongana, maroacoco'o osomano sianatamika maliatʉnʉlʉ. kani'iia mairahlo hliparapihlako arinani moliohlo siihona malitʉnʉlʉ. mahlicaliva koparaiaiahlana siakitana, mahlicaliva hlipasalangʉlangʉa tahlana osomanʉna, mairahlosipoamia hlimaracocomangosipi angahlahlana arataisa, kani'i ia hliparapihlako arinani mosirinanina, somalitʉtʉkʉhlʉ maivalʉ hla patakʉsʉlʉsipamia pacʉpʉcʉpʉngʉ.","I know that even now, there are some around us who see no need to apologize. But that is the most important reason why I am representing the government to issue this apology today. To see what was unfair in the past as a matter of course, or to treat the pain of other ethnic peoples as an unavoidable part of human development, this is the first mindset that we, standing here today, resolve to change and overturn.",Formosan-Presidential_Apologies/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,sentence,train
"omaro matalakiahlʉ kari mairahlona, omarotʉkʉkihlamohlamo pahlo miamia, tiaraisaomahliakoa cocovovolongamalitʉnʉlʉ. kani'i sasaroana taivangʉna, opatʉ hlimiongo caihli moaloalo ia mairahloco picoco'o maroaroisana, kani'i cocomaroaroisanana hlamairahlo mavacangʉka, siangosipisa takacicihli, pikari takacicihli vongoka","Let me put in simple terms why we are apologizing to the indigenous peoples. Four hundred years ago, there were already people living in Taiwan. These first inhabitants lived their lives and had their own languages, cultures, customs, and domains. But then, without their consent, another group of people arrived on these shores, and in the course of history, took everything from the first inhabitants who, on the land they have known most intimately, became displaced, foreign, non-mainstream, and marginalized.",Formosan-Presidential_Apologies/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,sentence,train
"palisia pararana mangosipi, kicongohlo makohlipaimacoisa hlakana'ana, kani'i sasaroanana mʉcʉkʉhlʉa ocani tarʉana tahlana osomanʉ. hlicaliva hliarataisanana cocohlimolivahlʉna hlicomalihlimalosangalʉ cocomairahlo maroaroisana. maromataingalʉa hlahlamanisa sasaroanana tarapasʉngʉ, maracocohliarahlosohloso marakopipalongo marapatʉpatʉkʉa coco'o. siparamacomacoa ocani tahlana, komatomohlo'aika hliarilangʉlangʉa maricʉka ma tahlana osomanʉhla, ocaniimacii kotakacicihli maloliri ihlata ia ocani pihliparaiaiahlʉa koka, koaonana ia kani'i hlicalivalikisina tomoa poatʉtʉrʉpomahlʉmahlʉngʉ, tomoa hlikitana pakiapohlo kihlahlamo. hla macoa macooisa ia, tomoa siihona marapihli kani'i hlicalivana mosaomarotʉkʉ pahloaiaili, ihlaisa hliparapihlako arinani mosiri nani arinani.","The success of one ethnic people can be built on the suffering of another. Unless we deny that we are a country of justice, we must face up to this history. We must tell the truth. And then, most importantly, the government must genuinely reflect on this past. This is why I stand here today.",Formosan-Presidential_Apologies/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,sentence,train
"maroa ocani tʉpʉhlana sohlatʉ, piahlisohlata hlicaliva taivangʉ,. hlipataco ngocongohloa kari siaocani ngʉtʉhlana hlipakipohloa amihla oka'a sohlata taivangʉ. hliromia'amosikonga tako'iiarʉa hlakʉsaiana ia saaromia cingtai tako'i'iarʉ. kani'iiasapihlicaliva hlitamahlʉnga pakisia'a. cocovovolonga maopiaini hlimiailicaihlimoaloalo mairahlocomaroaro kani'isasaroanana pisipacʉcʉpʉngʉ miahlivihlivimavacangʉkavong okaisa, tomahlosohloso movavilihlisa. kohlaisahla ocaniisipoamiahlamo sʉngʉpʉrʉmiamʉtʉmʉtʉa hlisohlatahlicaliva, marapihlikani'i moliohloako siiho omahlikoa cocovovolonga malitʉnʉlʉ.","There is a book called ""The General History of Taiwan"" published in 1920. In its foreword are these words: ""Taiwan had no history. The Dutch pioneered it, the Koxinga Kingdom built it, and the Qing Empire managed it."" This is a typical Han view of history. The truth is that indigenous peoples have been here for thousands of years, with rich culture and wisdom that have been passed down through generations. But we only know to write history from the perspective of the dominant. For this, I apologize to the indigenous peoples on behalf of the government.",Formosan-Presidential_Apologies/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,sentence,train
"'aomosikonga noa hlamhlammarʉ omaromanganʉ sitakoamia maroahlakʉvʉ tahlana'aolia apingʉtʉhlʉ angahlahlanaisa vahlitoko, caihlihlakosaiana kiariari, hlimorotaisa morocara'ʉ noa aropapiamiamʉtʉmʉtʉcomalihli akoisa 'aomomana ia omaromiacʉpʉlʉ miapoalʉ mativalʉtʉkʉisa, miongotarisilʉpʉngʉtarik icangihli omohlicoa siiho hlamhlammarʉna, tako'i'iarʉ sitakoamiaisa vovolonga noa mapohlarʉ. kani'I opatʉ hlimiongocaihlana, aocaocani hlimʉcʉkʉhlʉ mahlokoa taivangʉna tʉkʉhlʉa hlitakomiaisa omaromiamʉtʉmʉtʉ tarikicangihli comalihli malosangalʉ sasaroana, maiakakaco mairahlopi isikanacocovovolongana. marapihli kani'i moliohloako siiho omahlikoa cocovovolonga malitʉnʉlʉ.","The Dutch and the Koxinga Kingdom massacred and exploited the Pingpu ethnic group. The Qing Empire presided over bloody confrontations and suppression. Colonial Japan put in place comprehensive savage policies. And the post- war ROC government undertook assimilation policies. For 400 years, every regime that has come to Taiwan has brutally violated the rights of indigenous peoples through armed invasion and land seizure. For this, I apologize to the indigenous peoples on behalf of the government.",Formosan-Presidential_Apologies/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,sentence,train
"cocovovolonga omaromaiirahlo ahlahlamanisa maiatohlohlo miararoma, apolavaʉ sitakoavʉhlʉvʉhlʉrʉna, hla omaromaiirahlo sipacʉcʉpʉngʉna siparaiiaiiahla. manikiia makani'i hliaposiria hlicaliva sitakoamia kokana, cocovovolonga omahlikoa ta'iaraisa takacicihli, marahlopocoa hlatatʉkʉaisa takacicihli, hlamanganʉisa maiatohlohlo takacicihli aparahlopomairahlo tomahlaʉtarʉana, hlamanganʉhliapocoa cocotahlana komʉmʉa apaotoamaco, marapihli kani'i moliohloako siiho omahlikoacocovovolonga malitʉnʉlʉ.","Indigenous peoples maintain tribal order according to traditional customs, and ecological balance according to traditional wisdom. But in the process of modern state-building, indigenous peoples lost the right to steer their own course and govern their own affairs. The fabric of traditional societies was torn apart, and the collective rights of peoples were not recognized. For this, I apologize to the indigenous peoples on behalf of the government.",Formosan-Presidential_Apologies/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,sentence,train
"cocovovolonga hlamairahlo maroakarisa takacicihli, hlicaliva akoisa'aomo mana apa'ʉcʉmʉ sitakoamia kapitanʉ'aomo, ma 1945caihli romahlaʉ, siiho kana'a koapaloliri kari takacicihli, marapihlicoka karicocovovolonga marahlopo, tamataingalʉa karitahla na'aoliana marangangatʉmarahlopo, siiho kiariari omahlikoa mairahlo vongoka cocovovolonga, koiatʉhlʉnga hlipaimiaisa maiatohlohloisana, marapihlikani'i moliohloako siiho omahlikoa cocovovolonga malitʉnʉlʉ.","Indigenous peoples had their own languages. However, with Japanese rule aiming to assimilate and turn all into imperial subjects, and with the ROC government banning tribal languages after 1945, indigenous peoples' languages suffered great losses. Most Pingpu languages have disappeared. Successive governments have been negligent in the protection of indigenous cultures. For this, I apologize to the indigenous peoples on behalf of the government.",Formosan-Presidential_Apologies/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,sentence,validate
"caihlikana'a maroasiihona koacacahlia tahlana iamerokona pahlomiamia saikoa miararomaisaka talʉhlʉ'ʉa. cocotahlana sasaroana lanii pasakamo maritara'ʉ lʉhlʉ'ʉ maiakakana, marapihlikani'i moliohloako siihona omahlikoa cocovovolonga malitʉnʉlʉ.","Without the knowledge of the Yami tribe, the government stored nuclear waste on Orchid Island. Tribe members on the island had to suffer the negative consequences. For this, I apologize to the Yami people on behalf of the government.",Formosan-Presidential_Apologies/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,sentence,train
"angahliconana poaroaroma miongo kani'i, maroaro olalikasana mapohlarotahlana 'aolia mʉlʉmʉlʉmʉpakipohlo ia, angahli hlimaiatohlohlona aparakoka ngahlacocotahlana'aolia, marapihli kani'i moliohloako mʉmʉa siihona omahlikoa cocotahlana'aolia malitʉnʉlʉ.","Ever since outsiders began arriving in Taiwan, the Pingpu ethnic group on the western plains have born the brunt of the impact. One ruling power after another eroded the individual and collective identities of the Pingpu ethnic group. For this, I apologize to the Pingpu ethnic group on behalf of the government.",Formosan-Presidential_Apologies/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,sentence,train
"takʉsʉlʉa sitakoamia romahlaʉ hliomalivalʉa kokana hlipakinia cocovovolonga takoamia ta'iara, hlitomamahlʉngʉa kokana ocani sipiatʉtʉrʉa, hlitomamahlʉngʉ mʉmʉa ocan isipasamanganʉ, arinani tampihlitakohlosohlosoaita, sipatʉahla parikiatongosana cocovovolonga ta'iara, hlamacoa kani'i sipakatʉrana kopoalisʉhlʉisana siihona, koakolaia hlitakomia takoiahlivihlivi koiatʉhlʉnga mavacangʉisa, marapihli kani'i moaliohloako siiho omahlikoa cocovovolonga malitʉnʉlʉ.","After the democratic transition, the country began to respond to the appeals of indigenous movements. The government made certain promises and efforts. Today, we have an Indigenous Peoples Basic Law that is quite advanced. However, government agencies have not given sufficient weight to this law. Our actions have not been fast enough, comprehensive enough or sound enough. For this, I apologize to the indigenous peoples on behalf of the government.",Formosan-Presidential_Apologies/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,sentence,train
"makovaaoa taivangʉna amihla, matomohlo tarʉtatʉkʉhlʉ mavacangʉa vongokahlamo, hla miongo arinaani masiaravahlaʉvaʉ cocovovolonga, siatotoro angahlahlana mangosipina, sitakoamia kokana ma ahlahlapa siakitaasangalʉ, mairaahlomana hlimarinasʉko cocovovolongamacona, macoahlikʉrʉmatʉkʉ cocovovolonga, ahlasipoakasʉkasʉna mairahlokoarakoka, koatomohloa hlatamahlʉngʉ siiho, apaitara'ʉhla cocovovolonga tahlana osomanʉ, kopihlicaliva matialolangʉlangʉi'arahlasana, marapihli kani'i moaliohloako siiho omahlikoa cocovovolonga malitʉnʉlʉ.","Taiwan is known as a culturally diverse society. But even today, indicators on health, education, economic livelihood, political participation and more still show gaps between indigenous and non- indigenous peoples. Meanwhile, stereotypes and even discrimination against indigenous peoples have not gone away. The government has not done enough, so indigenous peoples have suffered pain and frustration unknown to other ethnic peoples. For this, I apologize to the indigenous peoples on behalf of the government.",Formosan-Presidential_Apologies/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,sentence,train
