tao,english,source,kindOf,dialect,row_type,split
maganinam,sweet,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
man-gaw,astringent,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
migilo,slant,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mehma,soft,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
matazineng,straight,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mapno,full,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
manoyong,correct,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
makapia,slowly,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mavaw,warm,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mazabtek,coarse,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
anaro,long,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
alyalyow,fine,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
alinged,short,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mangannget,hot,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
meynoy,ripen,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ala,possible,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
abneken...,celebrate,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
linasan,wipe,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
pasozsozen,call,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
topiin,fold,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
manidong,help,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
macidket,attach,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
nigonagonay,shaken,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
veraen,erase,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ipihanhan,depend,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
pagloen,pour,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
zazatan,block,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
vezeden,stay,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
romaigereg,sound,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
nihatas,over,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
kalahen,search,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
raheten,prohibit,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mavezed,remain,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
papowen,begin,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
teyka,complete,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
pakapiaen,make,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
makala,find,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
sazin,bang,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mialiosos,rotate,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
limoten,surround,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
apiya,good,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
yabo,no,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
tosia,don't,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
marahet,can't,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
beken,no,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
manoyong,really,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
noon,okay,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ta,because,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
tana,whether,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
tomeytopos,immediately,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
manet,enough,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
pa,again,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
bekena,only,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
masanib,usually,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
aka,with,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
tomakatakow,sometimes,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
no,if,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ori,so,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ala,also,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
tana,although,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
amian so tao? no-kakwa i-m-angay mengep so ovi?,"A long time ago, there was a person who went to get some potatoes.",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kangkang.xml,standard,UNKNOWN,sentence,train
amian so asa-ka-ovi?,This mother got one potato,Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kangkang.xml,standard,UNKNOWN,sentence,validate
nik-ali-na n-ina-na koan-e-m,and as she dug,Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kangkang.xml,standard,UNKNOWN,sentence,train
aranay koan-a,"she exclaimed, ""Oh!""",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kangkang.xml,standard,UNKNOWN,sentence,train
mimamayoa kangkang,The rooster scratched.,Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kangkang.xml,standard,UNKNOWN,sentence,train
i-salep-na s-ina-na m-angay lo koang,The mother flew over there.,Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kangkang.xml,standard,UNKNOWN,sentence,train
yam-lavi? o anak-na,Her child cried,Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kangkang.xml,standard,UNKNOWN,sentence,train
koan-a no anak-ne-m to-lavi? si-ina si-ina koan-a,"""Mother, mother!"" he said, crying",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kangkang.xml,standard,UNKNOWN,sentence,train
m-oli-rana lo vagay-ta,Having returned to their house,Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kangkang.xml,standard,UNKNOWN,sentence,validate
ipanchi-na di-ama-na koan o anak-ne-m,the child said to his father,Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kangkang.xml,standard,UNKNOWN,sentence,train
yabo-rana si-ina koan-a,"""Mother isn't here.",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kangkang.xml,standard,UNKNOWN,sentence,train
yana-ni-aap no kangkang lo koang koan-a,"The rooster took her far away.""",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kangkang.xml,standard,UNKNOWN,sentence,train
maniring s-ama-na-m oyoda nana-ni-aap no kangkang,"The father said, ""Oh, the rooster took her!""",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kangkang.xml,standard,UNKNOWN,sentence,train
ipanchi-na ripos-na,His relative said,Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kangkang.xml,standard,UNKNOWN,sentence,test
mamaring so tatala,"""Make a boat.""",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kangkang.xml,standard,UNKNOWN,sentence,test
tika-rana o tatala-m,When the boat was finished,Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kangkang.xml,standard,UNKNOWN,sentence,train
mangep aro no dinalolot,They took many spirit-weapons,Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kangkang.xml,standard,UNKNOWN,sentence,train
mengep so kan kanen-da,and a lot of food;,Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kangkang.xml,standard,UNKNOWN,sentence,train
k-angay-da-rana lo tatala kalagen s-ina-na lo ilaod,and they went to the boat to hunt for the mother in a foreign country.,Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kangkang.xml,standard,UNKNOWN,sentence,train
ma-chita-da o sa-ka-pengso,They saw a country,Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kangkang.xml,standard,UNKNOWN,sentence,train
m-angay sira-m,and went to it,Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kangkang.xml,standard,UNKNOWN,sentence,test
y-amian lo chia? so tao? koan-ta,"""Is there anyone (of our own people) here?""",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kangkang.xml,standard,UNKNOWN,sentence,test
non koan-ta wachin chia?,"""Yes,"" they replied. ""Where? Here?""",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kangkang.xml,standard,UNKNOWN,sentence,train
koan-ta no tao? ori? lo ya-makarang a-takakal,"They said, ""On the high stilt-house.""",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kangkang.xml,standard,UNKNOWN,sentence,train
ning koan-ta,"""Yes!"" they said.",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kangkang.xml,standard,UNKNOWN,sentence,train
m-angay-rana sira maniring sire-m,They went over and,Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kangkang.xml,standard,UNKNOWN,sentence,train
mai-ka-rana mo-ina koan-a no anak-na,"the child said, ""Here you are, Mother!""",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kangkang.xml,standard,UNKNOWN,sentence,validate
boken ko-anak-imo koan-a no ina-na,"""You are not my child,"" said his mother.",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kangkang.xml,standard,UNKNOWN,sentence,train
koan-a no anak-ne-m boken a si-ina-ko-imo koan-a,"""Then you are not my mother?"" said the child.",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kangkang.xml,standard,UNKNOWN,sentence,train
maniring o anak-ne-m ni-salep-na-imo no kangkang no k-angay-ta mang-ali so ovi? sio? koan-a,"""The rooster took you when we went to get some potatoes a long time ago.""",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kangkang.xml,standard,UNKNOWN,sentence,train
maniring s-ina-na-m ning koan-a noyod-ko-imo a anak-em mangwat-kamo so chinwat koan-a,"His mother said, ""If it's true you are my child, when boiling water is thrown on you",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kangkang.xml,standard,UNKNOWN,sentence,train
simoskem/tano-di-moskem anak-o-imo koan-a,you won't be killed.,Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kangkang.xml,standard,UNKNOWN,sentence,train
sidikangosem boken-ko anak-imo,"We'll see if you'll be killed.""",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kangkang.xml,standard,UNKNOWN,sentence,train
taktakana-rana o anak-na no dinwat-em tongwos,Boiling water was thrown on her child.,Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kangkang.xml,standard,UNKNOWN,sentence,train
maniring o ina-ne-m manoyong a anak-o-imo koan-a,"""You're truly my child!"" said his mother.",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kangkang.xml,standard,UNKNOWN,sentence,test
magay-rana sira lo tatala,They went to the boat,Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kangkang.xml,standard,UNKNOWN,sentence,train
mai-rana sira lo vagay-ta madiora o ina-na,and returned to their house accompanied by the mother.,Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kangkang.xml,standard,UNKNOWN,sentence,train
maniring o ana-ne-m mengep ta-ka-mo so vato koan-a,"His father said, ""Let's take some stones",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kangkang.xml,standard,UNKNOWN,sentence,validate
y-atei-ta so vagay-ta ta-manginanawa ta-ka-mo di-mai koan-a,"and make the stone walls of our house, but be careful.""",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kangkang.xml,standard,UNKNOWN,sentence,train
ka-pangay-ta so aro dinalolot lo vagay-ta,Then they put many spirit-weapons in their house,Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kangkang.xml,standard,UNKNOWN,sentence,train
mai-rana lo kangkang-em apoapoasena? o atei-na lo vagay-ta,They went to the rooster's house and took stones from his house to their house.,Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kangkang.xml,standard,UNKNOWN,sentence,test
ingongona o katawtaw-ne-m m-angay-rana lo ilaod o kangkang,The rooster had gone to a foreign country.,Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kangkang.xml,standard,UNKNOWN,sentence,train
m-angay-ta lo takay mang-anak-o kwan-a ina-na,"""Let us both go to the field, my child,"" said his mother.",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kwaway.xml,standard,UNKNOWN,sentence,train
k-ali-na-m kamakamay a/o ovi,She went to dig for gold.,Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kwaway.xml,standard,UNKNOWN,sentence,train
chi-chya mai-na m-angay s-ina-na,"She said to the child, ""Come here."" The mother goes.",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kwaway.xml,standard,UNKNOWN,sentence,train
am-chita-en-a tonanal-aep-an/nitelemna lo anit,The child sees the spirit take the mother up to the sky.,Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kwaway.xml,standard,UNKNOWN,sentence,train
lavi a no anak-na s-ina-na k-aoli-na,"The child cries, ""Mother, return!""",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kwaway.xml,standard,UNKNOWN,sentence,train
wachin a s-ina-mo kwan-a ni-ama-na,"""Where is your mother?"" said his father.",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kwaway.xml,standard,UNKNOWN,sentence,train
y-abo s-ina kwan,"""Mother isn't here,"" he replied.",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kwaway.xml,standard,UNKNOWN,sentence,train
ya-mangoyoyas na-ni-salep no kwaway si-ina,"""The spirit crept up and flew away with Mother.""",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kwaway.xml,standard,UNKNOWN,sentence,train
mang-ep so aro no varit/yaked s-ama-na kavangepna?,The father took many strips of bamboo,Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kwaway.xml,standard,UNKNOWN,sentence,train
k-angay-na lo tatala katokad-na lo kwang,"went to the boat, and sailed far away.",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kwaway.xml,standard,UNKNOWN,sentence,train
m-angay lo ilaod m-angay lo vagay no kwaway,They went to a foreign country to the spirit's house.,Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kwaway.xml,standard,UNKNOWN,sentence,train
lo kwang chitagen-a o aro no tao,"Far away, they saw many people.",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kwaway.xml,standard,UNKNOWN,sentence,validate
yana-ni-chita o vagay-na lo ilaod,They saw his house in the foreign country.,Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kwaway.xml,standard,UNKNOWN,sentence,train
m-angay-ka ch-inyo,"""You go home to your own people,""",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kwaway.xml,standard,UNKNOWN,sentence,train
kwan-a karwan no tao lo ilaod,said the foreigner.,Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kwaway.xml,standard,UNKNOWN,sentence,train
ko-mi-chitagen no mavakes-ko naket-na no kwaway,"""I see the spirit captured my wife.""",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kwaway.xml,standard,UNKNOWN,sentence,train
m-angay-ka lo makarang no tokon kwan-a no tao,"""You go to the stilt house on the mountain,"" the foreigner said",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kwaway.xml,standard,UNKNOWN,sentence,train
chitagen-mo ori o-nayanen no mavakes-mo,"""and see there how your wife is being cared for.""",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kwaway.xml,standard,UNKNOWN,sentence,train
sino-kamo kano mi-chitagen imo ina?,"""Who are you coming here to look for your mother?",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kwaway.xml,standard,UNKNOWN,sentence,train
nak-nakem-ko-inyo? anak no yamen lo yami,I think that you are a child of us Yami people.,Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kwaway.xml,standard,UNKNOWN,sentence,train
manoyong- anak-o inyo-n mang-anak-o-en,"I wonder if you are really our child, dear.",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kwaway.xml,standard,UNKNOWN,sentence,train
i-pangwat-ko-inyo kwan,If I wash,Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kwaway.xml,standard,UNKNOWN,sentence,train
so pasavoren-ko dinwen no maomlesan so chinwat-an,you with boiling water,Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kwaway.xml,standard,UNKNOWN,sentence,test
no maomgis o kolit-nyo,and your skin peels off,Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kwaway.xml,standard,UNKNOWN,sentence,train
am-bege-ko-inyo anak,"then you are not our child.""",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kwaway.xml,standard,UNKNOWN,sentence,train
pasamorna am-pia anak-o-inyo manoyong,"She washed him and the child was fine, so she said, ""You are really our child.""",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kwaway.xml,standard,UNKNOWN,sentence,train
a-salb-ena o banid no kwaway,The spirit's wing was burned.,Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kwaway.xml,standard,UNKNOWN,sentence,train
mitamna tona-chita o mangnay,"""Let's go and see them catching fish.""",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kwaway.xml,standard,UNKNOWN,sentence,train
mak-apia mi-tobaos k-angay-na,"She made a hat, and went",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kwaway.xml,standard,UNKNOWN,sentence,train
no vagay-na no apia no k-anak-an,to the child's good house.,Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kwaway.xml,standard,UNKNOWN,sentence,train
m-angay-ka mang-anak-o kwan-a ina-na,"""You are going, dear child,"" said his mother.",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kwaway.xml,standard,UNKNOWN,sentence,train
m-angay-ka chyaa? no apia tao kwan,It doesn't matter if you do go. They are good people over there.,Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kwaway.xml,standard,UNKNOWN,sentence,train
apia non m-angay-ko-rana kwan m-angay kalilyan o vaonda,"""Yes, good people; so I'll go,"" he said, and went to the plain (where the mother had been taken up).",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kwaway.xml,standard,UNKNOWN,sentence,train
am-lavi o k-anak-an makarakarang-mo,"The child cries, ""You are so very tall.",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kwaway.xml,standard,UNKNOWN,sentence,train
a lalabongen ta-ko-m-anyagay,"I'm afraid, because I'm just little.""",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kwaway.xml,standard,UNKNOWN,sentence,train
chi-chya-rana mo-kipong,"""Come here, dear little one.""",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kwaway.xml,standard,UNKNOWN,sentence,train
taosya y-abo m-angay-ko yani-avay-n-yaten n-ina,"""I don't want to; I am not going, because Mother will scold us.",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kwaway.xml,standard,UNKNOWN,sentence,train
y-abo m-angay-ko mwama to kongyan avay-aken ina,I'm not going to do planting in the mountains. Mother will scold me.,Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kwaway.xml,standard,UNKNOWN,sentence,train
to chya mi-kalakala/mi-karakara lo kayo?,"I'm going to look for something here in the trees.""",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kwaway.xml,standard,UNKNOWN,sentence,train
chi-chya-rana mo-kipong,"""Come here, dear.""",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kwaway.xml,standard,UNKNOWN,sentence,train
taosya kwan-a,"""I don't want to,"" he said.",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kwaway.xml,standard,UNKNOWN,sentence,train
ak-teb-en oo-na n-ina amori y-angay-ko,"""Then I'll cut off your mother's head. That's why I'm going.""",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kwaway.xml,standard,UNKNOWN,sentence,train
taosya chi-kong-teb-a,"""I don't want you to. I musn't let mother's head be cut off.",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kwaway.xml,standard,UNKNOWN,sentence,train
ak-teb-en oo no kagling,"Cut off a goat's head.""",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kwaway.xml,standard,UNKNOWN,sentence,train
chi-chya-rana o-kipong,"""Come here, dear.",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kwaway.xml,standard,UNKNOWN,sentence,train
ta-yako-ni-k-teb-rana oo-na no ina-mo?,"I'm going to cut off your mother's head.""",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kwaway.xml,standard,UNKNOWN,sentence,test
non kwan-a ka-lavi-na,"""Yes,"" and the child began to cry.",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kwaway.xml,standard,UNKNOWN,sentence,train
k-arima-raw i-k-teb-na pi-tolang-an-a/ (tolang o ragaw),"After five days, he cut off her head.",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kwaway.xml,standard,UNKNOWN,sentence,train
abo-rana no mi-tolang,She couldn't move,Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kwaway.xml,standard,UNKNOWN,sentence,train
y-abo-rana no mamaog,or bear children any more.,Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kwaway.xml,standard,UNKNOWN,sentence,test
mikabak-abay-o/mikabakabayo o mwakay,The husband wailed,Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kwaway.xml,standard,UNKNOWN,sentence,train
m-lavi o moakay ra-ralaw-napa ni-ina-mo,"and cried, ""Your mother's blood is flowing down.",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kwaway.xml,standard,UNKNOWN,sentence,train
chi-ka- bobo,"Don't bury her.""",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kwaway.xml,standard,UNKNOWN,sentence,train
o m-aoli a-mi-sorod,They went home and combed their hair,Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kwaway.xml,standard,UNKNOWN,sentence,test
malapway so kan-en-da-rana,and prepared the vegetables,Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kwaway.xml,standard,UNKNOWN,sentence,train
om-lavi o moakay,while the husband cried.,Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kwaway.xml,standard,UNKNOWN,sentence,train
maka-chita-sya di-laget-ka-siw,"He saw the mother's spirit, and she said, ""You were not bad.",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kwaway.xml,standard,UNKNOWN,sentence,test
tong-teb so ragaw-ko am-lavi-ka-n,My head was cut off and are you crying?,Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kwaway.xml,standard,UNKNOWN,sentence,train
a-ya-maka-chita yaken-em angay-rana-ta,"Look at me."" ""Let us both go,""",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kwaway.xml,standard,UNKNOWN,sentence,train
anitoka-rana kwan-a no moakay,said her husband.,Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kwaway.xml,standard,UNKNOWN,sentence,train
kokay si-machinara pinatoratod-ko lo maman-amen,"""Excuse me, Machinara, I'm going to sit by our betel nut basket.",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kwaway.xml,standard,UNKNOWN,sentence,train
tao no kakwa amyan so avang to titiwen kwan-da,"A long time ago, there was a ship at Titiwen.",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kalaku4.xml,standard,UNKNOWN,sentence,validate
ma-chita-da to madegdeg (imorod no tao) / (tao d-imorod),"Early in the morning, the people from Imurud saw them (ship's crew).",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kalaku4.xml,standard,UNKNOWN,sentence,train
ma-chita-da ipanchi-na o anak-na,"The child said, ""Look at them.""",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kalaku4.xml,standard,UNKNOWN,sentence,train
sira mi-ripo-ripos mang-aep-tamo so matengteng otwen kwan-da,"His relatives said, ""Let's take some cold food",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kalaku4.xml,standard,UNKNOWN,sentence,train
itoro-tamo-dira kwan-da m-angay-tamo lo tatala kwan-da,"to give them, and go over in our boat.""",Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kalaku4.xml,standard,UNKNOWN,sentence,train
non kwan-da m-angay-sira lo tatala m-angay titiwen.,They went by boat to Titiwen,Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kalaku4.xml,standard,UNKNOWN,sentence,train
ma-chita-da o avang nikomagat,and saw the wrecked ship.,Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kalaku4.xml,standard,UNKNOWN,sentence,train
tao no avang mamimin-sira ni-m-angay lo katyan miwalem lo rerchip,All the people from the ship had gone to Katyan and were resting in the cave.,Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kalaku4.xml,standard,UNKNOWN,sentence,train
o tatala no tao pangyiden-da,The newcomers with the food pulled the boat up on the shore.,Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kalaku4.xml,standard,UNKNOWN,sentence,train
k-aep-da so otwen-da-rana,The newcomers with the food pulled the boat up on the shore.,Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kalaku4.xml,standard,UNKNOWN,sentence,validate
