ckv,english,source,kindOf,dialect,row_type,split
ano temawaR si yao ti qatiwka ti sinananamka ti mimali zinna iko na sonjowta nani.,Our village head said we were going to practice playing the ball.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-weaving_abas_ipay3.xml,standard,UNKNOWN,sentence,train
mana mai smano ka panchangta zinko ya.,Why didn't our class leader tell us?,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-weaving_abas_ipay3.xml,standard,UNKNOWN,sentence,train
taqaanna ti ita baibodan sonis ti tangi.,He doesn't want us elders. youngsters now.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-weaving_abas_ipay3.xml,standard,UNKNOWN,sentence,train
yao yao so izaanna sodadanna nanganna na nanganko nani.,He (class leader) wrote down his name.. my name.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-weaving_abas_ipay3.xml,standard,UNKNOWN,sentence,train
wanay mai wanay qayao a labangko yo zinko ti asin nani.,I told Asin I had guests (on that day).,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-weaving_abas_ipay3.xml,standard,UNKNOWN,sentence,train
ano yao labang tiana ti siliway timaiso zinna iko.,"'If you have guests, who will replace you?' he told me.",Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-weaving_abas_ipay3.xml,standard,UNKNOWN,sentence,train
mai ti zako ay.,There is no mine.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-weaving_abas_ipay3.xml,standard,UNKNOWN,sentence,validate
mai ti to dawad ka zinko ti ya.,"'I don't have time,' said I.",Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-weaving_abas_ipay3.xml,standard,UNKNOWN,sentence,train
ano mai ti zako ay.,There is no mine.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-weaving_abas_ipay3.xml,standard,UNKNOWN,sentence,train
mai ti mai ti nangan aiso.,There is no yours.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-weaving_abas_ipay3.xml,standard,UNKNOWN,sentence,train
wama tiayayon na tizin ay nani aiko kintolo imi ya.,"Only Ayayun, Zin, and I. We three.",Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-weaving_abas_ipay3.xml,standard,UNKNOWN,sentence,train
Ro Ronanay?.,Is there any man?,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-weaving_abas_ipay3.xml,standard,UNKNOWN,sentence,train
ita kinani smani Ronanay Rayngoanko.,I don't know how many men there are.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-weaving_abas_ipay3.xml,standard,UNKNOWN,sentence,train
ka samawmang ka kinRabtin lazatan.,Only ten people..,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-weaving_abas_ipay3.xml,standard,UNKNOWN,sentence,train
en Rabtin.,"Yes, only ten.",Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-weaving_abas_ipay3.xml,standard,UNKNOWN,sentence,train
yao otolo ya mlalo'ong zinna si.,There are three people from Dongxing Village.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-weaving_abas_ipay3.xml,standard,UNKNOWN,sentence,validate
nayao ti mlalo'ong ala pa ti to mlalo'ong haw.,want residents from Dongxing Village.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-weaving_abas_ipay3.xml,standard,UNKNOWN,sentence,train
tangi pakonko pa iko to zana masang baqita nizi tayilanan.,"Today, I am going to tell a story about our ancestors coming from Yi-lan.",Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-ancestor_buya.xml,standard,UNKNOWN,sentence,train
masang tayan tayilanan nani mwaza zengnana mwaza banangna baqian tayan na baybedan bayita.,Some time ago in Yi-lan there were many farms and lands of our ancestors'.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-ancestor_buya.xml,standard,UNKNOWN,sentence,train
yao ti bosos maseq taiyan matiw ta yilanan nani.,"Then, Han people arrived there...went to Yi-lan.",Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-ancestor_buya.xml,standard,UNKNOWN,sentence,train
sopaR qaniawo kasianem to sanaqonian to mala to zengnana baqita bayita.,They were good at planning how to obtain our ancestors' farms.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-ancestor_buya.xml,standard,UNKNOWN,sentence,train
wanay kebalan moaza lisinna to zana metiwoay.,"Since Kavalan people have many superstitions, such as something about witches.",Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-ancestor_buya.xml,standard,UNKNOWN,sentence,train
zinna kasianem.,They think so.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-ancestor_buya.xml,standard,UNKNOWN,sentence,test
yao 'nay lasap lasapay Ray naRay Raybang taqa ti to taiyan to qayzoanan.,"When there is something dirty in a place, they will abandon that place.",Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-ancestor_buya.xml,standard,UNKNOWN,sentence,train
nayao sopaR ti 'daq.,Others knew it.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-ancestor_buya.xml,standard,UNKNOWN,sentence,train
sopaR ti bosos to waway na kebalan Ranaw nayawanna ti.,"The Han people knew the customs of Kavalan, so they did so.",Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-ancestor_buya.xml,standard,UNKNOWN,sentence,train
titaanna baq na baqita na bayita nani.,Our ancestors saw them (dead dogs or chickens in the farm).,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-ancestor_buya.xml,standard,UNKNOWN,sentence,validate
izaoanna ti tayan idadanna ti sokaw ti kowayan zao zinna baqian haw.,"left them there and surrounded. The land cannot be plowed, thought the elders.",Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-ancestor_buya.xml,standard,UNKNOWN,sentence,train
nani tenes mai ti niqoayan ay titaanna na bosos nani.,The land which had not been plowed for a long time was seen by the Hans.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-ancestor_buya.xml,standard,UNKNOWN,sentence,train
mai kowayannomi zao.,haven't plowed this land for a long time.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-ancestor_buya.xml,standard,UNKNOWN,sentence,train
aiko pa ti zinna sadiwayanna ti nayao zengna na baqian taiyan nani.,"It's my turn, thought the Hans, to occupy the farms of the ancestors there.",Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-ancestor_buya.xml,standard,UNKNOWN,sentence,train
Ronto tabay pameng ti masiyon masiyon nani pameng ti kitot ti.,"The land was originally wide and large, but became smaller gradually.",Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-ancestor_buya.xml,standard,UNKNOWN,sentence,train
titaanna baqian taiyanan 'nay baq na baqita taiyan nani.,Our ancestors there saw it.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-ancestor_buya.xml,standard,UNKNOWN,sentence,train
mai ti ita to zengna taziyan.,We had no farms here.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-ancestor_buya.xml,standard,UNKNOWN,sentence,train
samawmang pa ita taziyan ka.,It's useless for us to stay here.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-ancestor_buya.xml,standard,UNKNOWN,sentence,test
qangima sayza matadin zinna nani matadin ti pasa tiboR.,They think they should leave they left for the south.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-ancestor_buya.xml,standard,UNKNOWN,sentence,train
mzaqis to ipaz qabawa ay somaqai ay nayaw ti mboRaw pasa qalinko.,"left for Hualien by raft, boat, or on foot.",Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-ancestor_buya.xml,standard,UNKNOWN,sentence,train
mona niqaqaanna maseq to qalinko nani.,The place where they arrived first is Hualien.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-ancestor_buya.xml,standard,UNKNOWN,sentence,train
yao taizaan taqeliawanan maseq taqeliawanan.,In qeliawanan.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-ancestor_buya.xml,standard,UNKNOWN,sentence,train
wa tabay taziyan nengi qaizowanan ta taziyan zinna qaniawo nani.,"'It is so wide here and is thus a good place for living,' said they.",Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-ancestor_buya.xml,standard,UNKNOWN,sentence,train
taziyan ti qaniao komoway.,They plowed here.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-ancestor_buya.xml,standard,UNKNOWN,sentence,train
neng tengnes nani yao ti zipon to miza ay to lazat tayan koan ay to iza nani.,"After a long time, there Japanese governing these people.",Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-ancestor_buya.xml,standard,UNKNOWN,sentence,train
titaanna skaw sayza ni nikoananna nani.,"After seeing this, (our ancestors) probably thought that how the Japanese governed the people was bad.""",Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-ancestor_buya.xml,standard,UNKNOWN,sentence,train
miza ti masawa ti to zipon.,They fought against the Japanese.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-ancestor_buya.xml,standard,UNKNOWN,sentence,test
soqas kebalan ato qizaya' taiyan nani.,Kavalan and Amis there lost.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-ancestor_buya.xml,standard,UNKNOWN,sentence,train
maitis qakapaRanna zipon nani matalin ti oman.,are afraid of being caught by the Japanese so transferred to another place again.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-ancestor_buya.xml,standard,UNKNOWN,sentence,validate
sa pasazoi ta qoRo'an tataqemoanan.,To qoRo' and taqemuan.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-ancestor_buya.xml,standard,UNKNOWN,sentence,train
yao tataqemoanan yao tasinsiaan yao ta a yao pateR tapateRongan.,To taqemuan and pateRung,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-ancestor_buya.xml,standard,UNKNOWN,sentence,train
yao sa kolis pasazoi ti oman taqeladotan ato ta tachenggongan zinna haw.,"To kulis, qeladut and chenggong.",Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-ancestor_buya.xml,standard,UNKNOWN,sentence,train
X aimi baqiniq yao tasinsiaan tomoqaz tayan.,Our ancestors went ashore there in Sinshe.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-ancestor_buya.xml,standard,UNKNOWN,sentence,validate
smoRong titaanna naong 'nay tayan.,"After landing, they saw the mountains there.",Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-ancestor_buya.xml,standard,UNKNOWN,sentence,train
yao iRoR hoN yao naong mzaki to lazing zinna Ranaw.,"There are rivers and mountains and is near the sea, said they",Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-ancestor_buya.xml,standard,UNKNOWN,sentence,train
aimi kebalan mlizaq to sazanomay.,We Kavalan people like the place with water.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-ancestor_buya.xml,standard,UNKNOWN,sentence,train
yao zanom yao zanom smoRoz e zinna.,"With water, we can survive, said they.",Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-ancestor_buya.xml,standard,UNKNOWN,sentence,train
Ranaw yao ti tasinsiaan.,"Thus, (they stayed) in Xinshe.",Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-ancestor_buya.xml,standard,UNKNOWN,sentence,train
mzaki to lazing mzaki to naong mzaki to iRoR nayaw nani.,"Near the sea, near the mountain, near a river.",Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-ancestor_buya.xml,standard,UNKNOWN,sentence,train
tayan ti niz sinsia ay 'nay tangi.,All the Xinshe people now were there.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-ancestor_buya.xml,standard,UNKNOWN,sentence,train
tozos to tangi aw tengnes ti qaya tasaw.,Till now it has been a long time.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-ancestor_buya.xml,standard,UNKNOWN,sentence,train
nengi wawai taziyan tasinsiaan qenabinos na kebalan taziyan.,Life of Kavalan here in Xinshe is good.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-ancestor_buya.xml,standard,UNKNOWN,sentence,train
tangi qamwaz ay lazat sinsia sayzi ta pateRongan.,Xinshe has the most population.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-ancestor_buya.xml,standard,UNKNOWN,sentence,train
zoma nani RaRaya ti sonis ngid to laytanan wia oman sa taziyan tataipakan qelawqaway sonis.,"In addition, the children had grown up and wanted to make money so they went here again to Taipei to work.",Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-ancestor_buya.xml,standard,UNKNOWN,sentence,train
wantima baqian baibodan talepawan mlingi to lepaw temita ay to zengna o.,"Only the elder stay there, watching houses and farms.",Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-ancestor_buya.xml,standard,UNKNOWN,sentence,train
pilay ti imo baqian baibodan zinko.,"Elders, thanks for your hard work, said I.",Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-ancestor_buya.xml,standard,UNKNOWN,sentence,train
qawmang palamlames pa imi taziyan 'nay tataipakan qelawqawayay zinko.,We will work hard here in Taipei.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-ancestor_buya.xml,standard,UNKNOWN,sentence,train
nayao ma sikawmaanko wanai.,That's what I said. Thanks.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-ancestor_buya.xml,standard,UNKNOWN,sentence,train
masang to taqa iko tibatoan nani.,I didn't like Batu before.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,validate
pawRat tinako tamako kila onay pa ngidanta.,My mother and father decided that I should marry him.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,train
mdadona aizipna.,He is diligent.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,train
pameng ngid to tikingciangan nani.,I only want Kingciang.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,train
mai qadabo tikingciang sapaqonianso zinna.,'Kingciang couldn't marry into our family. Why do you like him?' they said.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,train
qoniakita anemta haw pawRat ti iko qaya nani.,What should I do? I just like him.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,train
alaanniq tibato ozosa ti sonisko haw.,I married Batu and had two children.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,train
qawman mtaqa.,I still don't like him.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,train
mai iso qaqaliwonan.,You cannot forget.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,train
en qapatay pa iko si kawka iko mlikay tibatoan zin na anemko nani.,"Only when I die can I leave Batu, I think.",Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,test
qoniakita mai to qoqonian anem yao aipa.,What could we do? (There is nothing we could do.),Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,train
qenasianem nayao anemko zinko kwa.,I think so.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,train
tatawa ti qaniyao pakonkoanko tawian.,"I told them the story, and they kept laughing.",Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,train
taw sayza nayao.,What could I do?,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,train
Rapotoyanko tikingciang.,I dreamed of Kingciang.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,train
mai pama patay ya ya ahyangso.,Your brother hadn't passed away then.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,train
mai pama patay ahyangso nani.,Your brother hadn't passed away then.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,train
Rapotoyanko to.,I dreamed that....,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,validate
tiana kapotna tialan yao ti mawto qman satoto yao ti nani.,Alan came after having lunch.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,train
maynep iko iloni zinta mani iko.,I fell asleep during the worship.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,train
yao ti ya ti kingciang nani mana moRing iso zinna iko.,There was Kingciang (in my dream). 'Why are you crying?' he said.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,train
mana mai iko moRing zinko nani.,"I didn't cry, I said.",Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,train
nazao iko maynep kya qaqapanna ya zaoko nani.,"When I was sleeping, he touched my....",Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,train
ya mai iko moRing zinso mana mzizi ya limaso ka.,"You said you didn't cry, why are your hands wet?",Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,train
zinna nani.,He said.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,train
madopong ti naiteikang yo.,Don't cry.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,train
watasinozaisang sikosiwaketei ageilokala zinna iko ni kingciang.,"'I'll give you half of my property,' said Kingciang.",Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,train
watasiwazaisang ilangyo antanoaiyo wasoliteilesiyo zinko.,"'I don't want your properties. your love alone is enough,' I said.",Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,train
pon ti iko sikawma nani.,We finished talking.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,train
Rameneng ti iko 'nay.,I woke up.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,train
an alisya.,That's right.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,train
sinapawan ti qaqako tikinciang.,My brother Kingciang was married.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,train
mtaRaw ti.,He was sick.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,train
a mtaRaw ti.,He was sick?,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,test
tangi ti iko ma mRapotoy iko tamaizipana patay ti tibato onay nani.,I dreamed of him after Batu passed away.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,train
yao pama tikingciang nani.,Kingciang was still alive then.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,train
sanoaka si qanoni niRapotoyko mana nayao.,I wanted to ask Kingciang how come I dreamed such a dream.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,train
matapon imi yao tioqis matapon imi tikingciang.,"Uqis was there, with Kingciang.",Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,train
qonianta sikwama.,How could I say?,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,train
pameng ti tmozos to qawianna saising ya.,(I didn't tell him.) He went to the hospital.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,train
nayao mai bonay anemko tozos to qapatayan.,I won't forget until death.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,train
mai qakalingo nani.,I won't forget.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,train
tayan pakonkoanko ti tayan nani mtawtawa ti qaniyao smano ti qaya yo tinako yo wazoq tibaRoq.,"[translation missing] 'BaRuq is like this,' said my mom.",Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,train
zinna mai izao pawRat qaya ngid ala zinna na aboko.,"'I want Kingciang to marry into our family,' said my mom.",Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,train
kyami qaqaqa tikingciang.,is the elder son.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,train
Rayngo madabo si.,He cannot marry into your family.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,train
simtebes imi zinna.,They pulled each other. (They wanted each other's child to marry into their family.),Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,test
masang mai smolod mai pama sinapawan mai smolod tibaRoq zinna mai pama sinapawan nani.,Not married yet at the time.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,train
matiw imi taqimoyan tayan lepawnomi nani.,We went to the police station near your home.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,train
matiw imi nani.,We went there.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,train
qoniaka bola iko to sonisso.,What can we do? Give me your daughter.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,train
zinan iko abako ni abata tikoli nani.,Kuli told my father.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,validate
bola iko to sonisso mlolon iko qoniaka smolod to sonisso zinna na abako nani.,"My dad said, I'm hurt. Give me your son.",Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,train
tama ti paqnanem sonisko to Ronanay si.,I have only one son.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,test
qoniaka nayao tiana ti koway.,Who will till the land?,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,train
mRasa imi to zena tiana ti koay zinna.,We bought the paddy field. Who will till the land? He said.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,train
siqatolo imi matiw toqaan na tamako matiw.,We went there three times. My father wanted to talk face to face.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,train
en a qaya a nayao saqatolo imi matiw taqimoyan nani.,We went to the police station three times.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,train
ngid ala tikingciangan nani taqa solod tamako kyami taqa solod ya tamako kyami nayao simtebes zinna nani.,"We wanted Kingciang to marry into our family, my father didn't agree so they pulled each other, he said.",Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,train
mai simkaliong qaya.,I won't forget.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,train
oh nayao ya yao kikong iko haw to bato nani.,[translation missing] I married Batu.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,train
mai to niana aimi kikong ne.,We had nothing when we married.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,train
o pameng imi ma matiw qaya sa iza o sa lalo'ong mala tibatoan nani.,We finally went to Lalu'ung to pick up Batu.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,train
Raysezang ita saizi yao mai to kawswa.,We didn't have umbrellas. We were exposed to the sun.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,train
yao qodosta masang.,Were there clothes before?,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,train
tanozanna imi qaya tmanan.,He followed us when returning home.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,train
to mkikong ti yao iko ta yao imi ta inpanan yo.,"After the wedding, we were in the room.",Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,train
maded aimi.,We sat down.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,sentence,train
