xsy,english,source,kindOf,dialect,row_type,split
e wae'ae' 'ae'ae:aew ila ray koko:ol babaw.,The deer ran to the top of the mountain.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog7_kalaeh a taro_.xml,standard,UNKNOWN,sentence,validate
'aehoe' 'ae'ae:aew 'oe'oe ka wae'ae' kita' ka 'ataS mintani'.,"The dog ran and called the deer, which stopped upon seeing the cliff.",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog7_kalaeh a taro_.xml,standard,UNKNOWN,sentence,test
'aehoe' ki mae'iyaeh sahae' ila ila hao ray 'ataS.,The boy and the dog fell off the cliff.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog7_kalaeh a taro_.xml,standard,UNKNOWN,sentence,train
hini kabih hayza' ka kaehkaehoeyan ki 'oemah.,There were a forest and a piece of land on the side.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog7_kalaeh a taro_.xml,standard,UNKNOWN,sentence,validate
wae'ae' 'ima sakosiza ka mae'iyaeh 'ima sahae' ray waSal a k ki 'aehoe' m 'aehoe' ma' sahae' 'oyae' mari' noka mae'iyaeh.,"The deer saw the boy fall down in the water. The dog also fell down, carried by the boy.""",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog7_kalaeh a taro_.xml,standard,UNKNOWN,sentence,test
aSkanen ray a totoko'on ray abae:ae' babaw.,"(The dog was) put on the shoulder.""",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog7_kalaeh a taro_.xml,standard,UNKNOWN,sentence,train
lasia kas'oehaz ray ralom.,They got out of the water.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog7_kalaeh a taro_.xml,standard,UNKNOWN,sentence,train
'aehoe' lalangoy ila.,The dog swam.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog7_kalaeh a taro_.xml,standard,UNKNOWN,sentence,test
ki mae'iyaeh a papama' ila ray a tabai a eN papama' ila ray tabai babaw.,The boy rode on top of a dead wood.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog7_kalaeh a taro_.xml,standard,UNKNOWN,sentence,train
papama' ila potngor ray hini' kabih.,He rode and got to the other side.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog7_kalaeh a taro_.xml,standard,UNKNOWN,sentence,train
kita' ila ka takem roSa'.,He saw two frogs.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog7_kalaeh a taro_.xml,standard,UNKNOWN,sentence,train
'ahoe' kisbabaw ki ma'iaeh kita' ka takem 'ima 'akoy.,"The boy and the dog on top of him saw many frogs.""",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog7_kalaeh a taro_.xml,standard,UNKNOWN,sentence,train
e ray ralom hao ray ralom ki mae'iyaeh rakep ka takem 'aeh 'aehae'.,They caught one frog from the water.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog7_kalaeh a taro_.xml,standard,UNKNOWN,sentence,train
sakosiza kabih ray atabai babaw takem o: ray ray ray tabai babaw 'akoy.,They looked from atop at the side of the piece of wood and saw many frogs.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog7_kalaeh a taro_.xml,standard,UNKNOWN,sentence,train
korkoring ki 'aehoe' ma' kitkita' ka takem.,A child and a dog were looking at a frog.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_Sainr-frog4_lalo a tahaeS.xml,standard,UNKNOWN,sentence,train
takem takem 'leb ray ray binisitan.,kept the frog in a bottle.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_Sainr-frog4_lalo a tahaeS.xml,standard,UNKNOWN,sentence,train
isaa korkoring ki 'aehoe' ma'rem ila.,The child and the dog sleep.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_Sainr-frog4_lalo a tahaeS.xml,standard,UNKNOWN,sentence,validate
roehaenaen takem nonak kas nonak ma kas'oehaz.,The frog came out (of the bottle) by itself.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_Sainr-frog4_lalo a tahaeS.xml,standard,UNKNOWN,sentence,train
isaa ririm'aenaen hini korkoring ki 'aehoe' koSa:.,"In the morning, the child and the dog said",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_Sainr-frog4_lalo a tahaeS.xml,standard,UNKNOWN,sentence,train
o man ka takem hayno' ila hini'.,Where has the frog gone?,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_Sainr-frog4_lalo a tahaeS.xml,standard,UNKNOWN,sentence,train
isaa 'am'amoeh am hibae: ka kayba:en sa.,They put on their clothes quickly.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_Sainr-frog4_lalo a tahaeS.xml,standard,UNKNOWN,sentence,train
ki:im ray kayba:en.,looked (for the frog) in the clothes.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_Sainr-frog4_lalo a tahaeS.xml,standard,UNKNOWN,sentence,validate
ki:im ray kayba:en 'oka' hini' 'aehoe' rima'.,was not.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_Sainr-frog4_lalo a tahaeS.xml,standard,UNKNOWN,sentence,test
sazek ray binisitan.,The dog smelled the inside of the container.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_Sainr-frog4_lalo a tahaeS.xml,standard,UNKNOWN,sentence,train
'oka' isaa.,was not there.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_Sainr-frog4_lalo a tahaeS.xml,standard,UNKNOWN,sentence,train
hini' ka binisitan si a si si tomok ila ray ta'oeloeh noka 'aehoe'.,The dog its head in the bottle.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_Sainr-frog4_lalo a tahaeS.xml,standard,UNKNOWN,sentence,train
hini' ka korkoring Sa takem So'o hayno' ila.,"The child, 'Frog, where are you?'",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_Sainr-frog4_lalo a tahaeS.xml,standard,UNKNOWN,sentence,train
kita'en hini' ka 'aehoe' sahae' sahae' ray hinoehas sahae' ray ra:i'.,saw the dog fall on the ground from the window.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_Sainr-frog4_lalo a tahaeS.xml,standard,UNKNOWN,sentence,train
isaa ka binisitan minlakay ila hiza'.,The bottle broke.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_Sainr-frog4_lalo a tahaeS.xml,standard,UNKNOWN,sentence,train
'aehoe' kayzaeh ila 'okay 'okay tatpo'i noka binisitan.,The dog was not 'wearing' the bottle (on its head) anymore.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_Sainr-frog4_lalo a tahaeS.xml,standard,UNKNOWN,sentence,train
lasia rima' 'oeS'oeSoe'an ila ki 'aehoe' hini' ka korkoring ki 'aehoe' rima' 'oeS'oeSoe'an Sa 'oe'oe ila.,They went to the mountain with the dog and called out.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_Sainr-frog4_lalo a tahaeS.xml,standard,UNKNOWN,sentence,train
hoy takem hayno' ila So'o.,"Hello, Frog, where are you?",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_Sainr-frog4_lalo a tahaeS.xml,standard,UNKNOWN,sentence,train
kita'en hini' 'aehoe' kita' ka boya'.,The dog saw a beehive.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_Sainr-frog4_lalo a tahaeS.xml,standard,UNKNOWN,sentence,train
boya' hini' 'ampowa' kin 'akoy ka boya'.,Why are there so many bees here?,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_Sainr-frog4_lalo a tahaeS.xml,standard,UNKNOWN,sentence,train
isaa hini' korkoring ayo hini' hayza' ka ka minatang.,"Oh, there's a hole.",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_Sainr-frog4_lalo a tahaeS.xml,standard,UNKNOWN,sentence,train
ka ano'.,Aah... it's a...,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_Sainr-frog4_lalo a tahaeS.xml,standard,UNKNOWN,sentence,train
takem mti' ma hayza' ilahani 'izo'.,The frog may have gone inside there.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_Sainr-frog4_lalo a tahaeS.xml,standard,UNKNOWN,sentence,train
hiza 'oe'oe ila sa takem So'o hani ray 'izo'.,"There he called out, Frog, are you there inside?",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_Sainr-frog4_lalo a tahaeS.xml,standard,UNKNOWN,sentence,train
hini' 'aehoe' kita' ka boya' Sa.,The dog saw the beehive.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_Sainr-frog4_lalo a tahaeS.xml,standard,UNKNOWN,sentence,train
rarapal hini' kas'oehaz takem.,"A squirrel came out, not a frog.",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_Sainr-frog4_lalo a tahaeS.xml,standard,UNKNOWN,sentence,train
hini' 'aehoe' shi kita' ka boya'.,The dog saw the beehive.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_Sainr-frog4_lalo a tahaeS.xml,standard,UNKNOWN,sentence,train
hahli ryo hahli tee ka ka boya'.,shook the beehive.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_Sainr-frog4_lalo a tahaeS.xml,standard,UNKNOWN,sentence,train
sahae' ila.,(The beehive) fell down.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_Sainr-frog4_lalo a tahaeS.xml,standard,UNKNOWN,sentence,train
hini' korkoring kita' ka hiza' ka ray kaehoey minatang.,The child saw a hole up the tree.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_Sainr-frog4_lalo a tahaeS.xml,standard,UNKNOWN,sentence,train
koSa: takem hao ray 'izo' 'am rima' ki:im.,"He thought the frog was inside there, and went to take a look.",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_Sainr-frog4_lalo a tahaeS.xml,standard,UNKNOWN,sentence,train
ka.,An owl came out.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_Sainr-frog4_lalo a tahaeS.xml,standard,UNKNOWN,sentence,train
hini' 'aehoe' ma' hahli ka paksahae' ka boya' sowawen ila noka boya'.,"The dog was also shaking the beehive fell (to the ground), and the bees chased",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_Sainr-frog4_lalo a tahaeS.xml,standard,UNKNOWN,sentence,train
isahini korkoring ma sowawen noka kal'oe.,The owl also chased the child.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_Sainr-frog4_lalo a tahaeS.xml,standard,UNKNOWN,sentence,train
ka kaSna'itol ray ray bato' babaw 'oe'oe ila ka takem.,climbed up the rock and called the frog.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_Sainr-frog4_lalo a tahaeS.xml,standard,UNKNOWN,sentence,train
hini' 'aehoe' ma' 'ima sazek sa takem hahano.,The dog sniffed for the frog.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_Sainr-frog4_lalo a tahaeS.xml,standard,UNKNOWN,sentence,train
'oe'oe 'oe'oe.,(The child kept on) calling.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_Sainr-frog4_lalo a tahaeS.xml,standard,UNKNOWN,sentence,train
hini' ka 'aehoe' rima' ray bato' hikor.,The dog went behind the rock.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_Sainr-frog4_lalo a tahaeS.xml,standard,UNKNOWN,sentence,train
kita'en ka hini' wae'ae' wae'ae' kas'oehaz homses hini'.,The deer came out.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_Sainr-frog4_lalo a tahaeS.xml,standard,UNKNOWN,sentence,train
wae'ae' ma' homses 'ae'ae:aew ila 'ae'ae:aew o.,The deer also got frightened and ran away.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_Sainr-frog4_lalo a tahaeS.xml,standard,UNKNOWN,sentence,train
mwa:i' ray 'a ray 'ataS o:.,and came to a cliff.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_Sainr-frog4_lalo a tahaeS.xml,standard,UNKNOWN,sentence,train
kita'en yo kano' ray hani Sa kano' ray hani Sa 'ima maatol a.,What is singing there?,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_Sainr-frog4_lalo a tahaeS.xml,standard,UNKNOWN,sentence,train
'iyahimi' isaa ka 'aehoe' Sa t 'iyahimi'.,He told the dog to 'be quiet.',Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_Sainr-frog4_lalo a tahaeS.xml,standard,UNKNOWN,sentence,test
isaa ray kaehoey hikor ray kaehoey hikor kita' ka takem ma maatol.,saw the frog singing behind the rock.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_Sainr-frog4_lalo a tahaeS.xml,standard,UNKNOWN,sentence,train
i:wa' ay sia mwa:i' ki:im ka taew'an takem mwa:i' ki:im ka taew'an nisia.,So the frog was looking for its home.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_Sainr-frog4_lalo a tahaeS.xml,standard,UNKNOWN,sentence,train
kita'en hini' ka 'ima 'ol'ola'an ka takem ma' kas'oehaz ila saboeh.,All the small frogs came out too.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_Sainr-frog4_lalo a tahaeS.xml,standard,UNKNOWN,sentence,test
koSa'en ila ina inoka hiza' a takem a ka ka korkoring.,It was the frog's child.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_Sainr-frog4_lalo a tahaeS.xml,standard,UNKNOWN,sentence,train
hini takem ma'an kaalibihin.,"This is my frog, which I will take back.",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_Sainr-frog4_lalo a tahaeS.xml,standard,UNKNOWN,sentence,train
isaa ma pil'awan ila kila takem hini' isaa pil'awan takem ma'an hini' a takem kaalibihin ila.,I will take my frog back.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_Sainr-frog4_lalo a tahaeS.xml,standard,UNKNOWN,sentence,train
kakhayza'an yao e hayza' koSa'en ka noka tatini' ka kapanabih koSa: ka kathethel kathethel kakhayza'an koSa'en kama 'ima ra:am tnon ka kaybae:en ra:am sihoe.,"I was told the story by the edlers. It said that long time before, Kathethel was the one who knew very well how to weave and embroider.",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,test
kakhayza'an nak'ino komoSa' makaksekela' ki SaiSiyat.,How she met the SaiSiyat people.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
kakhayza'an SaiSiyat oma' rengreng rima' 'alep ray 'oeS'oeSo'an.,"Before, SaiSiyat people often went hunting in the fields.",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
ta hayza' 'aehae' 'oSa'an rima' 'alep.,There was a place where they went hunting.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
rima' lasia ray ba:la' 'al'alihan mas'inasal risaa'.,They put up a temporary shelter near the river.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
ra baba:aw ray sinsekel rima' ma 'alep 'isaa.,When they started to go hunting,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
lasia ma' isaa rima' ila 'alep lobih.,They went back from hunting.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
lobih hini kita'en ray hataS nasia sa'sa'ih ka koloban hiza 'aSkan ray katalekan lobihin ma' ana pazay ma' ma' 'aS'aSay ila saboeh talek ila saboeh.,They returned and found each container in the kitchen was filled with cooked rice.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,test
rima' lasia 'aSmi'ael ka hiza ka pazay talek makaktikot.,"They were about to eat, but they felt uneasy.",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
koSa: 'ima pasan'a'aih hiza hilasia ka kama'alep.,They said maybe somebody wanted to set them up.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
m'itol 'aehae' hahila.,On the next day,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,validate
lasia rima' naehaen 'alep.,They went hunting again.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
lasia ma'az'azem komoSa: ma takahini ila Saro:o' ila So: 'aehae' ka mae'iyaeh rini ma kitkita o: hosa:il i: takosaili 'izi'i: pakita'.,"Let's do something like this: we take turns staying here to hide and observe. Don't let that person see us.""",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
sa'oewaz lasia 'aehae' ka kamo'alay saro'on ri'za ray ataS ra si'oSa' ila Sa 'alep.,"A young man stayed behind, and the rest of them went to hunt.",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
isa mwa:i' potngor roehaenaen ila.,It came the evening.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
ray katikinSao'on sa'oewaz kita'en 'inay hao mwa:i' sipaykakamoeh ka kabinao' 'inaray wasal 'izo' ma.,"When the time came to prepare supper, a lady suddenly appeared from the sea.",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,test
mwa:i' 'isaza noka kamo'alay kitkita' tanisia.,She was being observed by the young man.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
mwa:i' wohwohwoh ma talek ila ka pazay.,"She washed the rice, and cooked it.",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
pazay yo nisia 'okik ra:ami ka 'am sempong.,She didn't know what to use for measuring the rice.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
lasia saspong ka kano' noka kaeh'oe' ka pehez sa 'ol'ola'an 'atomal si'siya'an ka kaklekeh kin sobae:oeh.,The fruit that they used to measure rice was as small as a fingernail.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
hiza sispeng za hiza ka SaiSiyat koSa: na 'inimita' si'si' haysia o hini pazay o: kin 'akoy talek.,"She cooked too much rice, but it didn't seem like rice had been taken.",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
ampowa' ma 'ima kano 'atomal soka' isahiza kita'en noka hiza ka 'ima mia'lawa' zi'saa pakitkita' bowa tatini' zi'sa ka kamo'alay.,"It is not known for what reason... who was sent by the old man to guard the house.""",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
hiza kita'en sia sa'oewaz mwa:i' talek ila.,The young person has truly seen her come to cook.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
koSa'en hini So'o ay kama mwa:i' talek ila hini.,It's you who always came to cook here.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
za sia 'okay tiskolater o: pa'yaka:i'.,She neither answers nor says anything.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
yo kita' ka isaa kamo'alay lasia.,The girl saw the youth.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
sasaze:ez lasia roSa'.,Both of them stared at each other.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
maehraehraeng o: kik paehraehraeng makaksikar.,They did not speak anything and felt shy.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
hiza in'alay ri'sa: mayna:a' ila ka ina 'alep.,"From then on, they waited for the hunters.",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,validate
honahai' kita'en ina 'alep lobih ila.,"In a short while, the hunters returned.",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,test
hiza ma minsa'la' ka 'aehoe' potngor ri'sa.,The dog arrived first.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
ina'alep ri'sa: mwa:i' ila isaa ray ataS hiza lasia roSa' kabinao' ki kamo'alay ma' isaa.,The hunters arrived where both of them were.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
'i'ini paehraehraeng.,Both of them have not spoken to each other.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
sa mwa:i' ka 'aehoe' mwa:i' ray kamo'alay ri'sa.,The dog came toward the young man.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,test
mwa:i' kilohay ri'sa ray mae'iyaeh 'al'alihan.,"It went close to the young man, wagging its tail.",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
'inalay risa noka hiza ka kamo'alay koSa: ma' hini ampowa' hiza ka 'aehoe' mwa:i' tomo'aewhaey hataki yakin.,"That time, the young man remarked why the dog naughtily played with him.",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
za mwa:i' ila ka imahaebae:aen ri'sa iska hehemi'an noka hiza.,There came a crowd of people silently.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
ka kamo'alay hiza 'aehoe' sebeten sa.,The young man hit the dog.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,validate
'tet sa.,The dog farted.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
in'alay ri'sa bazae' ka intot hiza ka kabinao isa baza' na'ora sawa' ila hiza ka kamo'alay ma' sawa' ila.,"Upon hearing the dog fart, the lady laughed. The young man also laughed.",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
hiza ka kabinao' koSa: yao ka kaSnay ralom 'izo' koSa'en ka kathethel.,The lady told him that she came from the sea. Her name was Kathethel.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,validate
isaa sa'oewaz lasia maehraehraeng ila ri'sa.,They were talking to each other there.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
mwa:i' lohaporon ila noka tatini' hiza ina 'alep lobih ila.,They were there when the old folks arrived. The hunters returned home.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
saen So'o hini kamamwa:i' talek 'iniya'om.,"They said: ""Is it you who come to cook for us?""",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,test
ma' sa yako.,"Yes, it was me.",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
nimon sa kapowa'en sa a talek sa siboeloe.,Tell me why you threw away the food I cooked.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,validate
hini mina 'inmoyo sa nonak si'si' ma'an taleken.,The rice I cooked was your own.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
isaa sa' noka tatini' kosa'en So'o anyami ka si'si' o: 'ampowa' 'oka' ka sispengen ka si'si' 'okik wawala'.,"The old men said, "" If it's our own rice, then why is there no trace of any rice being measures?""",Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
hiza sa pakita' ila ka saspeng.,She showed everybody the measuring cup.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
nisia ka inoka kaeh'oe ka ka pehez.,She took a tree fruit for measuring.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
isa mari'in sispeng hiza 'ol'ola'an 'atomalan si'siya'an ka kakloekoeh ka pehez kin ol'ola'an o:.,It was taken for measuring. The tree fruit was as small as a fingernail.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel2_kalaeh a oemaw.xml,standard,UNKNOWN,sentence,train
