ssf,english,source,kindOf,dialect,row_type,split
ishqala,drunk,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mathathawa,laugh,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
matobo,wet,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
malhalhas,ripe,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
makoshtor,thick,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mabazay,thin,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
maradaradak,dirty,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mapano,lazy,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
matilaw,clean,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mabiskaw,soon,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
malhias,bright,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
maramo,fat,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
maqalhiw,dry,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
maqiriz,tired,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
faqlho,new,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
sasaz,old,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
iqoalh,near,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mishwoaq,hot,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
korobozin,spoiled,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
makamon,spicy,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
ihazish,far,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
lhomfawa,swelling,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
makiwar,bend,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mindaaq,long,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mariqos,blind,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
komahin,poison,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mazima,delicious,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
madaqri,smooth,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
masizaq,bitter,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
qonrioq,stealthily,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mawalhnaq,numerous,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
ma'aloz'oz,brisk,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
manishir,sour,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
maqasbit,salty,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
konaor,intentional,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
madonlaq,pulpy,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mara'in,sturdy,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
maqalhooz,warm,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
matarithtith,blunt,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
madahon,sweet,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
makatar,astringent,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mashaqis,slant,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
madomoth,soft,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
malondoz,straight,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
maponish,full,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
maqitanoan,well,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
maharan,spacious,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
dado,correct,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
ondaodaok,slowly,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mara'in,coarse,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
maqoliosh,long,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
madazomdom,fine,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
loish,short,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mahnar,hot,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mabolaw,ripen,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
madirodiro,handsome,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
naoriza,should,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
shdooiza,certain,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
shdoo,able,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
painan,possible,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
patingqaran,celebrate,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
tatitish,wipe,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
shkafol,call,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
lhmipir,fold,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
pasain,use,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mindahip,help,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
pashzaqan,attach,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
panshishi,shaken,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
marinaw,erase,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
pasisiqan,depend,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
pakdop,block,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
tnashiwan,stay,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
loshkin,sound,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
kmanshihala,over,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
pangqaiza,brake,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
kmilhim,search,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
ata,prohibit,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
tininashan,remain,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
lhmazawan,begin,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mokaktoniza,complete,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
kmalawan,make,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
ongqtoan,find,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
poqton,trapped,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
shmantoroz,bang,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
min'alash,rotate,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mriot,surround,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
maqitan,good,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
oka,no,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
ani,don't,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
ata,can't,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
ani,no,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
dado,really,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
shdooiza,okay,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
maqa,because,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mamzai,whether,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
ohiawan,immediately,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
shdoo,enough,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
moqtha,again,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
moqay,only,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
aniwan,never,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
ata,shouldn;t,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
nomawan,so,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
miaqay,usually,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
masa,with,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
molalat,sometimes,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
niwan,still,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
ya,if,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mathoaw,very,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
miazitho,so,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mani,also,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
az'az,both,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
sharaqian,although,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
ininai,in,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
shdoo,do,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
manhiri,fool,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mathoaw mara'in a shanaotoan Choa-Ing-Bon pato'iaw goan-co-min a patashan,President Tsai Ing-wen's Apology to the Indigenous Peoples on Behalf of the Government.,Formosan-Presidential_Apologies/Final_XML/Thao/Thao.xml,standard,UNKNOWN,sentence,train
"maposhaz qamishan a thoini, mita wa hian- hoat polhipathan a patashan, san-paw pingqthan mzai goan-co-min. haya sa sonda goan-co-min a lhanaz, mataliza to itia shmararozi a lhanaz shororoniza, po'apaw izai goan-co-min mzai naor Taiwan a talima wa thao. miazitho milhilhi, thoini amoqthawan kmangqtha tata wa kinangqtha. yako amia'awan cing-ho masai goan-co-min-cok pato'iaw. monsai mashpatiz shaba wa qamishan, pashtay manoin goan-co-min-cok inangqto manion kashpar masa anto manazitho, yako mia'awan cing-ho pato'iaw manion goan-co-min- cok.","On this day 22 years ago, the term ""shanbao"" (mountain people) in the Additional Articles of our Constitution was replaced with the proper name: ""indigenous people."" This correction not only did away with a discriminatory term, but also highlighted the status of indigenous peoples as Taiwan's ""original owners."" From this basis, today, we are taking another step forward. To all indigenous peoples of Taiwan: On behalf of the government, I express to you our deepest apology. For the four centuries of pain and mistreatment you have endured, I apologize to you on behalf of the government.",Formosan-Presidential_Apologies/Final_XML/Thao/Thao.xml,standard,UNKNOWN,sentence,validate
"yako mriqaz, kahiwan konathathoinian inai mingqolhmoz itiawan mani sa thao mzai ingqaiza pato'iaw. izai sa yako amia'awan cing-ho pato'iza a lalawa. rinataqan ita anto manazitho zain thaythoy naor amiazitho, rinataqan ita wa nomanoma, naor mita thao a shinkodaan naor ita thao amiazitho a shkoda, haya inai yako thoini milhilhi, mangqto yako mzai apingqthan mindamriz minshoqish.","I know that even now, there are some around us who see no need to apologize. But that is the most important reason why I am representing the government to issue this apology today. To see what was unfair in the past as a matter of course, or to treat the pain of other ethnic peoples as an unavoidable part of human development, this is the first mindset that we, standing here today, resolve to change and overturn.",Formosan-Presidential_Apologies/Final_XML/Thao/Thao.xml,standard,UNKNOWN,sentence,train
"thoini apasik malalabaza wa lalawa malhinona manion, mino qa amatsai goan-co-min-cok pato'iaw. inai Taiwan a proq mashpatiz shaba wa qamishan naoriza sa thao inai, inai a thao naor mrataq thaythoy ananak a ininthawan. itia thaythoy a lalawa, itia thaythoy a kazakazash, itia thaythoy a shashomshom, itia mani thaythoy a ininthawan a proq. kanoniza makitnanai itia tata qbit a thao anto minakikalhi min'ananakiza makonanai mriway inai a proq.","Let me put in simple terms why we are apologizing to the indigenous peoples. Four hundred years ago, there were already people living in Taiwan. These first inhabitants lived their lives and had their own languages, cultures, customs, and domains. But then, without their consent, another group of people arrived on these shores, and in the course of history, took everything from the first inhabitants who, on the land they have known most intimately, became displaced, foreign, non-mainstream, and marginalized.",Formosan-Presidential_Apologies/Final_XML/Thao/Thao.xml,standard,UNKNOWN,sentence,train
"sasaz a lalawa wa shompazaw mzai miarikorikos a thao matsai mimamoqtha wa thao nomanoma ingqolhmozin thitho kmalaw. naor ininai a thao minamaza oka sa proq a'ianan, nomawan inai mingkakalongkon, oka sa taon a'ianan, minmiazai sa aminakantoa wa thao, miaqay isai thaythoy a proq min'ala'alash, noma thoini miazai sa anto talima wa thao, min'ishirshiriza wa thao. tata qbit a thao a mindado, miazai sa inisai miaqbit a thao a shkoda. miazai ita anto manazitho a kok- ka, ya miazitho haya wa sasaz a lalawa iabrith ita mriqaz, izai sonda wa nomanoma polhkiz po'apaw malhinona. ya miazitho, sa mathoaw izai amonsai s acing-ho tiasasaz a lalawa sonda shnaw amingqtha mangqto, haya inai yako thoini milhilhi malhinona.","The success of one ethnic people can be built on the suffering of another. Unless we deny that we are a country of justice, we must face up to this history. We must tell the truth. And then, most importantly, the government must genuinely reflect on this past. This is why I stand here today.",Formosan-Presidential_Apologies/Final_XML/Thao/Thao.xml,standard,UNKNOWN,sentence,train
"itia tata wa patashan thitho a lhanaz mzai ""Taiwan a sasaz a lalawa"" thitho miahala tata wa qahil mzai, ""Taiwan naor oka sa sasaz a lalawa, Horan a thao miahala monai, noma Te-sing-kong thitho sa miahala mani monai malhkakrikriw, noma ti Ching-koq mintamaz malhkakrikriw."" haya sonda Shpoot a sasaz a lalawa wa mriqaz. goan-co-min- cok naoriza pizza wa matilaw a kawash to inaiza, itia manasha sa thaythoy a kazakazash, noma thaythoy a inin'ania, makitdaodaok powanaz. kanoniza moqay yamin pasai makoshwit a qbit a thao a mriqaz matash sasaz a lalawa, miazitho amiz'awan yako matsai cing-ho pato'iaw.","There is a book called ""The General History of Taiwan"" published in 1920. In its foreword are these words: ""Taiwan had no history. The Dutch pioneered it, the Koxinga Kingdom built it, and the Qing Empire managed it."" This is a typical Han view of history. The truth is that indigenous peoples have been here for thousands of years, with rich culture and wisdom that have been passed down through generations. But we only know to write history from the perspective of the dominant. For this, I apologize to the indigenous peoples on behalf of the government.",Formosan-Presidential_Apologies/Final_XML/Thao/Thao.xml,standard,UNKNOWN,sentence,train
"Horan noma Te-sing-kong a cing-ho monsai Alishay mathoaw kmaipathay noma kmalaw sa proq masa kmalaw sa ininthawan a farifariw a aniamin, noma to shiwanin izai Cing-koq lhongqizi, mathoawiza kmaipathay mapa'oroshrosh a talhom, noma to Litpooniza sa lhongqizi mathoawiza mara'iniza wa anto pidaza sa goan-co-min-cok, miazai sa kmiskis sa goan-co-min-cok. miazithoiza shaonanai Tiong- hoa-min-koq-cing-ho miazitho mani goan-co-min apinshpootan dai. Lashpaat shaba wa qamishan, mashtay monai Taiwan a cing-ho mingqolhmoz pasain thaythoy mashampanaq noma kmalaw sa goan-co-min-cok a proq, mathoaw pingqarman sa goan-co-min-cok naor itia wa nomanoma. miazitho, yako amia'awan cing-ho pato'iaw.","The Dutch and the Koxinga Kingdom massacred and exploited the Pingpu ethnic group. The Qing Empire presided over bloody confrontations and suppression. Colonial Japan put in place comprehensive savage policies. And the post- war ROC government undertook assimilation policies. For 400 years, every regime that has come to Taiwan has brutally violated the rights of indigenous peoples through armed invasion and land seizure. For this, I apologize to the indigenous peoples on behalf of the government.",Formosan-Presidential_Apologies/Final_XML/Thao/Thao.xml,standard,UNKNOWN,sentence,train
"Goan-co-min-cok pasain thaythoy a kazakazash lhongqizi naor itia wa nomanoma, noma pasain mani Goan-co-min-cok a kafazaqin a kazakazash lhongqizi hodon masa wazaqan nomanoma, miazitho mashtay maqitan lhongqizi. kanoniza thoini a kok-ka kmalawa wa rinataqan, sa Goan- co-min-cok anto manion a min'ananak kmalawa ananak a palhkakrikriw, noma mani mot'oka sa ananak lhongqizi a koshwit. noma sasaz a shidoq molawashwash, noma naor min-cok a miasoon a ininthawan anto shnoron mani sa soma. miazitho mani amonsai yako cing-ho pato'iaw.","Indigenous peoples maintain tribal order according to traditional customs, and ecological balance according to traditional wisdom. But in the process of modern state-building, indigenous peoples lost the right to steer their own course and govern their own affairs. The fabric of traditional societies was torn apart, and the collective rights of peoples were not recognized. For this, I apologize to the indigenous peoples on behalf of the government.",Formosan-Presidential_Apologies/Final_XML/Thao/Thao.xml,standard,UNKNOWN,sentence,train
"Gona-co-min-cok naoriza thaythoy itia thaythoy a lalawa, noma pasain thaythoy a kazakazash a kafazaqin lhongqizi thaythoy nomanoma wa ininthawan. kanoniza shwanin Litpoon lhongqizi, apiazain manion apinlitpoon a thao, apingqthan thitho minlitpoon, shaonatosi tata makatanatho shpaat larima wa kawash, cing-ho apin'oka sa naam a lalawa, min'oka sa gona- co-min-cok a lalawa. mashtaan sa Alishay a lalawa min'okaiza. molhkiz minakanantoa wa cing-ho, anto monsai gona-co-min-cok a kazakazash makarishkish lhongqizi, miazitho mani amonsai yako cing-ho pato'iaw.","Indigenous peoples had their own languages. However, with Japanese rule aiming to assimilate and turn all into imperial subjects, and with the ROC government banning tribal languages after 1945, indigenous peoples' languages suffered great losses. Most Pingpu languages have disappeared. Successive governments have been negligent in the protection of indigenous cultures. For this, I apologize to the indigenous peoples on behalf of the government.",Formosan-Presidential_Apologies/Final_XML/Thao/Thao.xml,standard,UNKNOWN,sentence,validate
"kahiwan, cing-ho isoi Yami a thao anto kafazaqin izai ho-hoi-liaw pisain thaythoy Yami a thao a proq. pingqarman sa Yami a thao, miazitho mani amonsai yako cing-ho pato'iaw.","Without the knowledge of the Yami tribe, the government stored nuclear waste on Orchid Island. Tribe members on the island had to suffer the negative consequences. For this, I apologize to the Yami people on behalf of the government.",Formosan-Presidential_Apologies/Final_XML/Thao/Thao.xml,standard,UNKNOWN,sentence,train
"minakantoa cing-ho shaonanai Taiwan, isai tanaraos a Alishay mathoaw pikrarozin sa cing-fo, tatata wa lhongqizi a cing-ho mingqolhmoz miko ping'oka sa Alishay a goan-co-min a tinoran. miazitho amonsai yako Alishay pato'iaw.","Ever since outsiders began arriving in Taiwan, the Pingpu ethnic group on the western plains have born the brunt of the impact. One ruling power after another eroded the individual and collective identities of the Pingpu ethnic group. For this, I apologize to the Pingpu ethnic group on behalf of the government.",Formosan-Presidential_Apologies/Final_XML/Thao/Thao.xml,standard,UNKNOWN,sentence,train
"min-coo pingqthaniza, noma kok-ka itia shontaam goan-co-min-cok a pinalhinona wa nomanoma. cing-ho itia mani minalhinona noma kinalawa ladado a palhkakrikriw. thoini yamin itia maqitan a shompazaw sa ""goan- co-min-cok a naor itia wa fat,"" kanoniza izai a fat anto sa cing-ho miazitho a mabrith. mita wa kinalawa anto mabiskaw, ani mani mingqolhmoz, ani mani maqitan kinalawa. miazitho mani amonsai yako cing-ho pato'iaw.","After the democratic transition, the country began to respond to the appeals of indigenous movements. The government made certain promises and efforts. Today, we have an Indigenous Peoples Basic Law that is quite advanced. However, government agencies have not given sufficient weight to this law. Our actions have not been fast enough, comprehensive enough or sound enough. For this, I apologize to the indigenous peoples on behalf of the government.",Formosan-Presidential_Apologies/Final_XML/Thao/Thao.xml,standard,UNKNOWN,sentence,train
"Taiwan mzai manasha sa kazakazash a proq, kanoniza shaonathathoinian, goan-co-min- cok a maqitan a makalingkin, minfazaq noma farifari, cing-ti......nomanoma wa piakazash, miazitho mani monsai anto goan-co-min-cok a thao itia mara'in a anto tataal. tataal thoini, monsai goan-co-min-cok mriqaz shmalarozi. miazitho mani oka nanashnash. cing-ho anto manasha sa kinalawa, nomawan goan-co- min-cok mathoaw shkoda, nomawan sh'oka. miazitho mani amonsai yako goan-co-min- cok pato'iaw.","Taiwan is known as a culturally diverse society. But even today, indicators on health, education, economic livelihood, political participation and more still show gaps between indigenous and non- indigenous peoples. Meanwhile, stereotypes and even discrimination against indigenous peoples have not gone away. The government has not done enough, so indigenous peoples have suffered pain and frustration unknown to other ethnic peoples. For this, I apologize to the indigenous peoples on behalf of the government.",Formosan-Presidential_Apologies/Final_XML/Thao/Thao.xml,standard,UNKNOWN,sentence,train
"ita anto shdoo iningkarishkishan, tatata wa minalangqtha molhkiz ani yamin to makarishkish. noma manion mathoaw shkoda, shaonathathoinian mani miaqawan shkoda. yako monmanion mathoaw amazaiza! thoini a pato'iaw mathoawiza shrikkosan, kanoniza thoini lhmazawan. ani yako to mzai lashpaat shaba wa qamishan goan-co-min-cok a shingkodaan noma piaqarman az'az sh'oka, kanoniza yako monsai shnaw mangqto thoini a pato'iaw, izai a kok-ka wa itmaz a thao lhmazawan mapaqaqitan.","Our efforts have fallen short, and succeeding generations have been blind to this inadequacy. Because of this, your hardship has continued to this day. For this we are truly sorry. Today's apology is long overdue, but it is a beginning. I do not expect any one speech or phrase of apology to wipe away four centuries of pain and suffering by the indigenous peoples. But I do hope with all my heart that today's apology will set this country and all its people on the path towards reconciliation.",Formosan-Presidential_Apologies/Final_XML/Thao/Thao.xml,standard,UNKNOWN,sentence,test
"malalawa manion yakin pasain tata wa goan- co-min-cok a lalawa pishfazaq manion to thoini a miasosoon. isa Taiyal a lalawa, ""dado"" mzai ""Sbalay,"" izai Taiyal a lalawa isa balay a ianamoqtha poqthaan ""S"" minsbalay. ""dado"" masa ""mapaqaqitan"" itia sa tataal a inangqto. pariri tata wa lalawa palhinona, sonda wa mapaqaqitan amathoaw yamin mabahba mriqaz dado a palhkakrikriw. ya miazitho shdooiza mokakton.","Please allow me to shed light on this occasion with a piece of indigenous wisdom. In the Atayal language, truth is called ""Balay,"" and reconciliation is called ""Sbalay,"" so you simply add an ""S"" sound to ""Balay."" Truth and reconciliation are in fact two related concepts. In other words, only by facing the truth sincerely can reconciliation be attained.",Formosan-Presidential_Apologies/Final_XML/Thao/Thao.xml,standard,UNKNOWN,sentence,test
"isa goan-co-min-cok a kazakazash a itmaz, ya itia sa thao mapathay sa soma wa thao, ya mangqto amapaqaqitan, tanatoqash a thao, thitho sa malalawa pishdohalan a thao, noma pingqarmanin a thao molhkizin thitho malalawa posoon. miasoon anto mzai apato'iaw, apalhinona thaythoy mabaraz a lalawa, ya malhinona sonda wa palhkakrikriw, noma tanatoqash pashtay malhintal miqilha tata barokoz a qilha. rinataqan ita piazithoiza mrataq, haya mzai ""Sbalay."" mangqto yako mzai thoini mzai cing-ho masa goan-co-min-cok a Sbalay. rinataqan a moririw polhkizin po'apaw malhinona, ani yako to poil, ani","In indigenous cultures, when a tribe member has offended another and intends to reconcile, an elder brings together the offender and the offended - not to produce a direct apology, but to allow each side to frankly share their inner journeys. When this truth-telling concludes, the elder calls for everyone to drink together, so that what is past is truly past. This is ""Sbalay.""",Formosan-Presidential_Apologies/Final_XML/Thao/Thao.xml,standard,UNKNOWN,sentence,train
