pwn,english,source,kindOf,dialect,row_type,split
valangis,fur,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
'acang,pig,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
ngiav,cat,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
'aya'ayam,bird,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
ci'av,fish,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
karang,monkey,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
ljoang,cattle,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
ciki,frog,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
lje'o,owl,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
paljangpang,turtle,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
'atjovi,snake,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
'aozong,cockroach,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
'oljicacingelav,dragonfly,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
kalabiabi,butterfly,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
botj,squirrel,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
salapeljan,mosquitoe,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
'atjodray,earthworm,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
lja'ipo'ipo,wasp,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
'ozang,shrimp,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
rigi,horse,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
sadjsadj,cicada,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
'a'aljic,bat,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
cirat,snail,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
sasi',ant,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
liljavay,waterbird,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
tidriyolj,hornet,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
'atimtim,flea,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
'a'a,crow,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
koljkolj,puppy,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
te'ong,horn,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
tjivongoan,grasshopper,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
tjianes,tangerine,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
katjotjong,flower,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
ljasiak,pumpkin,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
ljapanay,corn,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
'ao,bamboo,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
'odis,peach,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
lisi,plum,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
'apolo,treetop,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
djarono',agaric,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
daikong,carrot,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
'a'ilj,yam,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
'odis,plum,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
menavong,tobacco,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
poloc,cotton,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
navat,guava,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
bodro,ball,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
tjazatjazar,table,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
'iladjan,chair,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
kacala',umbrella,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
ljigim,needle,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
tjakaz,sieve,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
si'ono,knife,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
kacian,scissor,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
'idong,charcoal,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
vakic,bucket,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
ca'ev,lid,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
koskos,spatula,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
koritjong,filth,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
tjakomolj,quilt,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
'adopo,paper,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
potjoy,sack,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
siciacian,turner,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
'ecap,tong,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
tjosoror,bedding,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
co'os,stalk,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
'ailjongan,mirror,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
kindraljom,bottle,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
pia',dish,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
siasing,photograph,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
pako,cleaver,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
si'oli'olip,eraser,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
cepeng,basket,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
ipo,soil,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
djanav,lake,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
ljiv,grotto,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
caocioci,grassland,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
kalicekoan,canyon,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
djilje'i,rock,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
'emodjalj,rainy,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
'adav,sun,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
'iljas,moon,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
vitjo'an,star,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
'odjalj,rain,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
kaljavoceleljan,winter,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
'erepos,cloud,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
kakakaka,shadow/eye,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
raljiz,typhoon,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
lja'as,frost,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
'oljivangerav,rainbow,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
remaljiz,typhoon.,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
oma',home,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
'ezong,window,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
gakko,school,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
'aciljay,stone,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
'aljiv,roof,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
tekeza,bridge,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
po'acangan,toilet,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
'eloz,pillar,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
opo,masonry,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
tjaljtjalj,stair,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
deljep,wall,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
kobav,barn,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
emaljiv,roofing,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
'eljo'eljoan,backyard,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
'ezemezemetj,evening,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
katiav,yesterday,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
notiav,tomorrow,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
ma'adadav,daytime,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
zemzem,darkness,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
pazorong,continue,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
notjaivililj,future,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
tokian,o'clock,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
pi'adav,everyday,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
i..,somewhere,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
vavav,above,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
pa'aia'aiav,front,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
patekoteko,below,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
casav,outside,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
pagidigidi/livalivay,side,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
kavolongan,hilltop,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
potong,nook,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
veniling,plowing,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
kakara,rake,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
kawkav,scythe,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
tjatjokon,backhoe,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
alji',straw,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
tiveljatan,bow,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
volo',spear,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
pinalisi,taboo,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
daiman,wizard,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
masotogot,misalisin,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
vatitingan,ghost,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
tjalopon,hat,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
tjem'ic,weave,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
paledeled,belt,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
morem,stain,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
tjemenon,weaving,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
makaliljav,cloth,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
tjokap,shoe,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
bokelolj,yarn,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
pasevayar,codpiece,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
tjopi,breastplate,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
telima,sleeve,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
kaljaodjor,basket,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
tolay,bicycle,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
popalidringan,station,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
ljiok,train,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
'atia,salt,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
'ecilo,egg,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
'alev,oil,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
se'o,taste,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
siav,soup,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
'arizang,beans,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
caitav,daikon,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
'inasav,porridge,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
va'o,millet,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
ljoaljo,sugar,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
lamog,flour,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
vocelacelay,white,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
'ocengecengel,black,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
'odidilj,red,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
tjapoyopoyo,purple,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
vorav,yellow,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
boljaboljas,brown,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
paivavali,grey,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
oljav,color,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
menacidiljan,alone,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
'inaljan,tribe,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
kina'adavan,day,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
vinarongan,target,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
kakodakodan,culture,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
makakaizoazoa,various,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
kakavelian,price,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
pakazoanan,purpose,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
mavililj,late,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
'emeljev,close,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
semo'eljev,open,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
miperper,fly,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
tjoma',enter,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
maveli'ad,overturn,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
kaco,bring,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
papezangal,grow,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
sipapolevan,present,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
masoav,drop,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
kikerap,climb,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
matatokoda,separate,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
tjemalopon,wear,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
min'ot,appear,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
minpodrok,jump,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
zemiyan,dance,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
pakelay,hang,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
dremior,stirring,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
lemegeleg,vibrate,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
penana',shoot,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
cemian,fry,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
mazo',felled,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
vencelo',break,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
ljevavav,climb,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
venadevad,flip,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
temavikilj,hold,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
venoci',cut,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
'iljain,hide,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
djemame',catch,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
ki'ao,chop,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
venela',split,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
temepi',rip,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
penidripidr,draw,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
