tsu,english,source,kindOf,dialect,row_type,split
te maineno moh co atavei mi'osno no oko no mamespingi 'e oko no hahocngʉ ho eainca.,Somehow the boy finally turned to the girl and said,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-love-story-zhuang.xml,standard,UNKNOWN,sentence,train
'a ma te'o vcongʉ so?.,"""May I marry you?""",Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-love-story-zhuang.xml,standard,UNKNOWN,sentence,train
eh moh co maica.,Just like this.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-love-story-zhuang.xml,standard,UNKNOWN,sentence,train
isi co engha ho eainca ma te'o vcongʉso.,"He just says, ""may I marry you?""",Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-love-story-zhuang.xml,standard,UNKNOWN,sentence,train
osi co eaeza ʉmnʉa no oko no mamespingi.,The girl also liked.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-love-story-zhuang.xml,standard,UNKNOWN,sentence,train
mici nana mipeohʉ mi'ono no peohna manci nana.,looked downward.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-love-story-zhuang.xml,standard,UNKNOWN,sentence,train
teolʉ no mo eon no eon no aaskiti no va'hʉ ci oko no mamespingi ho mongsi.,Somehow saw a girl who was at the side of the river and cried.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-love-story-zhuang.xml,standard,UNKNOWN,sentence,train
ihe co nana osa ho aiti ho toocosi ho eainca manci s'a ac'o mongsi si eainca no oko no mamespingi 'a mio eon ta va'hʉ ho tofko.,"The girl said, ""I washed clothes by the river.""",Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-love-story-zhuang.xml,standard,UNKNOWN,sentence,train
isi hafa to chomo 'o mo coni ci yʉsʉ'o.,"""Water took away one of my clothes.""",Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-love-story-zhuang.xml,standard,UNKNOWN,sentence,train
os'o na'na ocia ivaha eaa.,"""I wanted to get it back very much.""",Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-love-story-zhuang.xml,standard,UNKNOWN,sentence,train
maene 'o oko no hahocngʉ isi co aopciva peobanga 'e yʉsʉ ho.,"The boy hence in a hurry chased the clothes carried away by the water, and",Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-love-story-zhuang.xml,standard,UNKNOWN,sentence,train
tasvoveia 'e isi hafa ta chomo ci ci yʉsʉ ci moso ngohco.,took back the clothes which had been taken away by the water.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-love-story-zhuang.xml,standard,UNKNOWN,sentence,train
'oko no mamespingi ina 'e 'oko no mamespingi ci moso tofko isi ʉmnʉa 'e hahocngʉ eainca 'a os'o na'no ʉmnʉa na so.,"The girl who washed clothes loves the boy and says, ""I love you very much.""",Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-love-story-zhuang.xml,standard,UNKNOWN,sentence,train
'o la na'no kaebʉ ho mo emʉm'ʉ to bʉvnʉ ko'ko eno o'a te'o tiova na so.,"""The one who always likes growing flowers very much. Therefore, I will not accept you.""",Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-love-story-zhuang.xml,standard,UNKNOWN,sentence,train
te'o ec'ʉha tan'e.,I just stop here.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-love-story-zhuang.xml,standard,UNKNOWN,sentence,train
pan to moso la eahioa ho notfʉngʉ emʉm'ʉ to lea 'o'oanʉ.,There existed one that was working and specialized in the planting of foods.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-pear-An.xml,standard,UNKNOWN,sentence,train
moso oh to lasi ezoeʉ 'o mameoi ho toa to isi mʉ'a ci la ana ci macocoma.,That old man went to his field and picked the crops/eaten stuff that he planted.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-pear-An.xml,standard,UNKNOWN,sentence,train
mi co aomomane panto mo esmi ci mo eakako' to eangi.,"After a while, there came one that pulled a goat.",Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-pear-An.xml,standard,UNKNOWN,sentence,train
mi co eopepeahngʉeʉ eainca aveoveoyʉ ho mo na'no eoho'a 'e eh macocomaso.,"And he exchanged greetings by saying, ""Great! Your crops are well-fruited.",Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-pear-An.xml,standard,UNKNOWN,sentence,train
aomane mi co eon to jidens 'o okosi ho meecono.,It was after a while and his child on the bike caught up with him.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-pear-An.xml,standard,UNKNOWN,sentence,train
mi co cono skaeo 'o isi sia to jidensasi ho maine'e.,And then it was a basket (of the fruit) that he loaded onto his bike and he went home.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-pear-An.xml,standard,UNKNOWN,sentence,train
eopteʉlʉ to ceonʉ 'o oko no mamespingi ci mo mae maezo eon to jidensa.,"Then on the way, a girl who was also riding a bike was encountered.",Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-pear-An.xml,standard,UNKNOWN,sentence,train
mo apemio mi'poo 'e oko no hahocngʉ.,(Just because) the boy was devoted to side-looking.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-pear-An.xml,standard,UNKNOWN,sentence,train
mo smotokʉ to fato 'o isi 'o jidensasi.,His bike bumped into a stone.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-pear-An.xml,standard,UNKNOWN,sentence,train
co alʉ eain e'poeo ho mat'at'ango maezo.,And he fell on all four legs in the ground.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-pear-An.xml,standard,UNKNOWN,sentence,train
mioho 'o isi hafa ci ci 'o'oanʉ.,And the eating stuff spilled.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-pear-An.xml,standard,UNKNOWN,sentence,train
mo panto mo esmi ci mo nanat'ot'ohaisa ci mo toeo ihe co eaeza to'osni ho patmʉta 'o mo sopepeohʉ ci la oanʉ.,There arrived three brothers that helped him picked up the spilt fruits.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-pear-An.xml,standard,UNKNOWN,sentence,test
ho soip soo'veia to jidensasi.,And put them back to his bike.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-pear-An.xml,standard,UNKNOWN,sentence,train
mo 'so smo'co'congo 'e 'e oko mi co c'o poe'oha 'o jidensasi.,The child felt painful and could just push his bike.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-pear-An.xml,standard,UNKNOWN,sentence,train
mi co mo'ono maita'e 'o mo to'osno ci mo toeo.,The three went just like that.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-pear-An.xml,standard,UNKNOWN,sentence,validate
ihe aiti 'o ceopngosi mo sopeohʉ.,They saw his hat fell.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-pear-An.xml,standard,UNKNOWN,sentence,train
mi co meobango 'o mo cihi ho eoveineni.,One of the three chased and returned it to the boy.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-pear-An.xml,standard,UNKNOWN,sentence,train
mo na'no kokaekaebʉ 'e oko ci moso smopcoko.,The child who fell previously was then very happy.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-pear-An.xml,standard,UNKNOWN,sentence,train
isi co fii to isi toveoca ci mo toeo ci eh la 'o'oanʉ.,(The three boys) were given three foods (that were picked.),Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-pear-An.xml,standard,UNKNOWN,sentence,train
mi co mo'ono maita'e 'o mo toeo ci 'o'oko.,The three went away just like that.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-pear-An.xml,standard,UNKNOWN,sentence,validate
isi oohohoca 'o isi a faeni ci mo toeo ci mo macoconi ci la 'o'oanʉ.,"while they were walking away, they were eating the food.",Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-pear-An.xml,standard,UNKNOWN,sentence,train
mi co eo'sipeohʉ ho aiti isi eainca no koesi mais'a no moh co la eos eosno skaeo o'o toveoca.,"(The old man thought) ""Didn't it make two that I gathered?""",Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-pear-An.xml,standard,UNKNOWN,sentence,train
manci mi co c'o anoo cono skaeo 'e mo eon tan'e.,How come it remains just one basket?,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-pear-An.xml,standard,UNKNOWN,sentence,train
ho ok'a eaeo si mo coni.,And the other one was empty.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-pear-An.xml,standard,UNKNOWN,sentence,train
isi co aoka eo'i'ia 'o mo esmi ci mo toeo ci mo oko no hahocngʉ.,And he looked carefully at the three boys that arrived/passed.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-pear-An.xml,standard,UNKNOWN,sentence,train
mo 'so acʉhʉ tiatatviei to XiheX oohohoca.,(The three boys) all hold.... ate while walking.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-pear-An.xml,standard,UNKNOWN,sentence,train
mo mo maica 'e 'a'aosnosi.,It's the way things are.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-pear-An.xml,standard,UNKNOWN,sentence,train
ovo na maica ci ha'o ocia paehohamo ta mo maica.,"Unexpectedly, want me to tell a story.",Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,train
ehng te'o n'a ahto n'a ehohamo maitan'e.,"Rarely, I will tell a story today.",Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,train
ehng moso la cihi ci oko ho mo con ci av'o moso la aʉ aʉt'ʉcʉ to aʉt'ʉcʉ to mo conci fok'onge yon ta'e meihoa te'o engha te ake'i ʉmnʉ ci yaei.,"A boy and a dog raised a frog. Meihua, I'm somewhat easily moved (to tell a story).",Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,train
i'o mo con ci oko ho i'o mo eh ieh mo maezo aʉt'ʉcʉ ta mo con coni ci av'o.,A boy raised a dog.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,train
ehm ah mo moso la noepohʉa 'e av'o ho oko moso la aʉt'ʉcʉ to fo'konge.,The boy and the dog raised a frog together.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,train
Xmoso alʉhiX moh co noana'o feongna noana'o feongna ne moso la oengʉtʉ manci s'a.,"One night, it was very late when had slept.",Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,validate
ohe la 'so teapha to pania to mo.,Why put in a container?,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,train
to mo c'o okosi ongayo to mo isi.,The bottle neck is so small.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,train
temza peelʉi enca ho eh te av'an av'a no kokogo.,How do say that in Mandarin?,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,validate
av'a no coo 'e sin 'e pania.,How do describe the bottle in Tsou?,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,train
oN isi peelʉi hopaezoma ci pania.,The bottle is the bottle which can be seen through.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,train
eh moh co oengʉtʉ ne moso noana'o feʉngna oengʉtʉ ne moso noana'o feʉngna manci moh co 'so maezo oengʉtʉ si av'o i'o av'o ci ihe aʉt'ʉca isi aʉt'ʉca ta oko ci av'o.,"One evening, went to sleep. The dog went to bed with him- the dog which he raises.",Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,test
manci s'a yoyafo 'o fo'konge.,Why did the frog come out?,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,train
moh co pkaako mi to ngayo to pania 'o 'o fo'konge ho pkaako.,The frog had escaped from the mouth of the container.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,train
ohe co 'so mi co 'so yʉc'ʉ 'e oko.,The child rose.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,train
ihe co isi co ake'a isi co cohivi ho mo pkaako av'o i'o fo'konge.,"And they just somewhat... He knew that dog, the frog escaped.",Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,train
mi co maezo nac'o si av'osi isi 'so aiti 'o fo'konge mi co ok'a na 'a lasi no 'so na.,"The dog felt very sad, because it saw the frog escaped.",Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,validate
na'na ʉmnʉa ta av'o 'o fo'konge.,The dog also liked the frog very much.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,train
mi co nac'o i co i'poepoha i'eima ta oko ho ta av'o 'o fo'konge.,"It felt very sad, and went to look for the frog together with the boy.",Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,train
ta'ona'na moso yon ta pania.,The dog thought that from stayed in the bottle.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,test
isi co 'so payooyo ta pania ta av'o 'o fngoosi.,The dog made its head enter into the container.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,train
isi fngoosi ho eainca te'o n'a a'ʉmta ala esansana mio nana aʉmtʉ alʉ pkaako ta pania.,The dog thought that I have to make sure and find whether it was really gone.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,train
isi co 'so hooyoeveni ta yoni to fo'ko yoni to fo'konge 'e 'o fngoo to av'o manci 'so cʉnghʉ.,The dog inserted it head into (the container) where the frog stay.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,train
co o'tena peelʉi le o'tena peelʉi empoisi ta fngoo ta sʉngʉsi yon eh i'o ngayo to pania msi isi co c'o asʉngʉca haahafa si.,The dog can't take pull its head at the neck of the bottle from the mouth of the bottle.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,train
i'o osi yoni to fo'konge ci pania.,It just always carried the bottle where the frog lived.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,train
mi co cʉng casngʉcʉ cʉnghʉ ta fngoo ta av'o si pania ho.,The dog got its head stuck in the container.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,train
ho mo yoyoso si si oko ho 'i'ima 'o ohe payoa ci fo'konge.,The dog looked for the lost frog together with the boy.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,train
ohe la aʉt'ʉca ci fo'konge na'no ma'na'nac'o ho mimimio to fʉengo ho bibimi mimimio to fʉengo ho 'i'ima 'o ohe la aʉt'ʉca ci fo'konge.,They went to look for their pet frog in the mountains. They were very distressed (when they thought of their frog.),Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,train
'iama mi co aʉlʉ oh to mo aʉlʉ aʉlʉ 'e'evi.,went to full of trees.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,train
manci pan to ihe teolʉi ci mo tmiehi to to evi ci zoo coma.,They unexpectedly saw hanging on the tree. What is that?,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,train
'a mo no ne mio 'o oko isi yaeza aiti 'o pan to isi ai aiti ci fo ci feongo.,"At that time, the child also saw.... He saw a hole.",Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,train
i ta'ona mo s'a noaemonʉ to feongo f i'o fo'konge 'iama bohci 'o mo smoyafo.,"He thought that the frog was inside the hole. Unexpectedly, it is a mouse that appeared from the hole.",Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,train
isi co tapeoha to av'o 'o ceoyo mi co maezo smoyafo 'o bohci ho maezo toekameosʉ mi co cocapo to evi 'o.,The dog has shaken down the bee hive. The mouse also moved out and escaped.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,test
i'e oko ho mainca te totoefʉngʉ pan to isi isi enca te totoefʉngʉ pan to isi yaeza aiti to evi ci feongo.,"The boy climbed the tree to hide (from something). He hided, and saw a tree hole.",Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,train
isi co aeza teʉ'tʉmi mo nana noaemonʉ na 'o 'o fo'konge.,He also looked for the frog; see if it was in the tree hole.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,train
eheN nemio mi co toekameosʉ si av'o 'iama isi peobanga ta casngʉca peo peteokokoyongva ta ceoyo.,"At that time, the dog also escaped, because the bees kept chasing it.",Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,test
co smoyo 'e oko.,The child was afraid.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,train
tiisi'hi to evi ho sopeohʉ man.,The hands holding the tree branch got loosen and the child fell.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,train
nemio mi co toesos'o 'o poko ho meiavovei.,The owl flew everywhere.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,validate
isi n'a asngʉca 'i'eima ta oko 'o fo'konge mi co cocapo to evi ho mici tieo'pʉ to.,The boy kept looking for the frog. He climbed up a tree and wanted to grab a tree branch.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,test
mathʉthʉcʉ to mo eon to.,the tree log at...,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,validate
eN ma'e'evi 'o oko no.,"many trees, which is small on,...",Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,validate
isi o'te yo'ia 'o isi enca thʉcʉ.,He didn't see clearly about what he thought as tree branches.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,train
'iama songo no 'oa.,"Unexpectedly, it was the antler of a deer.",Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,validate
'iama songo no 'oa mi co 'so yo mi co bochio 'o 'oa isi co 'so.,"Unexpectedly, it was the antler of a deer. Therefore... Then he knew it's a deer.",Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,train
mi co yʉc'ʉ 'o 'oa manci 'so ao'la oc'ocic'o ngoevi ta 'oa mi co c'o.,The deer rose and somehow it just coincidently shouldered the child.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,train
mʉfkʉe to songo to 'oa 'e oko ho.,The boy was just hanging on to the deer's antlers.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,validate
isi co hafa ta 'oa ho smo'ono maica isi co a'la t'ngisi ta av'o isi co aiti isi hafa ta 'oa 'e.,"The dog even cried for this, it saw the child was carried by the deer.",Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,train
i'e oko lasi 'so na'na ʉmnʉa ta av'o 'e i'e la i'e oko.,The dog liked this child very much.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,train
isi co hafa ta 'o 'oa mo smo'ono mainca maica.,The deer just carried and run to somewhere.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,validate
'iama tesi hafa oh to mo to mo tʉ'nʉ ho.,"Unexpectedly, the deer just took them running toward the cliff.",Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,test
co sopeohʉ 'e oko maezo sopeohʉ si av'o 'a moso na'no smomacongo.,"And then, the child fell. The dog also fell. It is because it ran too fast.",Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,train
ho 'iama te so' to mo fozo ci chomo.,"Unexpectedly, they fell into deep water.",Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,train
ma mo na'no eo'ngʉngʉ 'o isi so'si.,The dog and the child fell into very deep water.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,train
abohtʉ o'a mo alolongʉ mo aepohʉ so' to chomo 'e av'o ho oko.,Luckily they were not injured. Both of them fell into the water.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,train
mi co yon to chomo ho.,They just stay there.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,train
'iama panto ihe aiti ci mo oko no evi ci mo ci mo measkoskopʉ to chomo ho eainca.,They saw there was a small tree log floating on the water. And they thought,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,train
s'a mo s'a yon ta noaemonʉ ta evi na 'o 'o ito 'i'ima ci fo'konge isi co eainca 'o mi'ono ta av'o ho eainca o'te ptaʉngʉ.,whether the frog they are looking for was inside the tree. The boy told his dog not to be noisy.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,train
co i'eima isi co bomemeala i'eima.,just looked for very carefully.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,train
'ia manci manci s'a eelʉ to mo yoso ci meoi no fo'konge.,Surprisingly they saw two big frogs.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,train
co a'ʉmtʉ na'no yamci ho eainca.,was very surprised and said,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,train
'iama mo 'iama mo yon tan'e lato i'e i'e la aka 'i'eima ci fo'konge.,The frog which we kept looking for was here.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,train
co 'so ango ango na'no aveoveoyo na'no aveoveoyo.,The boy was very glad.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,train
isi isi co aiti manci s'a na'no man'i 'e fo'konge co i.,He saw.. Why there were so many frog?,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,train
co a manci s'a yoso 'e mo e 'e mo meoi no fo'konge ho alʉ enepio 'e mo 'o'oko no fo'konge.,"Why there were two big frogs, and unexpectedly... so many small frogs.",Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,train
'a isi co isi co m mi co 'so ango kaebʉ mi co mitachomo ho.,Since he was so glad as to walk across the water and,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,train
tehe co 'osa 'e 'o'oko no fo'konge mo bitoyange to evi ho.,go to the place with many small frogs. (These frogs) were sitting in line.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,train
ho i'e 'e nan eh asonʉ mo meoi no fo'konge asonʉ inosi ho amosi ta 'o'oko no fo'konge.,Maybe the two big frogs were the parents of the small frogs.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,train
mi co ango kaebʉ.,The child was too happy.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,train
manci s'a meelʉ aomotʉ'ʉ 'e i.,Why would the frog say,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,validate
'e fo'konge isi mi'oni 'e oko ho eainca.,The frog spoke to the child.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,train
moso mongoi aa'mi isi eainca.,It had left our place.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,train
eh mo na'no nac'o ho ac'o anova c'o sia to pania ko'ko mo pkaako mo ango nac'o.,"It was distressed, since you just put it in the bottle. Therefore it left.",Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,train
eh c'o o'te bomemeala aʉt'ʉca anova c'o sia to pania.,didn't raise it carefully; they just put it in the container.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,train
'a la'o 'a la no 'a la i 'a la 'a la'o no yon to chomo ho yohngozo manci anova c'o sia ta pania.,I usually swan in the water. Why was I put in a bottle?,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,train
na'no sʉ'no 'e oko ho isi na'no sʉ'no 'e oko ho isi ho isi eainca ta fo'konge isi co.,"The boy was very angry, since the frog said such words to him.",Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouNr-frog-story-shi.xml,standard,UNKNOWN,sentence,test
